Time X DEG X DEG
0 1.4883E-6 60.024 0 0
1.2960004 8.2758E-6 5.0391 0 0
1.9999998 5.9028E-6 -46.117 0 0
3.0000001 8.5496E-7 11.219 0 0
4.0000003 1.0114E-6 2.6719 0 0
4.9999999 2.4382E-6 -18.985 0 0
6.0000001 1.5702E-6 -31.367 0 0
7.0000004 2.0322E-6 25.477 0 0
8 1.9688E-6 2.5313 0 0
9.0000002 -4.435E-6 -166.23 0 0
9.9999998 2.1924E-6 64.024 0 0
11 1.6633E-6 -9.3282 0 0
12 7.7375E-6 6.1016 0 0
13 -2.1234E-6 -110.53 0 0
14 8.7917E-7 9.4844 0 0
15 1.9614E-6 1.4922 0 0
16 1.913E-6 -7.4141 0 0
17 5.8282E-6 -41.258 0 0
18 2.0061E-6 25.047 0 0
19 1.6149E-6 -24.18 0 0
20 -9.6672E-7 103.56 0 0
21 -1.9018E-6 -124.27 0 0
22 2.2575E-6 -4.2969 0 0
