Time X DEG X DEG
0 9.3878E-6 89.532 0.14335 1.1797
1.0090005 5.126E-6 89.735 0.14336 1.1797
2.0000005 -5.0664E-7 90.016 0.14335 1.1797
3.0000001 8.2255E-6 89.586 0.14334 1.1797
4.0000003 -3.7849E-6 90.141 0.14335 1.1797
5.0000005 -4.1723E-7 90.047 0.14334 1.1797
6.0000001 6.2585E-6 89.657 0.14335 1.1797
7.0000004 1.0431E-5 89.469 0.14334 1.1719
8 -5.9605E-8 90.024 0.14334 1.1719
9.0000002 4.7088E-6 89.774 0.14333 1.1797
10 -3.6359E-6 90.196 0.14334 1.1797
11 9.7156E-6 89.508 0.14334 1.1797
12 1.5497E-6 89.907 0.14334 1.1797
13.000001 6.9738E-6 89.688 0.14334 1.1797
14 1.5229E-5 89.235 0.14335 1.1797
15 1.1742E-5 89.438 0.14333 1.1875
16 1.201E-5 89.383 0.14334 1.1875
17 5.7817E-6 89.751 0.14334 1.1875
18 1.5646E-5 89.149 0.14333 1.1875
19 9.4474E-6 89.485 0.14334 1.1797
20 1.7911E-5 89.071 0.14333 1.1797
21.000001 -2.3842E-6 90.141 0.14333 1.1797
22 2.3961E-5 88.797 0.14332 1.1797
23 1.0699E-5 89.422 0.14333 1.1797
24 1.213E-5 89.36 0.14332 1.1797
25 1.2994E-5 89.305 0.14332 1.1797
26 4.7982E-6 89.704 0.14332 1.1797
27 1.3709E-5 89.313 0.14333 1.1797
28 -7.6891E-6 90.368 0.14334 1.1797
29 1.2785E-5 89.336 0.14334 1.1797
30 -1.7285E-6 90.11 0.14334 1.1719
31 9.2388E-6 89.493 0.14335 1.1719
32 -1.5199E-6 90.063 0.14333 1.1719
33 2.3246E-6 89.883 0.14334 1.1719
34 3.0399E-6 89.829 0.14334 1.1719
35 8.0467E-7 89.946 0.14334 1.1719
36 6.1095E-6 89.665 0.14333 1.1797
37 -1.3709E-6 90.008 0.14332 1.1875
38 6.646E-6 89.696 0.14334 1.1875
39 2.6226E-6 89.891 0.14332 1.1797
40.000001 7.8679E-6 89.571 0.14332 1.1875
41 1.5497E-5 89.18 0.14333 1.1875
42 3.9637E-6 89.774 0.14333 1.1797
43 1.21E-5 89.415 0.14333 1.1797
44 1.6689E-5 89.165 0.14333 1.1797
45 1.1265E-5 89.469 0.14333 1.1875
46 5.3942E-6 89.751 0.14333 1.1875
47 -1.2815E-6 90.04 0.14333 1.1875
48.000001 -2.5034E-6 90.118 0.14332 1.1875
49 -2.6226E-6 90.118 0.14332 1.1875
50 8.0169E-6 89.586 0.14332 1.1875
51 7.7189E-6 89.594 0.14332 1.1797
52 -1.055E-5 90.532 0.14333 1.1875
53 -1.9372E-6 90.086 0.14333 1.1875
54 -2.7418E-6 90.141 0.14334 1.1797
55 -5.7519E-6 90.321 0.14334 1.1797
56.000001 1.3709E-6 89.907 0.14334 1.1797
57 -1.1623E-5 90.555 0.14334 1.1875
