Time X DEG X Y
0 -3.5405E-5 -91.782 0.14606 -0.00024414
2.0000005 -7.1407E-5 -93.469 0.14624 -0.00018311
4.0000003 -9.3103E-5 -94.485 0.1463 -0.00024414
6.0000001 -9.2984E-5 -94.532 0.1463 -0.00024414
8.0000006 -7.7308E-5 -93.766 0.14618 -0.00024414
10 -9.5189E-5 -94.571 0.14624 -0.00024414
12 -0.00010878 -95.102 0.1463 -0.00024414
14 -0.00012505 -95.86 0.14636 -0.00024414
16.000001 -0.00012815 -95.977 0.14636 -0.00024414
18 -0.00012964 -96.086 0.1463 -0.00030518
20 -0.00014269 -96.688 0.1463 -0.00030518
22 -0.00016016 -97.415 0.1463 -0.00030518
24.000001 -0.00015968 -97.36 0.14624 -0.00030518
26 -0.00016981 -97.774 0.14618 -0.00030518
28 -0.00019199 -98.657 0.14624 -0.00030518
30 -0.00024694 -101.11 0.1463 -0.00030518
32.000001 -0.00028175 -102.75 0.14636 -0.00030518
34 -0.00031448 -104.01 0.14636 -0.00030518
36 -0.00033283 -104.66 0.14642 -0.00030518
38 -0.00032991 -104.64 0.14624 -0.00030518
40.000001 -0.00032258 -104.26 0.14618 -0.00042725
42 -0.00032944 -104.5 0.14606 -0.00036621
44 -0.00035239 -105.35 0.14606 -0.00042725
46 -0.0004009 -107.24 0.14618 -0.00030518
48.000001 -0.00041813 -107.84 0.14618 -0.00036621
50 -0.00043237 -108.31 0.14612 -0.00036621
52 -0.00042528 -107.82 0.146 -0.00036621
54 -0.00044084 -108.48 0.14594 -0.00036621
56.000001 -0.00046909 -109.3 0.146 -0.00036621
58 -0.00052095 -111.18 0.14606 -0.00030518
60 -0.00054241 -112.04 0.14606 -0.00042725
62 -0.00054682 -112.18 0.14594 -0.00036621
64.000001 -0.00054396 -111.96 0.14581 -0.00042725
66 -0.0005554 -112.38 0.14575 -0.00042725
68 -0.00056601 -112.82 0.14563 -0.00042725
70 -0.00058175 -113.37 0.14557 -0.00036621
72 -0.00064481 -115.38 0.14557 -0.0003357
74 -0.00067044 -116.3 0.14551 -0.0003357
76 -0.00072325 -117.99 0.14548 -0.0003357
78 -0.00069774 -117.36 0.14527 -0.00030518
80 -0.00075114 -118.78 0.14527 -0.00030518
82 -0.00076473 -119.21 0.14517 -0.00030518
84 -0.00081814 -120.98 0.14517 -0.00030518
86.000001 -0.00088787 -122.86 0.14514 -0.00030518
88 -0.00089646 -123.27 0.14502 -0.00030518
90 -0.0009234 -123.7 0.14496 -0.00027466
92 -0.00094581 -124.43 0.1449 -0.00030518
94.000001 -0.0009451 -124.41 0.14478 -0.00030518
96 -0.00096512 -124.98 0.14469 -0.0003357
98 -0.00098515 -125.66 0.14459 -0.0003357
100 -0.00095988 -124.84 0.14444 -0.00030518
102 -0.0009625 -124.86 0.14432 -0.00030518
104 -0.00096322 -125 0.1442 -0.00027466
106 -0.00097108 -125.22 0.14407 -0.00030518
108 -0.00097204 -125.36 0.14392 -0.00027466
110 -0.00095201 -124.77 0.14374 -0.00030518
112 -0.00099016 -125.89 0.14368 -0.00027466
114 -0.00093914 -124.44 0.1434 -0.00027466
116 -0.00096655 -125.58 0.14328 -0.00027466
118 -0.00099922 -126.7 0.14319 -0.00027466
120 -0.0010274 -127.52 0.1431 -0.00027466
122 -0.001045 -127.94 0.14294 -0.00024414
124 -0.0010881 -129.22 0.14282 -0.00027466
126 -0.0010972 -129.71 0.1427 -0.00024414
128 -0.0011099 -130.2 0.14252 -0.00024414
130 -0.0011358 -130.68 0.14246 -0.00024414
132 -0.001116 -130.48 0.14227 -0.00024414
134 -0.0011177 -130.56 0.14212 -0.00024414
136 -0.0011103 -130.44 0.14197 -0.00024414
138 -0.0011458 -131.33 0.14188 -0.00024414
140 -0.0010886 -130.34 0.14166 -0.00024414
142 -0.0010505 -129.59 0.14148 -0.00024414
144 -0.0010343 -129.16 0.14133 -0.00024414
146 -0.00098635 -128.21 0.14114 -0.00024414
148 -0.00098992 -128.07 0.14099 -0.00027466
150 -0.00098372 -128.16 0.14084 -0.00021362
152 -0.00098539 -128.21 0.14069 -0.00024414
154 -0.00095249 -127.4 0.1405 -0.00024414
156 -0.00097204 -128.31 0.14035 -0.00024414
