Time X DEG X Y
0 -0.01176 171.24 0.594 -0.0012207
1.0100001 -0.011791 171.31 0.594 -0.0011597
1.9999998 -0.011421 172.39 0.59394 -0.0010986
3.0000001 -0.0088921 -173.32 0.58973 -0.0011597
4.0009998 -0.0040894 -128.45 0.58753 -0.0011597
4.9999999 -0.011304 172.94 0.59388 -0.0011597
6.0000001 -0.011827 171.28 0.59406 -0.0011597
6.9999998 -0.011823 171.22 0.594 -0.0011597
8 -0.011835 171.21 0.59406 -0.0011597
9.0000002 -0.011883 171.26 0.594 -0.0011597
9.9999998 -0.011832 171.32 0.594 -0.0011597
11 -0.01182 171.36 0.59406 -0.0011597
12.001 -0.011753 171.35 0.59406 -0.0011597
13 -0.0118 171.27 0.594 -0.0011597
14 -0.01176 171.35 0.59406 -0.0011597
15 -0.011723 171.34 0.594 -0.0011597
16 -0.011813 171.3 0.59412 -0.0011597
17 -0.011806 171.34 0.59406 -0.0011597
18 -0.011753 171.31 0.59406 -0.0011597
19 -0.011785 171.36 0.59406 -0.0011597
20 -0.011738 171.41 0.59406 -0.0011597
21 -0.011857 171.29 0.59406 -0.0011597
22 -0.011402 173.08 0.5929 -0.0012207
23 -0.0043507 -130.14 0.58759 -0.0011597
24 -0.011603 171.84 0.59406 -0.0011597
25 -0.011798 171.26 0.59406 -0.0011597
26 -0.011769 171.36 0.59406 -0.0011597
27 -0.005704 -144.66 0.58796 -0.0011597
28 -0.0043841 -130.36 0.58759 -0.0011597
29 -0.0042658 -129.52 0.58753 -0.0011597
30 -0.011175 173.77 0.59388 -0.0011597
31 -0.01176 171.39 0.59406 -0.0011597
32 -0.011858 171.38 0.59406 -0.0011597
33 -0.011768 171.33 0.59412 -0.0011597
34 -0.011818 171.28 0.59406 -0.0011597
35 -0.011837 171.25 0.59406 -0.0011597
36 -0.011777 171.34 0.59412 -0.0011597
37 -0.011801 171.4 0.59406 -0.0010986
38 -0.011836 171.41 0.59406 -0.0010986
39 -0.011842 171.41 0.59406 -0.0011597
40 -0.011799 171.43 0.59406 -0.0011597
41 -0.011831 171.41 0.59406 -0.0011597
42 -0.011862 171.49 0.594 -0.0011597
43 -0.0087805 -171.78 0.59003 -0.0011597
44 -0.0082608 -169.04 0.59089 -0.0011597
45 -0.011781 171.61 0.59406 -0.0011597
46 -0.011814 171.41 0.594 -0.0011597
47.001 -0.0044775 -131.31 0.58753 -0.0011597
48 -0.0044394 -130.28 0.58747 -0.0011597
49 -0.0044623 -130.59 0.58759 -0.0011597
50 -0.0044403 -130.44 0.58747 -0.0011597
51 -0.0065318 -156.33 0.59131 -0.0011597
52 -0.011856 171.5 0.59406 -0.0012207
53 -0.0097867 -177.32 0.59034 -0.0011597
54 -0.0044117 -130.36 0.58747 -0.0011597
55.001 -0.0043192 -129.77 0.58747 -0.0011597
56 -0.011771 171.99 0.594 -0.0011597
57 -0.0119 171.52 0.59406 -0.0011597
58 -0.011904 171.4 0.59406 -0.0012207
59 -0.011901 171.52 0.594 -0.0012207
60 -0.011946 171.47 0.59406 -0.0011597
61 -0.011893 171.51 0.59406 -0.0011597
62 -0.011909 171.44 0.59406 -0.0011597
63 -0.011878 171.52 0.59406 -0.0012207
64 -0.010028 179.53 0.59278 -0.0012207
65 -0.011864 171.34 0.59406 -0.0012207
66 -0.0047732 -134.39 0.58765 -0.0012207
67 -0.0094233 -177.73 0.59314 -0.0012207
68 -0.011869 171.47 0.594 -0.0012207
69 -0.011912 171.51 0.594 -0.0011597
70 -0.011881 171.52 0.59406 -0.0012207
71 -0.011859 171.56 0.594 -0.0012207
72 -0.0068274 -153.9 0.58838 -0.0011597
73 -0.006712 -156.77 0.59131 -0.0011597
74 -0.011858 171.74 0.59406 -0.0012207
75 -0.011873 171.56 0.594 -0.0011597
76 -0.011846 171.57 0.59406 -0.0011597
77 -0.0072022 -156.4 0.58844 -0.0011597
78 -0.0044165 -130.5 0.58759 -0.0011597
79 -0.0044594 -130.75 0.58753 -0.0011597
80 -0.0045147 -131.06 0.58759 -0.0011597
81 -0.0045834 -131.41 0.58759 -0.0012207
82.001 -0.011203 173.79 0.59394 -0.0011597
83 -0.011904 171.6 0.59406 -0.0012207
84 -0.011848 171.46 0.594 -0.0012207
85 -0.011894 171.57 0.594 -0.0012207
86 -0.011887 171.51 0.594 -0.0012817
87 -0.011931 171.56 0.594 -0.0012817
88 -0.011943 171.52 0.594 -0.0012207
89 -0.011066 176.09 0.59168 -0.0012817
90.001 -0.0046654 -132.06 0.58765 -0.0012207
91 -0.0046034 -131.65 0.58771 -0.0012207
92 -0.0045414 -131.45 0.58759 -0.0012207
93 -0.0044489 -131.02 0.58759 -0.0012207
94 -0.0045681 -131.63 0.58759 -0.0012207
95 -0.0047026 -132.29 0.58771 -0.0011597
96 -0.0046282 -131.71 0.58759 -0.0012207
97 -0.0045891 -131.59 0.58759 -0.0012207
98 -0.0046568 -131.93 0.58759 -0.0012207
99 -0.0045939 -131.73 0.58771 -0.0012207
100 -0.0084935 -171.49 0.59259 -0.0011597
101 -0.012029 171.55 0.594 -0.0012207
102 -0.012027 171.7 0.594 -0.0011597
103 -0.012001 171.61 0.594 -0.0011597
104 -0.011964 171.62 0.594 -0.0012207
105 -0.0088654 -169.97 0.58942 -0.0012207
106 -0.004653 -132.03 0.58771 -0.0011597
107 -0.0047512 -132.44 0.58765 -0.0012207
108 -0.011166 174.66 0.59375 -0.0012207
109 -0.011962 171.75 0.594 -0.0012207
110 -0.012026 171.77 0.594 -0.0012207
111 -0.012061 171.8 0.594 -0.0012207
112 -0.0060463 -145.55 0.58802 -0.0011597
113 -0.0049029 -133.23 0.58759 -0.0011597
114 -0.011909 172.42 0.594 -0.0012207
115 -0.012046 171.9 0.59406 -0.0012207
116 -0.012105 171.77 0.594 -0.0012207
117 -0.0059357 -143.92 0.58796 -0.0011597
118 -0.0047694 -132.54 0.58765 -0.0011597
119 -0.01185 172.29 0.594 -0.0012207
120 -0.012074 171.62 0.594 -0.0012817
121 -0.012108 171.64 0.594 -0.0012207
122 -0.012074 171.73 0.594 -0.0012207
123 -0.011998 171.77 0.59406 -0.0012207
124 -0.0065775 -150.97 0.58832 -0.0012207
125.001 -0.011904 172.11 0.594 -0.0012207
126 -0.012047 171.85 0.59406 -0.0012207
127 -0.011582 174.7 0.59223 -0.0012207
128 -0.0047541 -132.61 0.58771 -0.0012207
129 -0.0048495 -132.95 0.58771 -0.0012207
130 -0.0048132 -132.76 0.58771 -0.0012207
131 -0.0048399 -132.84 0.58771 -0.0012207
132 -0.0048857 -133.1 0.58765 -0.0012207
133.001 -0.0048581 -132.98 0.58771 -0.0012207
134 -0.011973 172.29 0.594 -0.0012207
135 -0.012089 171.83 0.594 -0.0012207
136 -0.0083743 -165.61 0.58918 -0.0012207
137 -0.0049782 -133.69 0.58771 -0.0012207
138 -0.0048285 -132.98 0.58777 -0.0012207
139 -0.0078106 -161.24 0.58887 -0.0012207
140 -0.0049134 -133.36 0.58765 -0.0011597
141 -0.0048485 -133.09 0.58771 -0.0011597
142 -0.0052405 -136.56 0.58777 -0.0012207
143 -0.0048695 -133.12 0.58765 -0.0012207
144 -0.0048504 -132.88 0.58759 -0.0012207
145 -0.0047875 -132.35 0.58753 -0.0012817
146 -0.0048304 -132.68 0.58759 -0.0011597
147 -0.0049334 -133.14 0.58759 -0.0012207
148 -0.004818 -132.68 0.58759 -0.0012207
149 -0.0080386 -166.41 0.59211 -0.0012207
150 -0.012085 171.88 0.594 -0.0012207
151 -0.012138 171.99 0.594 -0.0012207
152 -0.012014 172.21 0.59394 -0.0012207
153 -0.012139 171.9 0.594 -0.0012207
154 -0.01215 172.03 0.59394 -0.0012817
155 -0.012113 172.01 0.594 -0.0011597
156 -0.012158 172.05 0.594 -0.0012207
157 -0.012174 171.95 0.594 -0.0012207
158 -0.012089 172.01 0.59394 -0.0012207
159 -0.012086 171.95 0.594 -0.0012207
160.001 -0.0051298 -134.96 0.58759 -0.0012207
161 -0.0049115 -133.05 0.58753 -0.0012207
162 -0.0048332 -132.53 0.58753 -0.0012207
163 -0.0049839 -133.34 0.58759 -0.0011597
164 -0.004982 -133.39 0.58759 -0.0012207
165 -0.0050087 -133.52 0.58759 -0.0011597
166 -0.0049801 -133.23 0.58753 -0.0012207
167 -0.0092364 -174.18 0.59278 -0.0012207
168.001 -0.012266 172.11 0.594 -0.0012207
169 -0.01224 172.12 0.594 -0.0012207
170 -0.012222 172.05 0.594 -0.0012207
171 -0.012187 172.04 0.59394 -0.0012207
172 -0.012291 172.09 0.594 -0.0012207
173 -0.012279 172.09 0.594 -0.0011597
174 -0.012195 172.01 0.59394 -0.0012207
175 -0.0122 172.01 0.59394 -0.0012207
176.001 -0.012205 172.06 0.59394 -0.0012207
177 -0.01223 172.09 0.59394 -0.0012207
178 -0.01225 172.15 0.59394 -0.0012207
179 -0.012189 172.03 0.59394 -0.0012207
180 -0.012303 172.1 0.594 -0.0012207
181 -0.01216 172.09 0.59394 -0.0012207
182 -0.012216 172.09 0.59394 -0.0011597
183 -0.012176 172.11 0.59394 -0.0012207
184 -0.012135 172.09 0.594 -0.0011597
185 -0.012166 172.13 0.59394 -0.0011597
186 -0.0055599 -138.57 0.58765 -0.0011597
187 -0.0050602 -133.75 0.58753 -0.0012207
188 -0.0051499 -134.1 0.58759 -0.0012207
189 -0.005086 -133.82 0.58759 -0.0010376
190 -0.012039 172.64 0.59394 -0.0011597
191 -0.0060539 -144.34 0.58789 -0.0011597
192 -0.0079814 -164.8 0.5918 -0.0012207
193 -0.005044 -133.66 0.58753 -0.0011597
194 -0.011785 173.7 0.59388 -0.0011597
195 -0.012084 171.92 0.59394 -0.0011597
196 -0.012133 172.19 0.59394 -0.0011597
197 -0.0078001 -159.99 0.58869 -0.0011597
198 -0.0093632 -173.6 0.5915 -0.0011597
199 -0.012137 172.21 0.59394 -0.0011597
200 -0.012166 172.11 0.59394 -0.0012207
201 -0.012175 172.08 0.594 -0.0011597
202 -0.012174 172.17 0.594 -0.0011597
203.001 -0.012246 172.17 0.594 -0.0012207
204 -0.012189 172.16 0.59394 -0.0012207
205 -0.012178 172.06 0.59394 -0.0012207
206 -0.0122 172.13 0.59394 -0.0012207
207 -0.012205 172.1 0.59394 -0.0011597
208 -0.012227 172.12 0.59394 -0.0012207
209 -0.012228 172.16 0.59394 -0.0011597
210 -0.012239 172.2 0.59394 -0.0012207
211.001 -0.012267 172.23 0.59394 -0.0012207
212 -0.012242 172.24 0.59394 -0.0012207
213 -0.012297 172.19 0.59394 -0.0012207
214 -0.012273 172.19 0.59394 -0.0011597
215 -0.01227 172.29 0.59394 -0.0012207
216 -0.012249 172.2 0.59394 -0.0010986
217 -0.012274 172.3 0.59394 -0.0012817
218 -0.012238 172.19 0.59394 -0.0012207
219 -0.01229 172.2 0.59394 -0.0012207
220 -0.012322 172.13 0.59394 -0.0011597
221 -0.012228 172.21 0.59394 -0.0011597
222 -0.012267 172.24 0.59394 -0.0012207
223 -0.012322 172.19 0.59394 -0.0011597
224 -0.012316 172.18 0.59394 -0.0011597
225 -0.01227 172.19 0.59388 -0.0011597
226 -0.01229 172.16 0.59394 -0.0012207
227 -0.012348 172.16 0.59394 -0.0011597
228 -0.012325 172.11 0.59394 -0.0011597
229 -0.012271 172.13 0.59388 -0.0011597
230 -0.012267 172.2 0.59394 -0.0012207
231 -0.0085879 -169.48 0.59223 -0.0012817
232 -0.012296 172.24 0.59394 -0.0012207
233 -0.012368 172.15 0.59394 -0.0012207
234 -0.012354 172.21 0.59394 -0.0012207
235 -0.012408 172.16 0.59394 -0.0012207
236 -0.012332 172.27 0.59394 -0.0012207
237 -0.012346 172.29 0.59394 -0.0011597
238 -0.012226 172.24 0.59388 -0.0011597
239 -0.012334 172.31 0.59388 -0.0012207
240 -0.012409 172.34 0.59394 -0.0012207
241 -0.012425 172.19 0.59394 -0.0012207
242 -0.01236 172.26 0.59394 -0.0012207
243 -0.011448 175.54 0.59363 -0.0012207
244 -0.012305 172.41 0.59388 -0.0012207
245 -0.012387 172.28 0.59388 -0.0012207
246.001 -0.0079776 -161.12 0.58869 -0.0012207
247 -0.0050116 -133.67 0.58759 -0.0012207
248 -0.011333 176.45 0.59253 -0.0011597
249 -0.012288 172.39 0.59388 -0.0012207
250 -0.01229 172.36 0.59388 -0.0012207
251 -0.012305 172.32 0.59388 -0.0012207
252 -0.012323 172.4 0.59388 -0.0012207
253 -0.01233 172.37 0.59381 -0.0011597
254.001 -0.012326 172.49 0.59388 -0.0012207
255 -0.012357 172.38 0.59388 -0.0012207
256 -0.012341 172.54 0.59388 -0.0012207
257 -0.012384 172.62 0.59388 -0.0012207
258 -0.012416 172.52 0.59388 -0.0012817
259 -0.012346 172.45 0.59388 -0.0011597
260 -0.012361 172.48 0.59388 -0.0012207
261 -0.010837 -179.88 0.59082 -0.0012207
262 -0.0051193 -134.5 0.58771 -0.0012817
263 -0.0051298 -134.45 0.58765 -0.0012207
264 -0.0052834 -135.49 0.58796 -0.0012817
265 -0.012353 172.69 0.59388 -0.0012207
266 -0.012405 172.5 0.59388 -0.0012817
267 -0.012341 172.56 0.59369 -0.0012207
268 -0.0050946 -134.45 0.58765 -0.0012817
269 -0.0051174 -134.19 0.58759 -0.0011597
270 -0.0051441 -134.32 0.58759 -0.0011597
271 -0.0051327 -134.34 0.58765 -0.0011597
272 -0.0051174 -134.42 0.58771 -0.0011597
273 -0.0051308 -134.49 0.58771 -0.0011597
274 -0.011215 177.18 0.59351 -0.0011597
275 -0.0053034 -135.66 0.58771 -0.0012207
276 -0.0052462 -135.12 0.58771 -0.0012207
277 -0.0052758 -135.09 0.58765 -0.0012207
278 -0.0052252 -134.66 0.58759 -0.0011597
279 -0.0051995 -134.65 0.58765 -0.0011597
280 -0.0050841 -134.18 0.58765 -0.0012207
281.001 -0.01214 173.39 0.59369 -0.0011597
282 -0.012445 172.62 0.59381 -0.0011597
283 -0.012445 172.58 0.59375 -0.0011597
284 -0.01244 172.63 0.59375 -0.0012207
285 -0.012441 172.56 0.59381 -0.0011597
286 -0.012421 172.57 0.59375 -0.0012207
287 -0.0084773 -165.18 0.58912 -0.0012207
288 -0.012354 172.76 0.59375 -0.0011597
289.001 -0.012432 172.59 0.59375 -0.0012817
290 -0.012439 172.52 0.59369 -0.0011597
291 -0.012458 172.5 0.59369 -0.0012207
292 -0.01239 172.48 0.59369 -0.0012207
293 -0.012402 172.62 0.59357 -0.0012817
294 -0.0052481 -135.54 0.58777 -0.0012207
295 -0.0057421 -139.78 0.58789 -0.0012207
296 -0.012274 173.13 0.59369 -0.0012817
297 -0.0054713 -137.03 0.58783 -0.0012207
298 -0.0052395 -135.31 0.58783 -0.0012207
299 -0.0053044 -135.66 0.58789 -0.0012207
300 -0.0053864 -137.84 0.58832 -0.0012817
