Time X DEG X DEG
0 0.00027156 53.149 0.5821 0.03125
1.0100001 0.00020993 61.672 0.5821 0.023438
1.9999998 0.00023759 58.047 0.5821 0.023438
3.0000001 0.0001303 71.438 0.5821 0.023438
4.0000003 0.00021792 59.485 0.5821 0.023438
4.9999999 0.00022745 61.524 0.5821 0.023438
6.0000001 0.00037086 52.102 0.5821 0.03125
7.0000004 0.00025988 61.883 0.5821 0.023438
8 0.00023806 59.399 0.5821 0.023438
9.0000002 0.00022435 62.297 0.5821 0.023438
10 0.00023902 61.852 0.5821 0.023438
11 0.00039172 53.133 0.5821 0.023438
12 0.00020468 64.071 0.5821 0.023438
13 0.00023616 53.922 0.5821 0.023438
14 0.0002141 54.492 0.58203 0.023438
15 0.00021625 56.477 0.58203 0.023438
16 0.00018525 60.664 0.5821 0.023438
17 0.00011098 71.829 0.5821 0.023438
18 0.00015748 63.086 0.5821 0.023438
19 0.00019789 54.407 0.5821 0.023438
20 0.0002209 52.797 0.5821 0.023438
21 0.00039733 30.625 0.58216 0.023438
22 0.00027883 45.453 0.5821 0.023438
23 0.00030029 42.25 0.5821 0.023438
24 0.00024498 49.735 0.5821 0.023438
25 0.00031424 43.891 0.58203 0.023438
26 0.00030685 45.922 0.5821 0.023438
27 0.00034929 40.672 0.5821 0.023438
28 0.00037444 35.492 0.5821 0.023438
29 0.00037575 32.985 0.5821 0.023438
30 0.00028646 46.414 0.5821 0.015625
31 0.00020731 55.797 0.58216 0.023438
32 0.00025845 44.336 0.58216 0.015625
33 0.00035239 30.18 0.58216 0.015625
34 0.00039244 26.289 0.5821 0.015625
35 0.00044811 24.719 0.58216 0.023438
36 0.00049925 16.11 0.58216 0.023438
37 0.00048173 22.852 0.58216 0.023438
38 0.0005107 17.75 0.58216 0.015625
39 0.00044799 26.024 0.58216 0.023438
40 0.0004921 21.094 0.58216 0.015625
41 0.00046706 20.664 0.58216 0.023438
42 0.00048447 23.281 0.58216 0.023438
43 0.00046695 22.68 0.58216 0.015625
44 0.0004282 24.68 0.58216 0.015625
45 0.00052262 19.18 0.58216 0.023438
46 0.00030625 41.328 0.58216 0.023438
47 0.0004921 26.203 0.58216 0.015625
48 0.00052643 25.078 0.58216 0.015625
49 0.00049973 35.211 0.58216 0.015625
50 0.00067711 22.789 0.58216 0.015625
51 0.00060022 21.875 0.58216 0.015625
52 0.00044203 31.758 0.58216 0.015625
53 0.00062514 22.875 0.58216 0.023438
54 0.0005517 17.203 0.58216 0.015625
55 0.00054241 16.633 0.58216 0.015625
56 0.00048638 22.414 0.58216 0.015625
57 6.0797E-5 79.227 0.5821 0.023438
58 0.00055623 15.68 0.58216 0.023438
59 0.0004859 20.672 0.58216 0.015625
60 0.00037229 28.516 0.58216 0.015625
61 0.00043845 21.297 0.58216 0.015625
62 0.00045526 16.492 0.58216 0.023438
63 0.00048852 14.484 0.58216 0.023438
64 0.00036991 23.008 0.58216 0.015625
65 0.0013343 29.5 0.58216 0.023438
66 0.0018667 34.711 0.58216 0.023438
67 0.0011463 30.235 0.58216 0.015625
68 0.0014356 21.055 0.58216 0.015625
69 0.0012568 25.649 0.58216 0.015625
70 0.0012847 25.18 0.5821 0.015625
71 0.0014671 20.977 0.5821 0.015625
72 0.0010328 31.008 0.5821 0.015625
73 0.0015476 26.93 0.5821 0.0078126
74 0.0013557 36.539 0.5821 0.015625
75 0.001529 27.633 0.5821 0.0078126
76 0.0018005 19.328 0.5821 0.0078126
77 0.0019147 23.344 0.5821 0.0078126
78 0.0017908 26.344 0.5821 0
79 0.0021308 14.688 0.5821 0.015625
80 0.0020564 25.906 0.5821 0
81 0.0018404 33.914 0.5821 0.0078126
82 0.0020879 36.867 0.58203 0.0078126
83 0.0018268 35.867 0.5821 0
84 0.0025094 26.164 0.5821 0.0078126
85 0.0016272 25.203 0.5821 0
86 0.0017021 18.563 0.5821 0
87 0.0015516 16.258 0.5821 0
88 0.0014598 17.594 0.5821 0
89 0.0015638 18.844 0.5821 0
90 0.0015988 12.25 0.5821 0
91 0.0019589 17.766 0.58203 0
92 0.0017624 17.93 0.58203 0
93 0.002049 16.414 0.58197 0
94 0.001977 18.735 0.58191 0
95 0.001926 12.5 0.58197 0
96 0.0020256 16.156 0.58203 0
97 0.0021906 14.203 0.58203 0
98 0.0020323 13.906 0.58203 0
99 0.0016675 18.508 0.58203 0
100 0.0020886 10.414 0.58203 0
101 0.0020066 14.125 0.58203 -0.0078126
102 0.0018826 12.149 0.58203 -0.0078126
103 0.0019994 14.399 0.58203 -0.0078126
104 0.0019446 13.781 0.58203 -0.0078126
105 0.0023494 10.805 0.58203 -0.0078126
106 0.0020385 13.852 0.58203 -0.0078126
107 0.0022278 11.75 0.58203 -0.0078126
108 0.0023337 12.125 0.58203 -0.0078126
109 0.0024667 8.4766 0.58203 0
110 0.0024786 10.656 0.58203 -0.0078126
111 0.0024934 6.6172 0.58203 -0.0078126
112 0.002223 12.563 0.58203 -0.0078126
113 0.0025339 7.0078 0.58203 -0.0078126
114 0.0024796 7.2657 0.58203 0
115 0.0026169 6.5938 0.58203 -0.0078126
116 0.0023761 10.102 0.5821 -0.0078126
117 0.0022411 14.141 0.58203 0
118 0.0022001 10.336 0.58203 -0.0078126
119 0.0022988 8.2813 0.58203 -0.0078126
120 0.0023542 14.375 0.58203 -0.015625
121 0.0021253 14.594 0.58197 -0.0078126
122 0.0019989 24.86 0.58203 -0.015625
123 0.0025845 19.578 0.58203 -0.0078126
124 0.0036316 10.219 0.58203 -0.015625
125 0.0027852 17.141 0.58203 -0.015625
126 0.0025568 22.391 0.58203 -0.015625
127 0.0021515 18.602 0.58203 -0.015625
128 0.0024996 14.391 0.58203 -0.015625
129 0.0026312 14.75 0.58197 -0.015625
130 0.0024061 19.656 0.58197 -0.015625
131 0.0020137 22.485 0.58197 -0.015625
132 0.00212 18.07 0.58197 -0.015625
133 0.0022555 14.164 0.58197 -0.015625
134 0.0022936 14.281 0.58197 -0.015625
135 0.0026612 10.75 0.58197 -0.015625
136 0.0021339 16.313 0.58197 -0.015625
