Time X DEG X DEG
0 -0.0010672 -105.79 0.36115 -0.99219
1.3090001 -0.0013495 -109.3 0.36121 -0.99219
2.0000005 -0.00098611 -104.63 0.36121 -0.98438
3.0000001 -0.00059128 -100.92 0.36121 -1
4.0000003 -0.00049305 -98.883 0.36121 -1.0078
5.0000005 -0.00052357 -99.836 0.36121 -0.99219
6.0000001 -0.00035 -96.782 0.36121 -0.99219
7.0000004 -8.0109E-5 -91.461 0.36121 -0.98438
8.0000006 0.00022316 -84.594 0.36127 -1
9.0000002 6.7711E-5 -88.336 0.36127 -1
10 9.4414E-5 -87.868 0.36127 -0.99219
11 0.00030327 -82.001 0.36133 -1
12 0.00071717 -64.735 0.36133 -1
13.000001 0.00053406 -70.727 0.36139 -1
14 0.00077153 -60.274 0.36133 -1
15 0.0013046 -41.094 0.36133 -1.0078
16.000001 0.0011063 -55.11 0.36127 -1
17 0.00056839 -77.68 0.36121 -1
18 0.00061322 -78.977 0.36121 -0.99219
19 0.00016976 -86.782 0.36121 -0.98438
20 0.00030995 -84.391 0.36121 -0.98438
21.000001 0.00044537 -81.766 0.36121 -0.98438
22 0.00014687 -87.547 0.36121 -0.99219
23 0.0002451 -85.336 0.36121 -0.98438
24.000001 0.00031185 -84.43 0.36121 -0.98438
25 0.00020599 -86.04 0.36121 -0.98438
26 0.00053025 -80.563 0.36121 -0.98438
27 0.00060273 -78.977 0.36121 -0.99219
28 0.00050545 -80.758 0.36121 -0.98438
29 0.00043011 -82.29 0.36121 -0.98438
30 0.00043106 -82.422 0.36121 -0.98438
31 -1.6213E-5 -90.11 0.36121 -0.98438
32.000001 0.00030899 -84.563 0.36121 -0.98438
33 0.00025177 -85.493 0.36121 -0.98438
34 0.00037575 -83.11 0.36121 -0.98438
35 -9.4414E-5 -91.774 0.36121 -0.98438
36 3.7194E-5 -89.274 0.36121 -0.98438
37 -0.00036144 -96.797 0.36127 -0.98438
38 0.00030041 -84.321 0.36121 -0.98438
39 0.00031567 -84.149 0.36121 -0.98438
40.000001 3.624E-5 -89.336 0.36121 -0.99219
41 -0.00019264 -93.579 0.36121 -0.99219
42 -0.00055123 -99.735 0.36121 -0.99219
43 -0.00041485 -97.313 0.36127 -0.99219
44 -0.00017166 -93.04 0.36121 -0.99219
45 -0.00021649 -94.172 0.36121 -0.98438
46 -0.00084877 -104.77 0.36127 -0.99219
47 -0.0011692 -110.03 0.36133 -0.98438
48.000001 -0.001193 -110.48 0.36127 -0.98438
49 -0.00072194 -102.95 0.36127 -0.99219
50 -0.0013504 -112.74 0.36133 -0.98438
51.000001 -0.0011349 -109.05 0.36127 -0.98438
52 -0.0015221 -114.54 0.36133 -0.99219
53 -0.0013819 -111.95 0.36133 -0.98438
54 -0.0014076 -112.25 0.36133 -0.99219
55 -0.0019484 -120.21 0.36139 -0.98438
56.000001 -0.002286 -126.13 0.36145 -0.98438
57 -0.0025368 -127.27 0.36145 -0.99219
58 -0.0024653 -126.67 0.36145 -0.98438
59.000001 -0.0027046 -129.88 0.36145 -0.99219
60 -0.0025435 -128.91 0.36145 -0.98438
61 -0.0025101 -127.7 0.36145 -0.98438
