I1(135deg) X DEG X DEG
1.9 -0.00027657 161.9 0.46088 -0.0078126
1.8 -0.00031376 148.52 0.46094 -0.0078126
1.7 -0.00044775 171.06 0.46088 0
1.6 -0.00028134 157.22 0.46082 -0.0078126
1.5 -0.00028944 154.68 0.46076 -0.0078126
1.4 -0.00032902 159.05 0.46082 0
1.3 -0.00039339 158.83 0.46088 0
1.2 -0.00041247 153.57 0.46088 -0.0078126
1.1 -0.00038624 160.58 0.46076 0
1 -0.0003109 143.24 0.46076 0
0.9 -0.00031805 166.15 0.4607 0
0.8 -0.00031948 165.59 0.4607 0
0.7 -0.00026178 145.9 0.4607 0
0.6 -0.00035668 155.68 0.4607 0
0.5 -0.00022602 166.03 0.46051 0
0.4 -0.00046253 166.95 0.46063 0
0.3 -0.00048685 163.32 0.46063 -0.0078126
0.2 -0.00028038 142.63 0.46057 0
0.1 -0.0003233 145.59 0.46051 0
1.110223E-16 -0.00043249 159.8 0.46051 0
-0.1 -0.00029421 150.92 0.46039 0
-0.2 -0.00052453 171.58 0.46039 0
-0.3 -0.00040961 158.12 0.46033 -0.0078126
-0.4 -0.00047207 160.89 0.46033 0
-0.5 -0.00084019 170.82 0.46051 0
-0.6 -0.0037842 178.66 0.46155 -0.0078126
-0.7 -0.0036564 177.52 0.46155 -0.015625
-0.8 -0.0038433 178.59 0.46161 -0.0078126
-0.9 -0.0038862 179.58 0.46155 -0.0078126
-1 -0.003623 178.03 0.46155 -0.0078126
-1.1 -0.0034189 176.17 0.46143 -0.0078126
-1.2 -0.0034194 177.34 0.46143 -0.015625
-1.3 -0.00057507 176.24 0.46009 -0.0078126
-1.4 -0.00056792 169.35 0.46021 -0.0078126
-1.5 -0.0006671 172.62 0.46015 -0.0078126
-1.6 -0.0007453 -179.88 0.46015 -0.0078126
-1.7 -0.00044108 166.67 0.46002 -0.0078126
-1.8 -0.00057936 171.1 0.46009 -0.0078126
-1.9 -0.00063229 174.39 0.46002 0
-2 -0.00055838 172.19 0.45996 0
