I1(135deg) X DEG X DEG
-2 2.7657E-5 85.883 0.46747 0.015625
-1.9 9.203E-5 76.352 0.46741 0.023438
-1.8 9.8706E-5 74.829 0.46735 0.023438
-1.7 4.53E-5 81.165 0.46729 0.023438
-1.6 0.00015879 68.477 0.46729 0.023438
-1.5 4.4823E-5 83.141 0.46735 0.023438
-1.4 0.00026131 58.102 0.46723 0.023438
-1.3 4.0055E-5 84.211 0.46729 0.015625
-1.2 -2.3842E-6 90.219 0.46729 0.023438
-1.1 0.00021649 62.305 0.46717 0.015625
-1 0.00010729 74.626 0.46723 0.023438
-0.9 0.00024939 60.711 0.46717 0.023438
-0.8 3.3379E-5 84.43 0.46717 0.023438
-0.7 0.00013256 72.336 0.46717 0.023438
-0.6 0.00021362 60.547 0.46717 0.023438
-0.5 0.0001936 64.055 0.46717 0.015625
-0.4 0.00018406 64.883 0.4671 0.015625
-0.3 0.00014496 70.352 0.4671 0.015625
-0.2 9.3937E-5 74.422 0.4671 0.015625
-0.1 0.00019789 61.946 0.46704 0.023438
1.110223E-16 0.00028372 58.461 0.46698 0.015625
0.1 0.00017262 65.719 0.46698 0.0078126
0.2 4.1485E-5 82.336 0.46698 0.015625
0.3 2.861E-6 89.93 0.46698 0.015625
0.4 4.53E-5 83.391 0.46698 0
0.5 -0.00028134 131.59 0.46692 0.0078126
0.6 -0.0064936 176.17 0.46698 0.0078126
0.7 -0.0067115 176.67 0.46692 0
0.8 -0.0067816 176.66 0.46698 0
0.9 -0.0066944 176.16 0.46698 0.0078126
1 -0.006661 176.35 0.46686 0.0078126
1.1 -0.006516 175.56 0.46692 0.015625
1.2 -0.0067211 176.63 0.46692 0.0078126
1.3 6.3897E-5 76.899 0.4668 0.0078126
1.4 0.00016499 66.211 0.4668 0.0078126
1.5 0.00012493 70.36 0.46674 0
1.6 0.00021792 45.375 0.46668 0.0078126
1.7 0.00017786 57.555 0.46668 0
1.8 0.000278 41.242 0.46662 0
1.9 0.00028563 47.914 0.46668 0.0078126
