I2(45deg) X DEG X DEG
1.9 0.00041771 57.555 0.52619 3.9297
1.8 0.00046826 53.5 0.52637 3.9141
1.7 0.00047302 53.383 0.52564 3.9453
1.6 0.00044966 54.594 0.52527 3.9609
1.5 0.000453 54.399 0.5257 3.9453
1.4 0.0004282 56.438 0.52552 3.9453
1.3 0.00046444 54.117 0.5257 3.9453
1.2 0.00036764 61.102 0.52509 3.9609
1.1 0.0003953 58.75 0.52552 3.9453
1 0.00036526 61.219 0.52509 3.9531
0.9 0.00037623 60.336 0.52533 3.9531
0.8 0.00042057 57.172 0.52564 3.9375
0.7 0.00039864 58.899 0.52546 3.9531
0.6 0.00040722 57.563 0.52558 3.9453
0.5 0.00040817 58.313 0.52558 3.9375
0.4 0.00039864 58.914 0.52527 3.9531
0.3 0.00040436 58.727 0.52521 3.9609
0.2 0.00043631 56.93 0.52533 3.9531
0.1 0.0004282 57.196 0.52539 3.9531
1.110223E-16 0.00039864 58.774 0.52558 3.9375
-0.1 0.00036955 61.047 0.52533 3.9531
-0.2 0.00037861 60.61 0.52533 3.9531
-0.3 0.00037956 60.063 0.52552 3.9531
-0.4 -0.00015402 104.59 0.52546 3.9453
-0.5 -0.0049987 176.22 0.52539 3.9453
-0.6 -0.0050206 176.28 0.52515 3.9609
-0.7 -0.004951 176.38 0.5257 3.9297
-0.8 -0.0050378 176.31 0.52552 3.9453
-0.9 -0.0050841 176.33 0.52594 3.9297
-1 -0.0051117 176.25 0.52594 3.9219
-1.1 -0.0049539 175.99 0.52588 3.9297
-1.2 0.000772 40.922 0.52576 3.9297
-1.3 0.00078297 41 0.52576 3.9297
-1.4 0.00078679 40.43 0.52515 3.9531
-1.5 0.00079298 39.75 0.52564 3.9297
-1.6 0.00078822 40.047 0.52576 3.9297
-1.7 0.00078392 40.571 0.52588 3.9141
-1.8 0.00081253 39.313 0.52564 3.9297
-1.9 0.00080109 39.532 0.52552 3.9297
-2 0.0008235 39.297 0.52552 3.9375
