I1(135deg) X DEG X DEG
-2 7.6295E-6 -89.719 0.53876 -0.13281
-1.9 6.8665E-5 -88.36 0.53882 -0.13281
-1.8 6.1036E-5 -88.305 0.53876 -0.14063
-1.7 -1.3352E-5 -90.368 0.53876 -0.13281
-1.6 -0.00022507 -96.04 0.53864 -0.13281
-1.5 -0.0002327 -96.532 0.53858 -0.13281
-1.4 -0.00030136 -98.594 0.53846 -0.13281
-1.3 -0.00043917 -102.17 0.53839 -0.14063
-1.2 -0.00038958 -100.84 0.53846 -0.13281
-1.1 -0.00038767 -100.64 0.53839 -0.14063
-1 -0.0003314 -99.266 0.53833 -0.14844
-0.9 2.0981E-5 -89.633 0.53833 -0.14063
-0.8 -0.00031471 -98.758 0.53821 -0.14844
-0.7 -0.0001607 -94.36 0.53833 -0.14844
-0.6 -0.00011587 -93.188 0.53833 -0.14844
-0.5 -3.3379E-6 -90.063 0.53833 -0.14844
-0.4 -6.342E-5 -91.594 0.53821 -0.14844
-0.3 0.00017357 -85.383 0.53833 -0.14844
-0.2 0.00021982 -84.251 0.53839 -0.14844
-0.1 0.00021315 -83.876 0.53833 -0.14844
1.110223E-16 0 -89.93 0.53827 -0.15625
0.1 0.00010538 -86.985 0.53839 -0.15625
0.2 0.0001998 -84.469 0.53839 -0.15625
0.3 8.4878E-5 -87.516 0.53833 -0.15625
0.4 0.00025129 -82.836 0.53827 -0.15625
0.5 0.00030232 -81.274 0.53827 -0.15625
0.6 0.0067082 -18.11 0.53827 -0.15625
0.7 0.0067244 -18.055 0.53809 -0.16406
0.8 0.0067182 -18.36 0.53809 -0.15625
0.9 0.0067783 -18.156 0.53803 -0.15625
1 0.0069208 -17.406 0.53803 -0.15625
1.1 0.0067211 -18.016 0.53803 -0.15625
1.2 0.006548 -18.352 0.53797 -0.15625
1.3 5.1975E-5 -88.751 0.53797 -0.15625
1.4 0.00023794 -83.469 0.53809 -0.15625
1.5 0.00012016 -86.735 0.53803 -0.16406
1.6 -8.154E-5 -92.008 0.53797 -0.15625
1.7 1.2398E-5 -89.422 0.53797 -0.15625
1.8 7.248E-5 -88.063 0.53797 -0.15625
1.9 -0.00017786 -95.047 0.53778 -0.15625
