Ieff(90deg) X DEG X DEG
-9.26 -0.00097132 -126.06 0.4491 0.24219
-8.6 -0.00064373 -116.47 0.44904 0.25
-7.98 -0.00046253 -109.89 0.44904 0.24219
-7.39 -0.00032139 -104.03 0.44904 0.25
-6.82 -0.00013495 -95.735 0.44904 0.25
-6.23 5.5313E-5 -87.571 0.44904 0.25
-6.23 4.2916E-6 -89.688 0.44904 0.25
-5.63 0.00023699 -79.602 0.44904 0.25
-5.06 0.00034952 -74.829 0.44904 0.25
-4.53 0.00047922 -70.188 0.44904 0.25781
-3.96 0.00063658 -64.118 0.44904 0.25
-3.4 0.0008936 -54.914 0.4491 0.25781
-2.84 0.001009 -52.102 0.44904 0.25
-2.28 0.001245 -44.703 0.4491 0.25
-2.01 0.0012503 -45.383 0.4491 0.25
-1.46 0.0013928 -42.625 0.4491 0.25
-1.05 0.0014877 -40.367 0.4491 0.25
-0.5 0.0014906 -41.172 0.4491 0.24219
0 0.0016823 -36.258 0.44916 0.25
0.52 0.0017553 -36.414 0.4491 0.24219
0.99 0.0017567 -36.203 0.44916 0.24219
1.49 -0.0042215 -163.13 0.44971 0.24219
2.02 -0.0043536 -163.81 0.44953 0.23438
2.56 -0.0043431 -164.03 0.44953 0.24219
2.97 -0.0044618 -163.72 0.4494 0.23438
3.68 -0.004438 -163.46 0.44934 0.24219
4.22 -0.0018497 -144.38 0.44892 0.24219
4.78 -0.00021172 -98.743 0.44867 0.25
4.78 -1.7643E-5 -90.618 0.44861 0.24219
5.32 0.00055933 -66.407 0.44849 0.25
5.89 0.00038338 -73.157 0.44843 0.25
6.48 0.00019694 -81.813 0.44837 0.25
7.07 0.00018454 -81.852 0.44837 0.25
7.67 7.2957E-5 -86.805 0.44837 0.25
8.26 -0.00020313 -98.235 0.44824 0.25
8.26 -0.00017309 -97.54 0.44824 0.24219
8.88 -0.00021935 -99.477 0.44824 0.25
