Ieff(90deg) X DEG X DEG
9.2 -0.00022268 114.32 0.43256 0.11719
8.55 -0.00019884 110.74 0.4325 0.125
7.95 -0.00022936 111.49 0.43244 0.125
7.36 -0.00038815 128.48 0.43238 0.125
6.74 -0.00033856 122.72 0.43231 0.11719
6.74 -0.00031996 123.31 0.43231 0.125
6.14 -0.00039101 125.67 0.43225 0.125
5.55 -0.00041342 126.84 0.43219 0.125
5.04 -0.00031901 120.77 0.43213 0.125
4.5 -0.00031805 122.26 0.43207 0.125
3.93 -0.00020409 110.45 0.43201 0.125
3.4 -0.00019646 113.4 0.43189 0.125
2.84 -0.00021267 114.47 0.43183 0.125
2.29 -8.3924E-5 100.61 0.43176 0.125
1.95 2.718E-5 87.344 0.43176 0.14063
1.54 -1.1444E-5 91.071 0.4317 0.125
0.99 0.00014258 73.657 0.43158 0.13281
0.47 0.00018024 69.938 0.43158 0.125
-0.03 0.00040436 50.547 0.43152 0.13281
-0.55 0.00057269 38.602 0.4314 0.125
-1.02 0.00086117 28.508 0.43134 0.125
-1.53 0.0058713 3.9922 0.43219 0.125
-2.05 0.0056954 4.8594 0.43219 0.13281
-2.46 0.0056606 5.5313 0.43225 0.13281
-3.03 0.0053926 5.6172 0.43225 0.13281
-3.71 0.0049353 5.961 0.43231 0.125
-4.27 0.002626 11.633 0.43201 0.13281
-4.27 0.0017667 17.688 0.43183 0.13281
-4.81 1.1921E-5 89.047 0.43164 0.125
-5.35 -0.00038004 128.39 0.43158 0.13281
-5.94 -0.0003233 117.52 0.43158 0.125
-6.54 -0.00042439 131.16 0.43158 0.13281
-7.13 -0.00050068 134.84 0.43164 0.125
-7.72 -0.00052977 136.13 0.43164 0.13281
-7.72 -0.00059081 137.61 0.43164 0.13281
-8.29 -0.00054837 136.7 0.43164 0.13281
-8.94 -0.00054503 136.81 0.43164 0.125
