I1(135deg) X DEG X DEG
1.9 -0.00052071 -90.915 0.57648 -0.78125
1.8 -0.0008564 -91.68 0.57636 -0.76563
1.7 -0.00090409 -91.852 0.5763 -0.78125
1.6 9.7275E-5 -89.813 0.57648 -0.78907
1.5 0.00023461 -89.54 0.5766 -0.78125
1.4 0.00096703 -88.204 0.57673 -0.78125
1.3 0.00014305 -89.657 0.5766 -0.78125
1.2 0.00072575 -88.493 0.57673 -0.77344
1.1 0.00074482 -88.508 0.57666 -0.77344
1 0.0022564 -85.68 0.57691 -0.78125
0.9 0.0021782 -85.758 0.57691 -0.77344
0.8 0.0021038 -85.805 0.57697 -0.77344
0.7 0.0021801 -85.844 0.57691 -0.77344
0.6 0.0017862 -86.501 0.57679 -0.77344
0.5 0.0022478 -85.766 0.57679 -0.78125
0.4 0.0017252 -86.555 0.57679 -0.78125
0.3 0.0035658 -83.313 0.57703 -0.78907
0.2 0.0018892 -86.321 0.57679 -0.78125
0.1 0.00048828 -88.969 0.57654 -0.78125
1.110223E-16 0.0021439 -85.946 0.57685 -0.78125
-0.1 0.0029783 -84.352 0.57691 -0.78907
-0.2 0.0028963 -84.508 0.57691 -0.78907
-0.3 0.0024014 -85.461 0.57666 -0.79688
-0.4 0.0020657 -86.063 0.5766 -0.78125
-0.5 0.0025711 -85.086 0.57648 -0.78907
-0.6 0.0066233 -77.618 0.57593 -0.78907
-0.7 0.0083819 -74.836 0.57624 -0.80469
-0.8 0.0065861 -77.915 0.57581 -0.80469
-0.9 0.0075951 -75.797 0.57612 -0.80469
-1 0.0066748 -77.563 0.57581 -0.80469
-1.1 0.0058546 -79.165 0.57556 -0.80469
-1.2 0.0073824 -76.797 0.57593 -0.8125
-1.3 0.0003767 -89.243 0.57599 -0.80469
-1.4 -0.00039196 -90.618 0.57581 -0.80469
-1.5 -0.0004158 -90.829 0.57569 -0.80469
-1.6 -3.5286E-5 -90.04 0.57581 -0.80469
-1.7 -2.1935E-5 -90.063 0.57575 -0.80469
-1.8 0.00057984 -89.032 0.57587 -0.8125
-1.9 0.00010967 -89.891 0.57575 -0.82032
-2 0.0001154 -89.672 0.57581 -0.82813
