I1(135deg) X DEG X DEG
-2 -2.0027E-5 -90.016 0.61066 -0.70313
-1.9 -0.00013828 -90.297 0.6106 -0.71094
-1.8 0.0011215 -87.876 0.61091 -0.70313
-1.7 0.00077725 -88.516 0.61084 -0.71094
-1.6 0.00092698 -88.157 0.61091 -0.70313
-1.5 0.0018473 -86.469 0.61103 -0.71094
-1.4 0.0018368 -86.579 0.61097 -0.71875
-1.3 0.001193 -87.719 0.61078 -0.72657
-1.2 -7.6294E-5 -90.188 0.61054 -0.71094
-1.1 0.0010357 -88.133 0.61066 -0.72657
-1 0.0011749 -87.805 0.61066 -0.72657
-0.9 0.0014896 -87.165 0.61084 -0.71094
-0.8 0.00038242 -89.29 0.61054 -0.70313
-0.7 0.0016422 -86.93 0.61072 -0.73438
-0.6 1.9074E-6 -90.047 0.61048 -0.71094
-0.5 0.0011664 -87.79 0.61066 -0.72657
-0.4 0.00061226 -88.844 0.6106 -0.72657
-0.3 0.00086499 -88.336 0.6106 -0.71094
-0.2 0.00077057 -88.602 0.6106 -0.71875
-0.1 0.00090027 -88.274 0.6106 -0.71094
1.110223E-16 0.0015268 -87.118 0.61072 -0.71875
0.1 0.0023403 -85.61 0.61091 -0.71875
0.2 0.0021639 -85.915 0.61091 -0.71875
0.3 0.0023051 -85.649 0.61097 -0.71094
0.4 0.0023565 -85.438 0.61097 -0.71094
0.5 0.0045443 -81.344 0.61091 -0.71094
0.6 0.0077763 -75.54 0.61054 -0.71094
0.7 0.0087271 -73.868 0.61072 -0.71094
0.8 0.0076247 -75.672 0.61048 -0.71094
0.9 0.0081149 -75.001 0.61048 -0.71875
1 0.0081092 -74.821 0.61054 -0.70313
1.1 0.0084124 -74.305 0.61054 -0.71875
1.2 0.007885 -75.251 0.61048 -0.71094
1.3 0.0017443 -86.657 0.6106 -0.70313
1.4 0.0014772 -87.196 0.6106 -0.70313
1.5 0.0018463 -86.477 0.6106 -0.71094
1.6 0.0014305 -87.172 0.6106 -0.70313
1.7 0.0020561 -86.094 0.61066 -0.71094
1.8 0.0034208 -83.633 0.61097 -0.72657
1.9 0.0028916 -84.532 0.61084 -0.72657
