Ieff(90deg) X DEG X DEG
9.85 -0.0023995 -94.415 0.58741 -0.80469
9.2 -0.00385 -97.157 0.58704 -0.80469
9.2 -0.0049811 -99.196 0.58674 -0.8125
8.55 -0.0046025 -98.54 0.5868 -0.80469
7.95 -0.0034428 -96.227 0.58698 -0.82813
7.36 -0.0039902 -97.282 0.58686 -0.82032
6.74 -0.0023318 -94.18 0.58722 -0.82813
6.74 -0.002388 -94.36 0.58716 -0.82813
6.14 -0.0025435 -94.516 0.5871 -0.83594
5.55 -0.0034208 -96.196 0.58698 -0.82813
5.04 -0.0030661 -95.461 0.58704 -0.83594
4.5 -0.0025215 -94.563 0.5871 -0.85157
3.93 -0.0032654 -95.915 0.58698 -0.82813
3.4 -0.0035258 -96.344 0.58692 -0.83594
2.84 -0.0043993 -98.133 0.5868 -0.82813
2.29 -0.0034647 -96.329 0.58698 -0.83594
1.95 -0.0023108 -94.126 0.58722 -0.83594
1.54 -0.0024147 -94.282 0.58722 -0.84375
0.99 -0.0043803 -97.985 0.58686 -0.82813
0.47 -0.0040589 -97.368 0.58698 -0.82813
-0.03 -0.0037031 -96.665 0.58704 -0.83594
-0.55 -0.0038214 -96.977 0.58704 -0.82813
-1.02 -0.0032454 -95.954 0.58722 -0.83594
-1.53 -0.0097829 -107.2 0.5871 -0.83594
-2.05 -0.0095645 -106.88 0.5871 -0.83594
-2.46 -0.0092927 -106.58 0.58704 -0.83594
-3.03 -0.0090752 -106.1 0.58698 -0.83594
-3.71 -0.0086327 -105.45 0.58698 -0.82813
-4.27 -0.0068522 -102.48 0.58674 -0.82813
-4.27 -0.0060053 -100.93 0.58667 -0.82813
-4.81 -0.0057307 -100.59 0.58631 -0.82813
-5.35 -0.0034638 -96.274 0.58661 -0.82813
-5.94 -0.0015373 -92.805 0.58698 -0.82813
-6.54 -0.0025101 -94.594 0.58674 -0.82813
-7.13 -0.00348 -96.446 0.58649 -0.82813
-7.72 -0.0034628 -96.297 0.58643 -0.82813
-7.72 -0.0027866 -95.094 0.58649 -0.83594
-8.29 -0.0025149 -94.516 0.58661 -0.82813
-8.94 -0.002224 -94.172 0.58667 -0.82813
-9.59 -0.0031881 -95.938 0.58637 -0.82813
-10.21 -0.0038395 -96.93 0.58625 -0.82813
