Ieff(90deg) X DEG X DEG
-9.91 -0.0044155 -98.266 0.5896 -0.75782
-9.26 -0.0033045 -96.133 0.58979 -0.76563
-9.26 -0.0044394 -98.352 0.5896 -0.75
-8.6 -0.0046463 -98.797 0.58954 -0.75
-7.98 -0.0035935 -96.735 0.58966 -0.76563
-7.39 -0.0042467 -97.985 0.58954 -0.75
-6.82 -0.00385 -97.258 0.5896 -0.75
-6.23 -0.0042906 -98.204 0.58942 -0.75
-6.23 -0.0035162 -96.602 0.58954 -0.76563
-5.63 -0.00348 -96.532 0.58954 -0.76563
-5.06 -0.0035973 -96.751 0.58954 -0.76563
-4.53 -0.0035153 -96.672 0.58954 -0.76563
-3.96 -0.0019856 -93.743 0.58991 -0.77344
-3.4 -0.0021105 -93.938 0.58979 -0.77344
-2.84 -0.00097752 -91.954 0.59003 -0.76563
-2.28 -0.0011578 -92.165 0.59003 -0.78125
-2.01 1.9074E-6 -89.891 0.59027 -0.78125
-1.46 -0.0015736 -92.946 0.58997 -0.76563
-1.05 -0.0016251 -93.149 0.58991 -0.77344
-0.5 -0.0033245 -96.29 0.5896 -0.77344
0 -0.0026827 -95.141 0.58973 -0.76563
0.52 -0.0041495 -97.86 0.58942 -0.77344
0.99 -0.0040312 -97.438 0.58954 -0.78125
1.49 -0.010287 -108.81 0.58936 -0.77344
2.02 -0.010179 -108.63 0.5893 -0.77344
2.56 -0.01062 -109.45 0.58918 -0.77344
2.97 -0.010091 -108.34 0.58924 -0.78125
3.68 -0.010162 -108.52 0.58905 -0.78125
4.22 -0.0077067 -104.42 0.58881 -0.76563
4.78 -0.0041981 -97.915 0.58918 -0.77344
4.78 -0.0046921 -98.961 0.58893 -0.76563
5.32 -0.0032215 -96.133 0.58918 -0.76563
5.89 -0.0033722 -96.571 0.58899 -0.75782
6.48 -0.0047131 -99.032 0.58869 -0.76563
7.07 -0.0047522 -98.938 0.58863 -0.77344
7.67 -0.0044299 -98.485 0.58863 -0.76563
8.26 -0.0022345 -94.235 0.58905 -0.78125
8.26 -0.002182 -94.126 0.58899 -0.77344
8.88 -0.0021782 -94.157 0.58899 -0.77344
9.54 -0.0024805 -94.696 0.58887 -0.78125
10.19 -0.0038414 -97.352 0.58851 -0.77344
