I2(45deg) X DEG X DEG
-5 0.0040016 67.102 0.6344 0
-4.85 0.0027085 74.461 0.63422 0
-4.7 0.00093461 84.376 0.63404 0
-4.55 0.00061417 86.258 0.63398 0
-4.4 0.0006218 86.18 0.63398 0
-4.25 0.00066758 85.844 0.63398 0
-4.1 0.00045777 87.165 0.63385 0
-3.95 0.0016556 80.118 0.6341 0
-3.8 0.00067902 85.844 0.63398 0
-3.65 0.0007515 85.368 0.63385 0
-3.5 0.0013809 81.477 0.63398 0
-3.35 0.0020027 77.899 0.63404 -0.0078126
-3.2 0.0012932 82.032 0.63398 -0.0078126
-3.05 0.00063706 86.157 0.63385 0
-2.9 0.00083542 84.915 0.63391 0
-2.75 0.0012512 82.266 0.63398 0
-2.6 0.0019417 78.454 0.63404 0
-2.45 0.0012398 82.579 0.63391 0
-2.3 0.0021363 77.227 0.6341 0
-2.15 0.0013046 81.836 0.63398 0
-2 0.0011597 82.704 0.63385 0
-1.85 0.0015717 80.165 0.63398 0
-1.7 0.0022049 76.43 0.63398 0
-1.55 0.0015068 80.954 0.63385 0
-1.4 0.0015526 80.493 0.63391 0
-1.25 0.0015106 80.579 0.63385 0
-1.1 0.0018349 78.711 0.63385 0
-0.95 0.0036163 68.454 0.6341 0
-0.8 0.0030747 71.469 0.63404 0
-0.65 0.0036697 68.157 0.6341 0
-0.5 0.0028801 72.946 0.63391 0
-0.35 0.0043106 64.641 0.63416 0
-0.2 0.0034294 69.266 0.63404 0
-0.05 0.0040932 65.876 0.6341 0
0.1 0.0039139 67.336 0.63404 -0.0078126
0.25 0.0046196 63 0.63422 0
0.4 0.0040093 66.321 0.6341 -0.0078126
0.55 0.0037308 67.961 0.63404 0
0.7 0.0051804 60.782 0.63428 0
0.85 0.004757 62.899 0.63428 -0.0078126
1 0.0049248 62.11 0.63434 -0.0078126
1.15 0.0041771 65.516 0.63422 -0.0078126
1.3 0.0047455 62.797 0.63434 -0.0078126
1.45 0.0049897 61.821 0.63434 -0.0078126
1.6 0.004963 61.547 0.63428 -0.0078126
1.75 0.0048676 62.008 0.63434 -0.0078126
1.9 0.0050431 61.102 0.63434 -0.0078126
2.05 0.0047684 62.797 0.63434 -0.015625
2.2 0.0041809 65.376 0.63416 -0.0078126
2.35 0.0028954 72.188 0.6341 -0.0078126
2.5 0.0028877 72.211 0.63416 -0.0078126
2.65 0.0035477 69.016 0.63422 -0.0078126
2.8 0.0041695 65.719 0.63422 -0.0078126
2.95 0.0033608 69.782 0.63416 -0.015625
3.1 0.0026589 73.313 0.6341 -0.0078126
3.25 0.0018768 78.282 0.63391 -0.0078126
3.4 0.0016174 79.844 0.63385 -0.0078126
3.55 0.0015717 80.126 0.63385 -0.015625
3.7 0.0014725 80.907 0.63373 -0.0078126
3.85 0.0013428 81.454 0.63379 -0.0078126
4 0.0012207 82.336 0.63373 -0.015625
4.15 0.0010796 83.149 0.63367 -0.0078126
4.3 0.0014877 80.672 0.63367 -0.015625
4.45 0.0016785 79.297 0.63373 -0.015625
4.6 0.0014153 81.04 0.63367 -0.0078126
4.75 0.0013237 81.704 0.63367 -0.0078126
4.9 0.0016098 79.938 0.63367 -0.015625
