Time X DEG X DEG
0 -0.00047207 92.211 0.33844 0
1.0080003 -0.00072766 93.501 0.33844 0.015625
2.0000005 -0.00080204 93.821 0.33844 0.015625
3.0000001 -0.0010548 94.985 0.33844 0.023438
4.0000003 -0.0008936 94.227 0.33844 0.015625
4.9999999 -0.0010309 94.961 0.33838 0.015625
6.0000001 -0.00089646 94.313 0.33838 0.0078126
7.0000004 -0.00089932 94.282 0.33844 0.015625
8 -0.00096989 94.641 0.33838 0.015625
9.0000002 -0.00074768 93.547 0.33844 0.015625
10 -0.00042343 91.993 0.3385 0.015625
11 -0.00016022 90.813 0.3385 0.0078126
12 -0.00039196 91.899 0.33844 0.0078126
13 -0.00040341 91.891 0.33844 0.0078126
14 -0.00053978 92.602 0.33844 0.0078126
15 -0.00041104 91.938 0.33844 0.0078126
16 -0.00082207 93.883 0.33832 0.0078126
17 -0.0005703 92.719 0.33844 0.0078126
18 -0.00073338 93.485 0.33838 0.015625
19 -0.00081063 93.891 0.33838 0.0078126
20 -0.00092411 94.297 0.33838 0.015625
21.000001 -0.00081826 93.993 0.33838 0.0078126
22 -0.001112 95.321 0.33832 0.0078126
23 -0.0010424 94.961 0.33832 0.0078126
24 -0.00078583 93.758 0.33838 0.0078126
25 -0.00074196 93.477 0.33838 0.0078126
26 -0.00060273 92.852 0.33838 0.0078126
27 -0.00067425 93.204 0.33838 0.0078126
28 -0.00067425 93.18 0.33838 0.0078126
29 -0.00072098 93.446 0.33838 0
30 -0.00071145 93.391 0.33838 0
31 -0.0008564 94.11 0.33838 0
32 -0.001298 96.172 0.33832 0.0078126
33 -0.00099469 94.719 0.33838 0.0078126
34 -0.0010901 95.172 0.33838 0.0078126
35 -0.0011854 95.618 0.33832 0
36 -0.0010996 95.219 0.33838 0
37 -0.0011902 95.594 0.33838 0
38 -0.00074482 93.54 0.33838 0
39 -0.0010748 95.102 0.33838 0
40 -0.0010948 95.219 0.33838 0.0078126
41 -0.0010796 95.047 0.33838 0.0078126
42 -0.0010567 95.04 0.33838 0
43 -0.0012322 95.805 0.33832 0
44 -0.00098611 94.641 0.33832 0.0078126
45 -0.0010529 94.969 0.33838 0
46 -0.00093747 94.469 0.33838 0.0078126
47 -0.00080014 93.782 0.33838 0
48 -0.001071 95.133 0.33832 0
49 -0.0013933 96.61 0.33832 0.0078126
50 -0.0012694 96.008 0.33832 0
51 -0.0012512 95.946 0.33832 0
52 -0.0020495 99.657 0.3382 0
53 -0.0018635 98.774 0.3382 0
54 -0.0018835 98.829 0.3382 0
55 -0.0022154 100.45 0.3382 0
56 -0.001791 98.508 0.3382 0
57 -0.002223 100.54 0.33814 0
58 -0.002266 100.62 0.3382 0
59 -0.0021668 100.25 0.3382 0
60 -0.0021248 99.993 0.3382 0
61 -0.00245 101.5 0.33814 0
62 -0.0027409 102.78 0.33814 0
63 -0.0026283 102.38 0.33814 0
64.000001 -0.0027256 102.73 0.33814 0
65 -0.002986 103.98 0.33814 0
66 -0.0029631 103.85 0.33814 0.0078126
