I1(135deg) AUX DEG X DEG
9 1.4224 89.993 0.00012207 -65.555
8.5 1.3799 134.99 0.00042725 -17.102
8 1.3335 161.56 0.00036621 30.25
7.5 1.2759 179.99 6.1036E-5 77.001
7 1.2144 -45 -0.00024414 124.98
6.5 1.1489 0 -0.00036621 174.28
6 1.0776 44.992 -0.00030518 -138.81
5.5 1.002 44.992 0 -90.001
5 0.92627 44.992 0.00024414 -45
4.5 0.84327 179.99 0.00042725 4.3907
4 0.76368 -71.571 0.00024414 51.336
3.5 0.68018 -36.875 -0.00012207 99.454
3 0.59424 -21.805 -0.00036621 145
2.5 0.50538 0 -0.00042725 -165.96
2 0.41846 161.56 -0.00024414 -120.26
1.5 0.32666 -146.31 0.00012207 -72.899
1 0.23926 -26.563 0.00042725 -23.203
0.5 0.14795 179.99 0.00042725 23.195
0 0.056641 134.99 0.00012207 71.563
-0.5 0.037598 89.993 -0.00030518 119.74
-1 0.12842 -135 -0.00048828 166.99
-1.5 0.21973 -116.56 -0.00042725 -145.31
-2 0.31152 -26.563 -6.1036E-5 -98.133
-2.5 0.40137 0 0.00030518 -47.727
-3 0.48731 -18.438 0.00042725 0
-3.5 0.57618 -45 0.00024414 48.36
-4 0.66163 -90.001 -0.00012207 94.758
-4.5 0.74414 -116.56 -0.00036621 142.12
-5 0.82764 -116.56 -0.00042725 -170.54
-5.5 0.91065 -135 -0.00024414 -123.69
-6 0.98975 0 6.1036E-5 -73.305
-6.5 1.0708 104.02 0.00030518 -26.563
-7 1.1489 116.56 0.00036621 19.977
-7.5 1.2241 179.99 0.00012207 68.188
-8 1.2974 -90.001 -0.00018311 116.56
-8.5 1.3657 0 -0.00042725 164.74
-9 1.4331 -135 -0.00042725 -147.52
