I1(135deg) AUX DEG X DEG
-9 1.438 0 -0.00048828 -158.96
-8.5 1.3965 0 -0.00018311 -109.66
-8 1.3428 -90.001 0.00018311 -61.703
-7.5 1.2866 134.99 0.00042725 -13
-7 1.2222 -45 0.00048828 34.5
-6.5 1.1533 -45 6.1036E-5 80.532
-6 1.0815 0 -0.00036621 129.8
-5.5 1.0054 -135 -0.00054932 176.17
-5 0.93067 -90.001 -0.00042725 -135
-4.5 0.84961 0 0 -85.235
-4 0.76661 -36.875 0.00036621 -41.992
-3.5 0.68457 0 0.00054932 9.461
-3 0.59717 -14.039 0.00024414 55.297
-2.5 0.51026 -9.4688 -0.00018311 103.23
-2 0.41992 0 -0.00048828 151.69
-1.5 0.33008 -63.438 -0.00036621 -158.2
-1 0.24316 -45 -0.00012207 -113.96
-0.5 0.1499 -135 0.00018311 -66.797
0 0.059082 179.99 0.00048828 -18.438
0.5 0.032227 134.99 0.00036621 30.25
1 0.12695 134.99 6.1036E-5 77.469
1.5 0.21533 179.99 -0.00018311 125.53
2 0.30664 -63.438 -0.00036621 174.28
2.5 0.39844 -90.001 -0.00036621 -140.71
3 0.48438 -153.44 0 -90.001
3.5 0.57129 -104.03 0.00042725 -42.711
4 0.65674 0 0.00042725 8.1251
4.5 0.7378 63.43 0.00048828 55.172
5 0.82178 78.68 -0.00024414 108.42
5.5 0.90577 71.563 -0.00048828 150.24
6 0.98096 -18.438 -0.00061035 -163.61
6.5 1.063 44.992 -0.00024414 -116.56
7 1.1362 33.688 0.00012207 -67.383
7.5 1.2129 38.657 -0.00036621 158.19
8 1.2803 89.993 0.00030518 30.961
8.5 1.3521 179.99 6.1036E-5 75.961
9 1.415 179.99 -0.00030518 122.46
