Ieff(90deg) AUX DEG X DEG
9.2 1.6792 179.99 0.00012207 71.563
8.55 1.5796 -135 -0.00024414 118.6
7.95 1.4883 -90.001 -0.00042725 164.74
7.36 1.3921 0 -0.00036621 -145.01
6.74 1.2905 0 -0.00012207 -99.461
6.74 1.2876 44.992 0.00024414 -51.344
6.14 1.1856 0 0.00042725 -4.3985
5.55 1.085 179.99 0.00024414 44.992
5.04 0.99463 146.31 -6.1036E-5 94.758
4.5 0.89991 -90.001 -0.00042725 138
3.93 0.8003 -45 -0.00048828 -171.25
3.4 0.70411 0 -0.00024414 -122.47
2.84 0.60303 -90.001 0.00012207 -77.008
2.29 0.50245 -63.438 0.00036621 -28.61
1.95 0.43994 153.43 0.00036621 18.43
1.54 0.36621 179.99 0.00012207 67.376
0.99 0.26465 179.99 -0.00024414 116.56
0.47 0.16895 179.99 -0.00042725 161.56
-0.03 0.083985 -135 -0.00042725 -147.52
-0.55 0.015137 -63.438 -0.00012207 -103
-1.02 0.10547 0 0.00024414 -51.344
-1.53 0.2002 89.993 0.00042725 -4.3985
-2.05 0.29737 134.99 0.00024414 41.985
-2.46 0.37061 89.993 0 89.993
-3.03 0.47364 26.555 -0.00030518 138.36
-3.71 0.59522 71.563 -0.00048828 -175.6
-4.27 0.69483 -116.56 -0.00024414 -126.02
-4.27 0.6919 -26.563 6.1036E-5 -80.54
-4.81 0.7837 -90.001 0.00036621 -28.61
-5.35 0.87549 75.961 0.00036621 18.43
-5.94 0.98096 89.993 0.00012207 65.547
-6.54 1.0786 89.993 -0.00018311 112.61
-7.13 1.1777 -25.922 0.0042725 -68.774
-7.72 1.2759 -26.195 -0.00012207 113.2
-7.72 1.2744 -26.906 -0.00018311 109.65
-8.29 1.3657 -28.367 -0.00018311 111.03
-8.94 1.4702 -29.539 -0.00018311 109.65
