Ieff(90deg) AUX DEG X DEG
-9.26 1.6826 0 -0.00048828 162.89
-8.6 1.5894 -26.563 -0.00042725 -157.38
-7.98 1.4912 0 -0.00018311 -108.43
-7.39 1.3945 89.993 0.00018311 -63.438
-6.82 1.2988 89.993 0.00036621 -14.039
-6.23 1.1992 0 0.00030518 34.985
-6.23 1.2022 0 0 80.532
-5.63 1.0986 75.961 -0.00030518 131.98
-5.06 0.99903 89.993 -0.00048828 179.99
-4.53 0.90772 71.563 -0.00030518 -135
-3.96 0.80371 0 6.1036E-5 -85.602
-3.4 0.70264 -33.696 0.00036621 -38.664
-2.84 0.60206 -108.43 0.00042725 8.7423
-2.28 0.49805 -90.001 0.00018311 57.524
-2.01 0.4502 -90.001 -0.00018311 109.97
-1.46 0.35254 179.99 -0.00042725 155.55
-1.05 0.27832 158.19 -0.00042725 -157.38
-0.5 0.17432 153.43 -0.00018311 -108.43
0 0.084961 108.42 0.00018311 -56.313
0.52 0.012207 56.305 0.00042725 -13
0.99 0.10059 0 0.00030518 34.985
1.49 0.19385 -153.44 6.1036E-5 80.532
2.02 0.29151 0 -0.00030518 128.65
2.56 0.38965 0 -0.00048828 179.99
2.97 0.46289 63.43 -0.00036621 -138.01
3.68 0.58985 168.68 0 -90.001
4.22 0.68555 153.43 0.00030518 -41.992
4.78 0.7837 134.99 0.00036621 5.1953
4.78 0.78223 -135 0.00018311 55
5.32 0.875 179.99 -0.00012207 104.02
5.89 0.9668 0 -0.00042725 151.38
6.48 1.0713 179.99 -0.00036621 -158.2
7.07 1.1719 0 -0.00018311 -114.45
7.67 1.2686 -116.56 0.00018311 -67.383
8.26 1.3633 -161.57 0.00042725 -18.438
8.26 1.3662 56.305 0.00030518 30.961
8.88 1.4634 26.555 6.1036E-5 75.961
