I1(135deg) X DEG X DEG
-2 -0.002779 -121.66 0.49365 0.32813
-1.9 -0.0025792 -119.65 0.49378 0.32031
-1.8 -0.0020089 -113.2 0.49426 0.30469
-1.7 -0.0023427 -115.95 0.49408 0.28906
-1.6 -0.0026217 -119.34 0.49384 0.30469
-1.5 -0.002121 -114.17 0.49433 0.28906
-1.4 -0.0018916 -111.77 0.49503 0.30469
-1.3 -0.0025821 -118.26 0.49429 0.28906
-1.2 -0.00207 -113.11 0.49433 0.28125
-1.1 -0.0021048 -114.09 0.49457 0.30469
-1 -0.0024247 -117.33 0.49448 0.3125
-0.9 -0.0023036 -116.52 0.4942 0.30469
-0.8 -0.0022383 -115.76 0.4939 0.3125
-0.7 -0.0017104 -109.47 0.49521 0.28125
-0.6 -0.0016413 -109.49 0.49466 0.30469
-0.5 -0.0013776 -106.73 0.49469 0.30469
-0.4 -0.0013213 -105.67 0.49521 0.28125
-0.3 -0.00247 -118.77 0.49445 0.32813
-0.2 -0.0028663 -122.07 0.49365 0.34375
-0.1 -0.0018406 -111.91 0.49433 0.30469
1.110223E-16 -0.00096941 -101.92 0.49573 0.28125
0.1 -0.0016346 -109.62 0.49469 0.32813
0.2 -0.0012908 -105.17 0.49503 0.30469
0.3 -0.0021167 -114.89 0.49414 0.33594
0.4 -0.00098134 -101.46 0.49573 0.28906
0.5 -0.0022717 -116.02 0.49423 0.32813
0.6 -0.0059677 -143.19 0.49405 0.32813
0.7 -0.0067139 -146.73 0.49433 0.32813
0.8 -0.0060263 -142.95 0.49509 0.29688
0.9 -0.0060654 -143.18 0.49506 0.29688
1 -0.006301 -144.24 0.49463 0.30469
1.1 -0.005683 -141.36 0.49454 0.29688
1.2 -0.0015907 -108.79 0.49494 0.30469
1.3 -0.0016747 -109.8 0.49475 0.29688
1.4 -0.001317 -105.9 0.49454 0.28125
1.5 -0.00086117 -100.67 0.49582 0.26563
1.6 -0.0015907 -109.43 0.49503 0.30469
1.7 -0.0024281 -118.77 0.49402 0.33594
1.8 -0.0018377 -111.74 0.4946 0.28906
1.9 -0.0015268 -108.35 0.49466 0.28125
