Time X DEG X DEG
0 0.00047732 -87.571 0.62964 0.36719
1.0100001 0.00045395 -87.657 0.62964 0.36719
1.9999998 0.00049925 -87.446 0.62964 0.375
3.0000001 0.00042391 -87.735 0.62964 0.38281
4.0009998 0.00038433 -88.001 0.62958 0.375
4.9999999 0.0003376 -88.235 0.62964 0.36719
6.0000001 0.00040293 -87.915 0.62958 0.375
6.9999998 0.00047398 -87.516 0.62964 0.38281
8 0.00052119 -87.211 0.6297 0.36719
9.0009998 0.00063753 -86.743 0.6297 0.36719
9.9999998 0.00055266 -87.133 0.6297 0.375
11 0.00045967 -87.586 0.62964 0.38281
12.001 0.00048924 -87.391 0.62964 0.375
13 0.00047827 -87.508 0.62964 0.375
14 0.00044823 -87.571 0.62964 0.38281
15 0.00064183 -86.586 0.6297 0.38281
16 0.00070763 -86.297 0.62964 0.375
17.001 0.00064087 -86.594 0.62977 0.38281
18 0.00080824 -85.766 0.62983 0.38281
19 0.00067568 -86.415 0.62977 0.375
20.001 0.00088835 -85.43 0.62983 0.36719
21 0.0007329 -86.086 0.62977 0.38281
22 0.00061274 -86.758 0.6297 0.375
23 0.00079823 -85.751 0.62977 0.36719
24 0.00072575 -86.024 0.62977 0.38281
25 0.0006342 -86.485 0.6297 0.38281
26 0.00070954 -86.204 0.62977 0.38281
27 0.00077248 -85.938 0.62977 0.375
28.001 0.00083018 -85.524 0.62983 0.38281
29 0.00084401 -85.446 0.62983 0.375
30 0.00079346 -85.758 0.62977 0.375
31 0.00084162 -85.641 0.62983 0.36719
32 0.00080061 -85.555 0.62983 0.375
33 0.00068999 -86.063 0.62977 0.36719
34 0.00069762 -86.063 0.62977 0.375
35 0.00080681 -85.696 0.62983 0.38281
36.001 0.00078726 -85.68 0.62983 0.36719
37 0.00091315 -85.016 0.62989 0.35938
38 0.00089598 -85.18 0.62983 0.36719
39 0.00085259 -85.501 0.62983 0.38281
40 0.00078488 -85.688 0.62977 0.36719
41 0.00086832 -85.196 0.62983 0.375
42 0.00099421 -84.579 0.62983 0.375
43 0.0010266 -84.344 0.62983 0.375
44.001 0.0010519 -84.04 0.62989 0.375
45 0.00090504 -84.946 0.62977 0.35938
46 0.0011215 -83.891 0.62989 0.375
47.001 0.00098277 -84.485 0.62983 0.36719
48 0.0010533 -84.055 0.62989 0.36719
49 0.0012436 -83.243 0.62995 0.375
50 0.0010829 -83.899 0.62983 0.375
51 0.0011635 -83.547 0.62989 0.35938
52.001 0.0011749 -83.36 0.62989 0.36719
53 0.0011726 -83.547 0.62989 0.375
54 0.0011215 -83.813 0.62989 0.375
55.001 0.0013061 -82.907 0.62995 0.375
56 0.0011129 -83.602 0.62989 0.35938
57 0.0010767 -83.883 0.62989 0.375
58 0.0011683 -83.641 0.62989 0.35938
59 0.001029 -84.11 0.62983 0.36719
60 0.0010138 -84.243 0.62983 0.36719
61 0.0011411 -83.743 0.62989 0.38281
62 0.00107 -84.149 0.62983 0.35938
63.001 0.0010958 -84.094 0.62989 0.35156
64 0.001257 -83.344 0.62995 0.35938
65 0.0011673 -83.579 0.62989 0.38281
66 0.0012188 -83.313 0.62995 0.35938
67 0.0012136 -83.274 0.62989 0.35938
68 0.0010839 -83.922 0.62983 0.375
69 0.0011726 -83.469 0.62989 0.375
70 0.0012174 -83.376 0.62995 0.35156
71.001 0.0009656 -84.586 0.6297 0.35938
72 0.00088692 -85.024 0.6297 0.36719
73 0.00093747 -84.586 0.6297 0.38281
74 0.0010815 -83.954 0.62983 0.36719
75 0.0012622 -82.961 0.62989 0.36719
76 0.0012002 -83.141 0.62989 0.38281
77 0.0012169 -83.274 0.62989 0.35938
78 0.0011807 -83.407 0.62989 0.36719
79.001 0.0013433 -82.571 0.62995 0.375
80 0.0013952 -82.086 0.63001 0.38281
81 0.0014191 -82.11 0.62995 0.375
82.001 0.0014257 -82.024 0.62995 0.375
83 0.0013933 -82.079 0.62995 0.38281
84 0.0014348 -81.977 0.62995 0.36719
85 0.0014687 -81.922 0.62989 0.375
86 0.0015073 -81.797 0.62995 0.36719
87.001 0.0013995 -82.126 0.62995 0.38281
88 0.001585 -81.305 0.63001 0.36719
89 0.0014782 -81.797 0.62995 0.36719
90.001 0.0013814 -82.297 0.62989 0.375
91 0.0014324 -81.743 0.62995 0.375
92 0.0014639 -81.633 0.62989 0.36719
93 0.0015297 -81.415 0.62989 0.375
