Time X DEG X DEG
0 0.00030709 -87.954 0.63404 0.4375
1.0089999 0.00013828 -89.047 0.63391 0.4375
1.9999998 0.00020218 -88.633 0.63398 0.4375
3.0000001 0.00016451 -88.899 0.63398 0.4375
4.0000003 0.00016022 -88.977 0.63398 0.4375
4.9999999 0.00026655 -88.157 0.63404 0.4375
6.0000001 0.00017357 -88.86 0.63398 0.44531
7.0000004 0.00015497 -88.985 0.63404 0.4375
8 -2.3365E-5 -90.141 0.63391 0.42969
9.0000002 0.00010729 -89.219 0.63398 0.4375
10 0.00036192 -87.524 0.6341 0.4375
11 0.00037098 -87.633 0.6341 0.4375
12 0.00040054 -87.305 0.6341 0.44531
13 0.00025702 -88.243 0.63404 0.44531
14 0.00026083 -88.235 0.63404 0.44531
15 0.00032234 -87.922 0.6341 0.4375
16 0.00049019 -86.813 0.63416 0.4375
17 0.00042296 -87.204 0.6341 0.44531
18 0.00021553 -88.586 0.6341 0.4375
19 0.00017357 -88.891 0.63404 0.44531
20 0.00038624 -87.407 0.63416 0.44531
21 0.00036526 -87.461 0.63416 0.45313
22 0.00050354 -86.68 0.63422 0.45313
23 0.0005188 -86.79 0.63422 0.44531
24 0.00042486 -87.172 0.63416 0.44531
25 0.00042534 -87.094 0.63416 0.44531
26 0.0004859 -86.829 0.6341 0.45313
27 0.00054837 -86.516 0.63422 0.44531
28 0.00058937 -85.954 0.63416 0.45313
29 0.00066996 -85.415 0.63428 0.44531
30 0.00060129 -85.954 0.63416 0.45313
31 0.00061322 -86.063 0.63416 0.45313
32 0.00075627 -84.868 0.63422 0.44531
33 0.00059128 -86.032 0.63416 0.4375
34 0.00088215 -84.501 0.63428 0.4375
35 0.00073004 -85.313 0.63422 0.45313
36 0.00083018 -84.524 0.63422 0.45313
37 0.0006466 -85.766 0.63416 0.45313
38 0.00095749 -83.946 0.63434 0.46094
39 0.00079203 -84.836 0.63422 0.45313
40 0.00083208 -84.43 0.63422 0.46094
41.002 0.00085831 -84.383 0.63422 0.45313
42 0.0010018 -83.626 0.63434 0.46094
