Time X DEG X DEG
0 -0.00060034 -93.985 0.6341 0.45313
1.0089999 -0.00067139 -94.493 0.63404 0.45313
1.9999998 -0.0009327 -96.149 0.63385 0.46094
3.0000001 -0.00045872 -93.149 0.6341 0.46094
4.0009998 -0.00045777 -93.118 0.6341 0.46094
4.9999999 -0.00076342 -95.063 0.63398 0.46094
6.0009997 -0.00056744 -93.805 0.6341 0.46094
6.9999998 -0.00058985 -94.008 0.63404 0.46094
8 -0.00057888 -93.844 0.63404 0.46094
9.0009998 -0.00063944 -94.243 0.63404 0.46094
9.9999998 -0.00070239 -94.727 0.63398 0.46094
11 -0.00083924 -95.704 0.63391 0.46094
12.001 -0.00062037 -94.126 0.63404 0.46094
13 -0.00056887 -93.805 0.63404 0.46094
14.001 -0.00040007 -92.586 0.6341 0.46875
15 -0.00019741 -91.415 0.63416 0.46875
16 -0.00064707 -94.297 0.63398 0.46094
17.001 -0.00043821 -92.993 0.63404 0.46094
18 -0.00035 -92.29 0.6341 0.46094
19 -0.0003767 -92.579 0.63404 0.46875
20.001 -0.00029469 -91.954 0.6341 0.46094
21 -0.00028658 -91.961 0.6341 0.46094
22.001 -0.00031805 -92.086 0.63404 0.46094
23 -0.0002079 -91.469 0.63404 0.46875
24 -0.00011206 -90.727 0.6341 0.46094
25.001 -8.2017E-5 -90.532 0.6341 0.46094
26 1.0491E-5 -89.915 0.63416 0.46094
27 0.00014973 -88.969 0.63422 0.46094
28.001 9.3461E-5 -89.36 0.63416 0.46875
29 0.00020647 -88.571 0.63422 0.46094
30 0.00016022 -88.899 0.63416 0.46094
31 0.0002904 -87.977 0.63422 0.46875
32 0.00031328 -87.883 0.63422 0.46875
33.001 0.00042296 -87.04 0.63422 0.46875
34 0.00033331 -87.743 0.63422 0.46094
35 0.00044728 -86.922 0.63422 0.47656
36.001 0.00047159 -86.766 0.63428 0.47656
37 0.00053645 -86.344 0.63428 0.46875
38.779 0.00057555 -86.055 0.63428 0.48438
39.13 0.00065995 -85.391 0.63434 0.48438
40 0.00065899 -85.524 0.63434 0.47656
41.001 0.00058651 -86.04 0.63428 0.46094
42 0.00064421 -85.649 0.63428 0.47656
43 0.00061131 -85.727 0.63428 0.48438
44.001 0.00068999 -85.258 0.63434 0.47656
45 0.00083161 -84.407 0.6344 0.48438
46 0.00075198 -84.985 0.63434 0.46875
47.001 0.00072098 -85.001 0.63434 0.48438
48 0.00071145 -85.157 0.63434 0.48438
49.001 0.00069189 -85.313 0.63428 0.48438
50 0.00079775 -84.586 0.63434 0.48438
51 0.00084162 -84.141 0.63434 0.48438
52.001 0.00078345 -84.641 0.63434 0.48438
53 0.00085259 -84.243 0.63434 0.48438
54 0.00074625 -85.032 0.63434 0.48438
55.001 0.00088454 -83.977 0.6344 0.48438
56 0.00080014 -84.422 0.63434 0.48438
57.001 0.00097561 -83.376 0.6344 0.48438
58 0.00098468 -83.399 0.6344 0.48438
59 0.00096035 -83.258 0.63434 0.48438
60.001 0.00089503 -83.961 0.63434 0.48438
61 0.00095034 -83.633 0.63434 0.48438
62 0.00086976 -84.063 0.63428 0.48438
63.001 0.00094605 -83.399 0.6344 0.48438
64 0.0012879 -81.29 0.63452 0.49219
65.001 0.0012689 -81.446 0.63452 0.48438
66 0.0011611 -82.172 0.6344 0.48438
67 0.0012622 -81.196 0.6344 0.48438
68.001 0.0013518 -80.891 0.63446 0.49219
69 0.0011582 -82.313 0.6344 0.48438
70 0.001195 -81.977 0.6344 0.49219
71.001 0.0011525 -81.86 0.6344 0.49219
72 0.0012698 -81.18 0.6344 0.49219
73 0.0014405 -80.141 0.63452 0.49219
74 0.0011835 -82.102 0.63434 0.48438
75 0.0012279 -81.446 0.63434 0.48438
76.001 0.001421 -80.227 0.63446 0.49219
77 0.0013905 -80.501 0.63446 0.49219
78 0.0011339 -82.36 0.63434 0.49219
79.001 0.0010281 -82.797 0.63422 0.49219
80 0.0013518 -80.829 0.6344 0.5
81 0.0013266 -80.969 0.6344 0.5
82.001 0.001298 -81.251 0.6344 0.50782
83 0.0014663 -79.719 0.63446 0.49219
