Time X DEG X DEG
0 0.0027847 -67.743 0.61792 1.6797
1.0100001 0.0025921 -69.282 0.61792 1.6797
2.0000005 0.0026131 -69.016 0.61805 1.6875
3.0000001 0.0021649 -72.446 0.61811 1.6875
4.0000003 0.0022888 -71.266 0.61786 1.6875
4.9999999 0.0023232 -71.165 0.61805 1.6797
6.0000001 0.0027695 -67.782 0.61792 1.6875
7.0000004 0.0025253 -69.594 0.61799 1.6875
8 0.0030098 -65.985 0.61786 1.6875
9.0000002 0.0025177 -69.805 0.61805 1.6875
10 0.0027447 -67.883 0.61805 1.6797
11 0.0028343 -67.29 0.61805 1.6875
12 0.0029392 -66.665 0.61811 1.6875
13 0.0027828 -67.852 0.61799 1.6875
14 0.0026474 -68.626 0.61805 1.6875
15 0.0026798 -68.688 0.61811 1.6875
16 0.0028496 -67.29 0.61786 1.6875
17 0.0023899 -70.626 0.61786 1.6875
18 0.0026531 -68.501 0.61774 1.6875
19 0.0029354 -66.516 0.61756 1.6953
20 0.0028744 -66.805 0.61768 1.7031
21 0.0028973 -66.836 0.61768 1.7031
22 0.0024796 -69.805 0.61774 1.7031
23 0.002882 -67.016 0.61774 1.6953
24 0.002554 -69.43 0.61774 1.7031
25 0.0026493 -68.649 0.6178 1.7031
26 0.0025501 -69.204 0.6178 1.6953
27 0.0025311 -69.422 0.61786 1.7031
28 0.0026531 -68.579 0.6178 1.6953
29 0.0024567 -69.977 0.61774 1.7031
30 0.0026264 -68.618 0.61774 1.7031
31 0.0027847 -67.524 0.6178 1.7031
32 0.0026684 -68.297 0.6178 1.7031
33 0.0027866 -67.438 0.61774 1.6953
34 0.0027657 -67.727 0.6178 1.7031
35 0.0028439 -67.04 0.6178 1.7031
36 0.0028763 -66.751 0.6178 1.7031
37 0.002964 -66.227 0.6178 1.7031
38 0.0027313 -67.844 0.6178 1.7031
39 0.0030117 -65.938 0.61786 1.7031
40 0.003067 -65.751 0.61786 1.6953
41 0.0027847 -67.563 0.6178 1.6953
42 0.0026646 -68.399 0.61786 1.7031
43 0.0028992 -66.711 0.61786 1.7031
44 0.0031204 -65.188 0.6178 1.7031
45 0.0026169 -68.829 0.61786 1.6953
46 0.0027409 -67.844 0.6178 1.6953
47 0.0027638 -67.672 0.61792 1.7031
48 0.002882 -66.899 0.61792 1.7031
49 0.0030537 -65.688 0.61786 1.7031
50 0.0030346 -65.711 0.61786 1.7031
51 0.0029945 -65.969 0.61786 1.7031
52 0.00276 -67.836 0.61792 1.7031
53 0.003046 -65.735 0.61786 1.7031
54 0.0028019 -67.352 0.61792 1.7031
55 0.0030194 -65.868 0.61786 1.7031
56 0.0027981 -67.368 0.61792 1.7031
57 0.0029106 -66.61 0.61786 1.7031
58 0.0031376 -64.922 0.6178 1.7031
59 0.0029431 -66.461 0.6178 1.7031
60 0.003088 -65.274 0.61786 1.7031
61 0.0031452 -64.961 0.61786 1.7031
62 0.0029698 -66.336 0.61805 1.7031
63 0.0027828 -67.665 0.61805 1.6953
64 0.0028515 -67.204 0.61799 1.7031
65 0.00313 -64.891 0.61792 1.7031
66 0.0030174 -65.829 0.61799 1.7031
67 0.0031967 -64.626 0.61799 1.7031
68 0.003149 -65.016 0.61811 1.7031
69 0.0033913 -63.117 0.61792 1.7031
70 0.0028134 -67.336 0.61805 1.7031
71 0.0034561 -62.75 0.61805 1.7031
72 0.0035 -62.578 0.61799 1.7031
73 0.0035782 -62.102 0.61799 1.7031
74 0.0034542 -62.844 0.61799 1.7031
75 0.0034103 -63.305 0.61805 1.7031
76 0.0033951 -63.203 0.61805 1.7031
77 0.0027809 -67.485 0.61811 1.7031
78 0.0034046 -63.133 0.61799 1.7031
79 0.0032139 -64.336 0.61805 1.7031
80 0.0032196 -64.555 0.61805 1.7031
81 0.0035973 -61.75 0.61792 1.7031
82 0.0035896 -61.907 0.61792 1.7031
83 0.0036488 -61.383 0.61792 1.7031
84 0.0032902 -63.844 0.61811 1.7031
85 0.0034523 -62.789 0.61811 1.7031
86 0.0036564 -61.508 0.61817 1.7031
87 0.0038204 -60.227 0.61805 1.7031
88 0.0037575 -60.766 0.61805 1.6953
89 0.0039654 -59.446 0.61811 1.7031
90 0.0038872 -59.977 0.61805 1.7031
91 0.0036736 -61.274 0.61799 1.7031
92 0.0038815 -60.258 0.61823 1.7031
93 0.0039444 -59.508 0.61805 1.7031
94 0.0039597 -59.617 0.61817 1.7031
95 0.0039044 -59.758 0.61805 1.7109
96 0.0039711 -59.36 0.61805 1.7031
97 0.0038719 -59.899 0.61805 1.7031
98 0.0036583 -61.446 0.61805 1.7031
99 0.0036354 -61.516 0.61805 1.7031
100 0.0036297 -61.594 0.61811 1.7109
101 0.0035153 -62.313 0.61811 1.7109
102 0.0036431 -61.657 0.61811 1.7109
103 0.0035324 -62.039 0.61811 1.7266
104 0.0033798 -63.305 0.61811 1.7109
105 0.0036545 -61.211 0.61805 1.7188
106 0.0034714 -62.735 0.61817 1.7109
107 0.003706 -61.008 0.61817 1.7109
108 0.0037079 -61.024 0.61805 1.7188
109 0.0038414 -60.078 0.61811 1.7109
110 0.0036469 -61.266 0.61805 1.7109
111 0.0037327 -60.789 0.61805 1.7109
112 0.004057 -58.907 0.61817 1.7109
113 0.0039311 -59.477 0.61805 1.7109
114 0.0036564 -61.367 0.61811 1.7188
115 0.0039215 -59.602 0.61811 1.7188
116 0.0032921 -63.946 0.61823 1.7188
117 0.003746 -60.805 0.61817 1.7109
118 0.0037499 -60.649 0.61811 1.7188
119 0.0035916 -61.805 0.61811 1.7188
120 0.0038109 -60.321 0.61817 1.7266
121 0.0037708 -60.742 0.61823 1.7188
122 0.0038586 -60.016 0.61811 1.7188
123 0.0034867 -62.571 0.61817 1.7188
124 0.0030499 -65.61 0.61829 1.7266
125 0.0032997 -63.821 0.61823 1.7266
126 0.0036526 -61.555 0.61823 1.7266
127 0.0035439 -62.117 0.61829 1.7266
128 0.0036392 -61.641 0.61823 1.7266
129 0.0036125 -61.641 0.61823 1.7266
130 0.0036564 -61.18 0.61811 1.7266
131 0.0035763 -61.844 0.61823 1.7266
132 0.0037708 -60.633 0.61823 1.7188
133 0.0033531 -63.641 0.61829 1.7266
134 0.0036068 -61.672 0.61823 1.7266
135 0.0037632 -60.75 0.61835 1.7266
136 0.0040532 -58.86 0.61823 1.7188
137 0.0037117 -61.11 0.61835 1.7266
138 0.0036431 -61.352 0.61823 1.7266
139 0.0038166 -60.477 0.61835 1.7188
140 0.0037041 -61.164 0.61829 1.7266
141 0.0037365 -60.789 0.61823 1.7266
142 0.0035916 -61.782 0.61817 1.7188
143 0.0036564 -61.328 0.61829 1.7188
