Time X DEG X DEG
0 -5.1499E-5 -90.688 0.6258 1.0078
1.0049998 8.2017E-5 -88.727 0.62586 1.0078
1.9999998 7.4387E-5 -88.86 0.62592 1.0156
3.0000001 3.624E-5 -89.493 0.62586 1.0156
4.0009998 2.6703E-5 -89.61 0.62598 1.0156
4.9999999 5.3406E-5 -89.149 0.62604 1.0156
6.0000001 4.5777E-5 -89.321 0.62592 1.0078
6.9999998 4.9591E-5 -89.297 0.62604 1.0234
8 -2.6703E-5 -90.383 0.62604 1.0156
9.0009998 -4.3869E-5 -90.641 0.62604 1.0313
9.9999998 1.1444E-5 -89.836 0.62592 1.0234
11 3.624E-5 -89.469 0.62592 1.0234
12.001 1.1444E-5 -89.829 0.6261 1.0156
13 9.5368E-6 -89.782 0.62598 1.0234
14 1.1444E-5 -89.782 0.6261 1.0156
15 4.0055E-5 -89.391 0.6261 1.0234
16 4.7684E-5 -89.29 0.6261 1.0234
17.001 6.485E-5 -89.071 0.6261 1.0156
18 6.8665E-5 -88.954 0.6261 1.0234
19 2.861E-5 -89.563 0.6261 1.0156
20.001 2.6703E-5 -89.563 0.62616 1.0234
21 3.2425E-5 -89.516 0.6261 1.0156
22 1.9074E-5 -89.735 0.62616 1.0313
23 6.2943E-5 -89.094 0.62623 1.0234
24 8.2017E-5 -88.844 0.62635 1.0234
25 5.1499E-5 -89.266 0.62641 1.0234
26 9.5368E-6 -89.86 0.62623 1.0234
27 -3.4332E-5 -90.532 0.62616 1.0313
28.001 2.4796E-5 -89.61 0.62623 1.0156
29 0.00011635 -88.321 0.62641 1.0234
30 6.1036E-5 -89.102 0.62635 1.0313
31 0.00011826 -88.297 0.62629 1.0313
32 7.0572E-5 -88.961 0.62635 1.0234
33 3.8147E-5 -89.422 0.62641 1.0234
34 1.1444E-5 -89.86 0.62635 1.0234
35 3.8147E-5 -89.446 0.62635 1.0234
36.001 3.0518E-5 -89.571 0.62647 1.0313
37 3.624E-5 -89.501 0.62647 1.0313
38 9.3461E-5 -88.641 0.62653 1.0313
39 7.0572E-5 -88.977 0.62647 1.0313
40 6.485E-5 -89.063 0.62653 1.0313
41 7.4387E-5 -88.938 0.62659 1.0313
42 8.9646E-5 -88.766 0.62659 1.0313
43 0.00010681 -88.446 0.62653 1.0234
44.001 6.8665E-5 -89.001 0.62665 1.0313
45 7.8202E-5 -88.891 0.62659 1.0313
46 5.1499E-5 -89.243 0.62647 1.0313
47.001 5.1499E-5 -89.266 0.62659 1.0313
48 5.7221E-5 -89.188 0.62671 1.0313
49 -1.1444E-5 -90.118 0.62659 1.0313
50 5.1499E-5 -89.243 0.62665 1.0313
51 7.6294E-5 -88.907 0.62677 1.0313
52.001 4.5777E-5 -89.36 0.62659 1.0313
53 7.248E-5 -88.938 0.62677 1.0313
54 4.7684E-5 -89.297 0.62665 1.0313
55.001 7.8202E-5 -88.844 0.62671 1.0313
56 1.1444E-5 -89.836 0.62677 1.0313
57 5.7221E-5 -89.157 0.62677 1.0313
58 7.8202E-5 -88.829 0.62677 1.0313
59 3.624E-5 -89.461 0.62684 1.0469
60.001 5.1499E-5 -89.266 0.62684 1.0469
61 8.3924E-5 -88.805 0.62671 1.0391
62 4.1962E-5 -89.422 0.62677 1.0313
63.001 8.2017E-5 -88.805 0.62684 1.0313
64 7.6294E-5 -88.899 0.62696 1.0469
65 6.8665E-5 -89.055 0.6269 1.0469
66 7.248E-5 -88.954 0.62696 1.0391
67 5.3406E-5 -89.258 0.6269 1.0391
68 9.5368E-5 -88.665 0.62696 1.0313
69 4.3869E-5 -89.368 0.62696 1.0469
70 7.6294E-5 -88.907 0.62708 1.0391
71.001 7.8202E-5 -88.883 0.62702 1.0391
72 8.0109E-5 -88.86 0.62714 1.0391
73 9.9183E-5 -88.618 0.62708 1.0391
74 7.0572E-5 -89.024 0.62714 1.0469
75 7.0572E-5 -88.985 0.62726 1.0469
76 9.7275E-5 -88.626 0.6272 1.0469
77 5.7221E-6 -89.93 0.62708 1.0391
78 6.2943E-5 -89.141 0.6272 1.0469
79.001 6.485E-5 -89.063 0.62726 1.0469
80 4.0055E-5 -89.446 0.6272 1.0469
81 3.2425E-5 -89.54 0.6272 1.0547
82.001 7.8202E-5 -88.876 0.62726 1.0469
83 6.8665E-5 -89.032 0.62732 1.0547
84 8.2017E-5 -88.852 0.62732 1.0547
85 8.2017E-5 -88.829 0.62726 1.0469
86 0.000103 -88.524 0.62745 1.0547
87.001 6.485E-5 -89.118 0.62745 1.0547
88 5.3406E-5 -89.227 0.62745 1.0547
89 6.485E-5 -89.071 0.62751 1.0547
90.001 4.7684E-5 -89.321 0.62738 1.0547
91 8.3924E-5 -88.805 0.62751 1.0547
92 5.5313E-5 -89.172 0.62745 1.0625
93 5.7221E-6 -89.907 0.62745 1.0547
94 5.1499E-5 -89.204 0.62757 1.0547
95.001 5.1499E-5 -89.274 0.62757 1.0547
96 -1.3352E-5 -90.165 0.62763 1.0625
97 7.248E-5 -88.946 0.62769 1.0547
98.001 8.0109E-5 -88.805 0.62769 1.0625
99 0.00012016 -88.282 0.62769 1.0703
100 8.0109E-5 -88.86 0.62763 1.0625
101 6.485E-5 -89.086 0.62781 1.0625
102 1.5259E-5 -89.758 0.62781 1.0625
103 8.0109E-5 -88.829 0.62775 1.0703
104 0.00010109 -88.594 0.62787 1.0703
105 4.1962E-5 -89.399 0.62781 1.0625
106.001 1.5259E-5 -89.758 0.62781 1.0781
107 6.485E-5 -89.04 0.62787 1.0781
108 3.2425E-5 -89.563 0.62775 1.0781
