Time X DEG X DEG
0 2.3723E-5 -87.977 0.60852 1.6484
1.0079997 3.6657E-5 -86.836 0.60852 1.6484
1.9999998 1.7524E-5 -88.54 0.60846 1.6484
3.0000001 2.0325E-5 -88.258 0.60846 1.6484
4.0009998 3.016E-5 -87.43 0.60846 1.6484
4.9999999 3.0458E-5 -87.454 0.60846 1.6484
6.0000001 2.6882E-5 -87.758 0.60846 1.6484
6.9999998 2.6345E-5 -87.727 0.60846 1.6484
8 3.8743E-5 -86.719 0.60846 1.6563
9.0000002 3.3021E-5 -87.172 0.60846 1.6641
9.9999998 3.1114E-5 -87.329 0.60846 1.6484
11 2.7657E-5 -87.586 0.60846 1.6563
12.001 2.4438E-5 -87.922 0.60846 1.6563
13 2.8789E-5 -87.54 0.60852 1.6484
14 3.475E-5 -87.047 0.60846 1.6563
15 4.4048E-5 -86.227 0.60852 1.6563
16 4.3333E-5 -86.282 0.60852 1.6484
17 4.7863E-5 -85.883 0.60846 1.6484
18 5.889E-5 -84.954 0.60846 1.6563
19 6.8725E-5 -84.086 0.60852 1.6484
20.001 6.038E-5 -84.821 0.60846 1.6563
21 4.9055E-5 -85.852 0.60852 1.6563
22 5.6029E-5 -85.188 0.60852 1.6563
23 6.6221E-5 -84.321 0.60852 1.6563
24 8.1361E-5 -82.946 0.60852 1.6563
25 6.8009E-5 -84.219 0.60852 1.6563
26 5.4956E-5 -85.344 0.60852 1.6563
27 6.038E-5 -84.868 0.60859 1.6484
28.001 6.4493E-5 -84.485 0.60852 1.6563
29 6.2883E-5 -84.657 0.60859 1.6563
30 6.4314E-5 -84.485 0.60852 1.6563
31 6.4254E-5 -84.532 0.60852 1.6563
32 6.9917E-5 -83.977 0.60859 1.6563
33 7.5043E-5 -83.586 0.60852 1.6484
34 6.181E-5 -84.688 0.60877 1.6484
35 6.4195E-5 -84.508 0.60877 1.6484
36.001 8.3089E-5 -82.883 0.60877 1.6484
37 9.65E-5 -81.711 0.60877 1.6484
38 6.3777E-5 -84.54 0.60883 1.6484
39 7.9453E-5 -83.227 0.60877 1.6484
40 7.2241E-5 -83.782 0.60877 1.6484
41 8.303E-5 -82.93 0.60877 1.6484
42 7.1347E-5 -83.93 0.60871 1.6484
43 8.3387E-5 -82.813 0.60877 1.6484
44 7.8977E-5 -83.274 0.60877 1.6484
45 9.0719E-5 -82.235 0.60877 1.6484
46 8.8633E-5 -82.43 0.60877 1.6484
47.001 6.5268E-5 -84.461 0.60877 1.6484
48 8.1659E-5 -83.024 0.60877 1.6484
49 7.8798E-5 -83.329 0.60877 1.6484
50 6.485E-5 -84.461 0.60877 1.6484
51 6.6996E-5 -84.313 0.60883 1.6484
52 6.2466E-5 -84.727 0.60883 1.6484
53 7.6056E-5 -83.485 0.60883 1.6484
54 8.2851E-5 -82.93 0.60877 1.6484
55.001 8.6248E-5 -82.649 0.60877 1.6484
56 6.9917E-5 -84.071 0.60883 1.6484
57 6.9023E-5 -84.118 0.60883 1.6484
58 5.877E-5 -84.961 0.60883 1.6484
59 7.9394E-5 -83.235 0.60889 1.6484
60 7.695E-5 -83.43 0.60889 1.6484
61 8.2195E-5 -82.993 0.60883 1.6484
62 7.5996E-5 -83.516 0.60883 1.6484
63.001 7.1347E-5 -83.946 0.60883 1.6484
64 7.6831E-5 -83.446 0.60889 1.6484
65 7.4566E-5 -83.649 0.60883 1.6484
66 6.8725E-5 -84.118 0.60883 1.6484
67 6.634E-5 -84.344 0.60883 1.6484
68 6.5923E-5 -84.336 0.60883 1.6484
69 8.2195E-5 -82.969 0.60883 1.6484
70 5.9486E-5 -84.938 0.60889 1.6484
71.001 5.9963E-5 -84.876 0.60889 1.6484
72 5.2452E-5 -85.532 0.60889 1.6484
73 5.6982E-5 -85.079 0.60889 1.6484
74 6.0618E-5 -84.836 0.60901 1.6484
75 7.1347E-5 -83.907 0.60883 1.6484
76 5.3585E-5 -85.415 0.60895 1.6484
77 6.181E-5 -84.633 0.60889 1.6484
78 6.7831E-5 -84.196 0.60889 1.6484
79.001 6.6877E-5 -84.227 0.60889 1.6484
80 7.1705E-5 -83.852 0.60901 1.6484
81 6.2347E-5 -84.665 0.60907 1.6484
82.001 7.0811E-5 -83.915 0.60901 1.6406
83 8.0049E-5 -83.133 0.60901 1.6484
84 8.142E-5 -83.04 0.60895 1.6484
85 8.3745E-5 -82.821 0.60901 1.6406
86 7.7427E-5 -83.352 0.60889 1.6484
87 8.7202E-5 -82.508 0.60889 1.6484
88 7.5818E-5 -83.524 0.60889 1.6484
89 8.0348E-5 -83.11 0.60889 1.6484
90.001 8.5473E-5 -82.696 0.60889 1.6484
91 8.607E-5 -82.649 0.60895 1.6484
92 7.6294E-5 -83.524 0.60889 1.6484
93 6.7115E-5 -84.266 0.60889 1.6484
94 7.1347E-5 -83.86 0.60895 1.6484
95 6.4195E-5 -84.477 0.60895 1.6484
96 5.5492E-5 -85.227 0.60901 1.6484
97 6.7771E-5 -84.133 0.60901 1.6484
98.001 7.3612E-5 -83.657 0.60901 1.6484
99 5.5611E-5 -85.251 0.60907 1.6563
100 5.6207E-5 -85.133 0.60907 1.6484
101 6.1036E-5 -84.774 0.60907 1.6406
102 7.7129E-5 -83.422 0.60901 1.6484
103 6.5804E-5 -84.305 0.60907 1.6484
104 8.7798E-5 -82.493 0.60907 1.6484
105 7.5996E-5 -83.469 0.60907 1.6484
106.001 7.6056E-5 -83.477 0.60907 1.6484
107 8.3387E-5 -82.883 0.60907 1.6484
108 8.8871E-5 -82.368 0.60901 1.6484
109 8.2195E-5 -82.915 0.60901 1.6563
110 6.9619E-5 -84.016 0.60907 1.6484
111 7.093E-5 -83.868 0.60901 1.6484
112 7.8738E-5 -83.211 0.60907 1.6484
113 8.4818E-5 -82.727 0.60907 1.6484
114.001 7.8261E-5 -83.235 0.60907 1.6484
115 6.2764E-5 -84.649 0.60914 1.6484
116 8.4997E-5 -82.672 0.60901 1.6484
117 7.5579E-5 -83.508 0.60914 1.6484
118 7.1645E-5 -83.876 0.60907 1.6563
119 6.4195E-5 -84.633 0.60907 1.6563
120 6.5208E-5 -84.407 0.60901 1.6484
121 6.0201E-5 -84.797 0.6092 1.6484
122.001 7.552E-5 -83.461 0.60901 1.6484
123 7.0811E-5 -83.938 0.60907 1.6484
124 7.7308E-5 -83.383 0.60914 1.6563
125.001 7.9275E-5 -83.219 0.60914 1.6484
126 9.0361E-5 -82.196 0.60907 1.6641
127 6.7354E-5 -84.235 0.60907 1.6484
128 7.5877E-5 -83.485 0.60907 1.6484
129 8.9109E-5 -82.399 0.60914 1.6484
130 6.8307E-5 -84.126 0.60907 1.6484
131 6.8367E-5 -84.094 0.60914 1.6484
132 6.2168E-5 -84.633 0.60914 1.6484
133.001 3.7074E-5 -86.868 0.6092 1.6563
134 6.4493E-5 -84.446 0.60914 1.6484
135 5.579E-5 -85.243 0.6092 1.6563
136 5.6565E-5 -85.141 0.60907 1.6484
137 4.1664E-5 -86.399 0.60926 1.6563
138 5.3466E-5 -85.446 0.6092 1.6484
139 5.5134E-5 -85.227 0.60926 1.6484
140 6.1989E-5 -84.641 0.60926 1.6484
141.001 5.0962E-5 -85.626 0.6092 1.6484
142 5.6625E-5 -85.102 0.6092 1.6563
143 6.2109E-5 -84.735 0.6092 1.6484
144 6.2764E-5 -84.61 0.6092 1.6484
145 7.0215E-5 -84.001 0.6092 1.6484
146 7.7248E-5 -83.274 0.6092 1.6563
147 7.7487E-5 -83.321 0.6092 1.6484
148 8.8513E-5 -82.415 0.6092 1.6484
149.001 7.6592E-5 -83.407 0.60926 1.6484
150 6.2347E-5 -84.688 0.60926 1.6484
151 8.0646E-5 -83.047 0.60926 1.6484
152 8.7619E-5 -82.454 0.60926 1.6563
153 7.6414E-5 -83.454 0.60926 1.6484
154 7.2718E-5 -83.735 0.60926 1.6484
155 7.4804E-5 -83.54 0.60926 1.6484
156 7.4685E-5 -83.602 0.60932 1.6563
157.001 7.5698E-5 -83.493 0.60932 1.6484
158 6.6042E-5 -84.305 0.60944 1.6563
159 7.3076E-5 -83.743 0.60932 1.6563
160.001 8.1659E-5 -82.977 0.60938 1.6484
161 8.4818E-5 -82.68 0.60938 1.6563
162 8.5176E-5 -82.719 0.60932 1.6563
163 9.0957E-5 -82.211 0.60932 1.6563
164 9.3401E-5 -81.938 0.60926 1.6484
165 7.3374E-5 -83.68 0.60938 1.6563
166 8.4162E-5 -82.727 0.60932 1.6484
167 6.2526E-5 -84.618 0.60938 1.6484
168.001 6.5208E-5 -84.461 0.60938 1.6563
169 6.95E-5 -84.016 0.60944 1.6563
170 7.993E-5 -83.102 0.60938 1.6484
171 8.0348E-5 -83.094 0.60944 1.6641
172 6.8486E-5 -84.126 0.60944 1.6563
173 6.3479E-5 -84.438 0.60944 1.6641
174 6.6996E-5 -84.172 0.60944 1.6484
175 7.3016E-5 -83.688 0.60932 1.6484
176.001 5.7996E-5 -85.094 0.6095 1.6563
177 6.5923E-5 -84.329 0.6095 1.6563
178 7.9334E-5 -83.118 0.60944 1.6484
179 9.1732E-5 -82.126 0.6095 1.6484
