Time X DEG X DEG
0 -0.0018177 -146.96 0.35932 2.1484
1.0099994 -0.002306 -154.07 0.3595 2.1406
1.9999998 -0.0019474 -148.53 0.35938 2.1484
3.0009996 -0.0016499 -139.63 0.35919 2.1719
4.0009998 -0.00206 -154.2 0.35944 2.125
4.9999999 -0.0017185 -141.95 0.35919 2.1719
6.0009997 -0.0017834 -142.2 0.35919 2.1641
6.9999998 -0.0025177 -154.7 0.3595 2.1563
8 -0.0021286 -147.74 0.35932 2.1563
9.0009998 -0.001976 -147.27 0.35932 2.1563
9.9999998 -0.0021839 -152.23 0.35938 2.1406
11.001 -0.00243 -155.34 0.3595 2.1406
12.001 -0.0027352 -157.12 0.35962 2.1484
13 -0.0030441 -161.33 0.3598 2.1406
14.001 -0.0024224 -150.91 0.35944 2.1641
15 -0.0030384 -162.01 0.3598 2.125
16 -0.0032024 -162.44 0.35987 2.1328
17.001 -0.0033722 -163.17 0.35993 2.1328
18 -0.0041294 -169 0.36023 2.1172
19.001 -0.0034008 -163.25 0.35987 2.1406
20.001 -0.0037804 -166.22 0.36005 2.1406
21 -0.0046616 -171.24 0.36048 2.1172
22.001 -0.0040551 -165.26 0.36017 2.1484
23 -0.0036469 -164.83 0.35993 2.1563
24 -0.0033627 -160.95 0.35974 2.1484
25.001 -0.0034084 -159.74 0.35987 2.1641
26 -0.003458 -161.02 0.35999 2.1406
27 -0.0040951 -167.77 0.36017 2.1406
28.001 -0.0045204 -167.05 0.36029 2.1406
29 -0.0039559 -162.65 0.36005 2.1563
30.001 -0.0050145 -168.86 0.36048 2.1328
31 -0.0048466 -168.68 0.36041 2.125
32 -0.0047837 -167.94 0.36041 2.1406
33.001 -0.004736 -168.01 0.36035 2.1406
34 -0.0046254 -165 0.36029 2.1406
35 -0.0060368 -176.01 0.3609 2.0859
36.001 -0.0057755 -172.95 0.36084 2.1172
37 -0.0053482 -172.32 0.3606 2.1172
38.001 -0.0059185 -172.92 0.36078 2.1172
39 -0.0045948 -166.38 0.36017 2.1484
40 -0.0055104 -173.81 0.3606 2.1016
41.001 -0.0062428 -173.9 0.3609 2.1094
42 -0.0058899 -172.51 0.36066 2.125
43 -0.0070172 -175.31 0.36115 2.0938
44.001 -0.0069771 -175.22 0.36109 2.0938
45 -0.0058079 -169.19 0.36054 2.1406
46.001 -0.0062333 -172.02 0.36084 2.1172
47.001 -0.0067711 -174.34 0.36109 2.1094
48 -0.0067539 -173.06 0.3609 2.1328
49.001 -0.0060025 -170.98 0.3606 2.1328
50 -0.0064583 -172.19 0.36078 2.1328
51 -0.0074692 -176.38 0.36121 2.0938
52.001 -0.0066567 -170.96 0.36078 2.1328
53 -0.0064869 -172.22 0.36078 2.1406
54.001 -0.0056515 -168.13 0.36035 2.1719
55.001 -0.0066738 -171.17 0.36084 2.1406
56 -0.0065384 -171.56 0.36066 2.1328
57.001 -0.0062313 -169.06 0.3606 2.1406
58 -0.0064316 -170.32 0.3606 2.1484
59 -0.0066853 -171.34 0.36066 2.1406
60.001 -0.0067635 -171.45 0.36072 2.1406
61 -0.0070744 -171.68 0.36084 2.125
62 -0.0078984 -175.7 0.36127 2.0938
63.001 -0.0069485 -170.26 0.3606 2.1563
64 -0.0075226 -173.93 0.36084 2.125
65.001 -0.025297 171.91 0.36731 1.7188
66 -0.031576 172.58 0.36988 1.5703
67 -0.032717 172.38 0.37055 1.5234
68.001 -0.031946 172.58 0.37012 1.5547
69 -0.032345 172.57 0.37024 1.5469
70 -0.031605 172.66 0.37 1.5469
71.001 -0.032282 172.79 0.37024 1.5469
72 -0.032658 172.56 0.37049 1.5313
73.001 -0.032687 172.49 0.37049 1.5234
74 -0.03221 172.39 0.3703 1.5234
75 -0.032564 172.37 0.37049 1.5156
76.001 -0.028528 172.16 0.36798 1.6875
77 -0.0096665 -176.23 0.36121 2.1094
78 -0.0065251 -167.97 0.36035 2.1484
79.001 -0.009554 -176.75 0.36145 2.0938
80.026 -0.010077 -178.15 0.36157 2.0859
