Time X DEG X DEG
0 -0.00040245 158.11 0.36493 2
1.0090005 -0.00032234 154.27 0.36481 2.0156
2.0000005 -0.00066376 160.61 0.36603 1.9297
3.0000001 -0.00054932 161.2 0.3656 1.9609
4.0000003 -0.00065041 162.97 0.36585 1.9531
5.0000005 -0.0007515 161.98 0.36621 1.9219
6.0000001 -0.00067521 160.45 0.36566 1.9453
7.0000004 -0.00068283 162.45 0.36597 1.9375
8.0000006 -0.0005951 158.33 0.36566 1.9531
9.0000002 -0.00048256 157.13 0.36548 1.9766
10 -0.00051308 157.45 0.36548 1.9688
11 -0.00067521 160.8 0.36627 1.9063
12 -0.00071526 161.64 0.3664 1.8984
13.000001 -0.00053978 161.94 0.36585 1.9766
14 -0.00063134 159.67 0.36597 1.9453
15 -0.00056649 158.95 0.36566 1.9531
16.000001 -0.00062371 160.09 0.36585 1.9531
17 -0.0007267 161.71 0.36646 1.9063
18 -0.00075341 161.98 0.36652 1.9219
19 -0.00077439 161.97 0.36688 1.875
20 -0.00062561 160.11 0.36609 1.9453
21.000001 -0.00070954 160.79 0.36664 1.8906
22 -0.00062561 159.6 0.36609 1.9375
23 -0.00073815 162.65 0.36664 1.9141
24.000001 -0.00070572 162.2 0.36615 1.9375
25 -0.00067521 161.47 0.36627 1.9297
26 -0.00062752 159.75 0.3664 1.9141
27 -0.00061989 159.59 0.36634 1.9219
28 -0.00054741 159.69 0.36597 1.9609
29 -0.00058937 161.27 0.36621 1.9375
30 -0.0005951 160.84 0.36634 1.9219
31 -0.00061989 160.41 0.36621 1.9375
32.000001 -0.00054932 158.95 0.36597 1.9609
33 -0.00061035 161 0.36634 1.9375
34 -0.0005951 160.11 0.36627 1.9375
35 -0.0006733 161.43 0.36664 1.9063
36 -0.00063515 160.48 0.36634 1.9375
37 -0.00069237 161.35 0.36688 1.8984
38 -0.00067139 162.11 0.36652 1.9453
39 -0.00056267 162.48 0.36621 1.9609
40.000001 -0.00063515 160.84 0.36646 1.9375
41 -0.00058747 163.53 0.36664 1.9375
42 -0.00061035 160.34 0.36627 1.9453
43 -0.00059891 160.74 0.36621 1.9531
44 -0.00060082 161.56 0.36634 1.9375
45 -0.00061799 162.02 0.3667 1.9375
46 -0.00070954 161.15 0.36688 1.9063
47 -0.00058937 160.63 0.3664 1.9297
48.000001 -0.00059128 160.36 0.36634 1.9375
49 -0.0005436 163.1 0.36621 1.9688
50 -0.0005951 160.99 0.36634 1.9375
51.000001 -0.00056839 158.69 0.36658 1.9219
52 -0.00059891 159.52 0.3667 1.9141
53 -0.00067711 161.22 0.36707 1.9219
54 -0.00041199 160.94 0.3667 1.9453
55 -0.00055695 160.12 0.3667 1.9375
56.000001 -0.00061799 161.19 0.36725 1.9063
57 -0.00068856 160.74 0.36762 1.875
58 -0.00062371 159.59 0.36731 1.9063
59.000001 -0.00063515 159.59 0.36713 1.9063
60 -0.00050927 156.1 0.36676 1.9219
61 -0.00068093 159.93 0.36731 1.8828
62 -0.00062371 159.6 0.36707 1.9063
63 -0.0006485 160.72 0.36707 1.9063
64.000001 -0.00060845 158.9 0.36682 1.9219
65 -0.00066185 161.38 0.36731 1.9063
66 -0.00058556 158.56 0.36676 1.9141
67.000001 -0.00070191 159.62 0.36713 1.9063
68 -0.00051308 156.73 0.36658 1.9453
69 -0.00061417 158.67 0.36701 1.9063
70 -0.00049973 157.05 0.36707 1.9141
71 -0.00053597 159.36 0.36676 1.9375
72 -0.00056458 157.7 0.36701 1.9297
73 -0.0005951 159.23 0.36707 1.9297
74 -0.00060845 157.68 0.36731 1.9063
75.000001 -0.0005169 159.02 0.36731 1.9063
76 -0.0006218 159.6 0.36743 1.8984
77 -0.00057793 158.39 0.36725 1.9219
78 -0.00069046 159.96 0.36786 1.8828
79 -0.00059891 158.6 0.3675 1.9063
80 -0.00061417 158.92 0.36743 1.8984
81 -0.00056839 157.02 0.36707 1.9141
82 -0.00065041 158.29 0.36762 1.8906
83.000001 -0.00052643 157.66 0.36707 1.9297
84 -0.00053978 157.24 0.36725 1.9219
85 -0.00067711 160.16 0.36792 1.8828
86 -0.00062752 159.06 0.36768 1.8828
87 -0.00059891 159.57 0.36762 1.9063
88 -0.00055123 158.91 0.36737 1.9063
89 -0.0005951 160.2 0.36798 1.8906
90 -0.00063515 160.48 0.36817 1.8594
91.000001 -0.00052834 157.94 0.36768 1.8984
92 -0.00058556 156.49 0.36762 1.8984
93 -0.00053025 158.56 0.36743 1.9375
94.000001 -0.00058747 159.44 0.36768 1.9141
95 -0.00056649 157.34 0.36707 1.9375
96 -0.0006466 160.45 0.36792 1.8906
97 -0.00056839 160.56 0.36768 1.9219
98 -0.00056267 159.25 0.36762 1.9297
99.000001 -0.00060082 158.86 0.36768 1.9063
100 -0.00062752 160.38 0.36768 1.9063
101 -0.00047302 159.21 0.36707 1.9609
102 -0.00055886 162.02 0.36774 1.9063
103 -0.00059128 158.45 0.36762 1.9063
104 -0.00056458 159.44 0.3675 1.9219
105 -0.0004673 158.02 0.36737 1.9453
106 -0.00045204 161.56 0.36786 1.9297
107 -0.00054169 160.92 0.36768 1.9375
108 -0.00039673 159.67 0.36731 1.9531
109 -0.0005703 160.6 0.36798 1.9063
110 -0.00051117 162.8 0.36762 1.9375
111 -0.00045777 159.27 0.3675 1.9375
112 -0.00040245 158.23 0.36701 1.9688
113 -0.00054169 163.49 0.36786 1.9375
114 -0.00058747 162.2 0.3678 1.9375
115 -0.00052643 162.59 0.3678 1.9219
116 -0.00049591 159.73 0.36743 1.9297
117 -0.00060845 162.7 0.36817 1.9063
118 -0.00045204 161.24 0.36725 1.9609
119 -0.00054741 160.88 0.36798 1.9297
120 -0.00052643 160.09 0.36762 1.9219
121 -0.00052071 159.16 0.36731 1.9453
122 -0.00045014 162.78 0.36731 1.9609
123 -0.00045777 162.8 0.36762 1.9375
124 -0.00063515 165.32 0.36835 1.9063
125 -0.00060654 163.55 0.3678 1.9375
126 -0.00056839 166.43 0.36811 1.9297
127 -0.00058365 162.34 0.36811 1.9219
128 -0.00057602 161.21 0.3678 1.9219
129 -0.00061417 163.25 0.36817 1.9219
130 -0.00048065 163.76 0.3678 1.9375
131 -0.00058175 160.96 0.36823 1.9063
132 -0.00066758 161.69 0.36817 1.8828
133 -0.00062561 163.34 0.36847 1.8984
134 -0.00059128 164.97 0.36804 1.9297
135 -0.00056649 161.51 0.36774 1.9141
136 -0.00068474 164.55 0.36853 1.8828
137 -0.00057793 164.49 0.36786 1.9375
138 -0.00060082 164.47 0.36817 1.9219
139 -0.00057984 164.27 0.36804 1.9297
140 -0.00050354 161.73 0.36792 1.9297
141 -0.00055504 163.8 0.3678 1.9297
