Time X DEG X DEG
0 -0.00016785 -94.422 0.35626 2.1719
1.0100001 -0.0001297 -93.376 0.3562 2.1719
1.9999998 -0.0001297 -93.43 0.3562 2.1719
3.0000001 -0.00026322 -97.001 0.35632 2.1719
4.0000003 -0.00023842 -96.61 0.35632 2.1563
4.9999999 -0.00026322 -96.797 0.3562 2.1719
6.0000001 -0.00040436 -100.88 0.35639 2.1563
6.9999998 -0.00048828 -103.34 0.35651 2.1563
8 -0.00025177 -96.86 0.3562 2.1719
9.0000002 -0.00025177 -96.297 0.3562 2.1719
9.9999998 -0.0003643 -99.532 0.35626 2.1719
11 -0.00042534 -101.67 0.35626 2.1641
12 -0.00040817 -100.77 0.3562 2.1797
13 -0.00020599 -95.188 0.35608 2.1953
14 -0.00035668 -99.211 0.35614 2.1875
15 -0.00075913 -110.67 0.35651 2.1563
16 -0.00085068 -112.63 0.35657 2.1406
17 -0.00066567 -107.99 0.35639 2.1641
18 -0.00078774 -111.34 0.35651 2.1406
19 -0.00068665 -108.26 0.35632 2.1719
20 -0.00074196 -110.06 0.35639 2.1484
21 -0.00067139 -107.4 0.35626 2.1797
22 -0.00103 -118.1 0.35657 2.1406
23 -0.0009842 -117.32 0.35663 2.1172
24 -0.00090409 -114.52 0.35645 2.1563
25 -0.0010109 -117.32 0.35645 2.1484
26 -0.00081826 -111.62 0.35626 2.1719
27 -0.0011101 -120.24 0.35663 2.1406
28 -0.0010681 -117.98 0.35645 2.1641
29 -0.0010185 -116.66 0.35645 2.1641
30 -0.00086976 -112.08 0.35626 2.2031
31 -0.0010662 -117.72 0.35645 2.1641
32 -0.0010643 -117.47 0.35645 2.1641
33 -0.0010834 -117.87 0.35639 2.1641
34 -0.00096131 -114.67 0.35632 2.1719
35 -0.0012951 -123.95 0.35651 2.1563
36 -0.0011521 -121.17 0.35651 2.1563
37 -0.0011692 -120.38 0.35645 2.1641
38 -0.0012417 -121.66 0.35645 2.1719
39 -0.0016384 -132.28 0.35675 2.1406
40 -0.0017147 -132.64 0.35675 2.1484
41 -0.002018 -140.74 0.35687 2.125
42 -0.0015297 -129.01 0.35657 2.1406
43 -0.0017147 -134.86 0.35681 2.1406
44 -0.0016422 -130.79 0.35663 2.1719
45 -0.0018101 -134.24 0.35663 2.1719
46 -0.0024739 -147.31 0.35712 2.1172
47 -0.0025921 -149.81 0.35724 2.1016
48 -0.0025425 -150.32 0.35718 2.1172
49 -0.0023632 -144.64 0.35694 2.1484
50 -0.0024033 -145.8 0.35694 2.1406
51 -0.0021706 -141.44 0.35681 2.1406
52 -0.0025158 -146.55 0.357 2.1328
53 -0.0024662 -147.53 0.357 2.125
54 -0.0027104 -151.87 0.35712 2.1172
55 -0.0028649 -153.42 0.35718 2.1172
56 -0.0028534 -153.7 0.35718 2.1172
57 -0.0028935 -153.89 0.35712 2.1172
58 -0.0030651 -155.88 0.35724 2.1172
59 -0.0033188 -159.88 0.35736 2.1094
60 -0.0031567 -156.69 0.35718 2.1172
61 -0.0030213 -155.43 0.35718 2.1172
62 -0.0031948 -157.95 0.3573 2.1016
63 -0.0033684 -158.9 0.35749 2.0938
64 -0.0036373 -162.81 0.35755 2.0938
65 -0.0035706 -161.99 0.35779 2.0625
66 -0.0072823 174.36 0.36231 1.6953
67 -0.0088578 171.52 0.36371 1.6016
68 -0.0097352 170.85 0.36438 1.5703
69 -0.010302 170.77 0.36475 1.5469
70 -0.0096322 171.03 0.36438 1.5703
71 -0.0096532 170.82 0.36432 1.5625
72 -0.0097104 170.89 0.36438 1.5625
73 -0.0094395 171.01 0.36426 1.5703
74 -0.0096894 170.98 0.36438 1.5703
75 -0.0098553 170.45 0.36444 1.5625
76 -0.0070839 174.95 0.362 1.7109
77 -0.0032024 -159.91 0.35755 2.0938
78 -0.0030842 -158.02 0.35736 2.1094
79 -0.0038986 -167.2 0.35791 2.0703
80 -0.0039616 -167.64 0.35785 2.0625
81 -0.0032978 -161.15 0.35736 2.0938
