Time X DEG X DEG
0 0 89.977 0.36524 2.5625
1.0030001 5.0068E-5 89.258 0.36524 2.5781
2.0000005 -0.00016642 92.321 0.3653 2.5547
3.0000001 0 89.946 0.3653 2.5391
4.0000003 0.00021839 86.672 0.36524 2.5156
4.9999999 0.00029898 85.11 0.36518 2.4766
6.0000001 0.00035525 84.313 0.36518 2.4844
7.0000004 0.00042677 83.133 0.36518 2.4766
8 0.00041771 83.258 0.36518 2.4766
9.0000002 0.00035239 84.227 0.36518 2.4766
10 0.00036621 84.001 0.36511 2.4766
11 0.00031805 84.868 0.36524 2.4844
12 0.00026322 85.829 0.36518 2.4922
13 0.00037575 83.883 0.36518 2.4766
14 0.00053072 81.376 0.36511 2.4688
15 0.00034523 84.376 0.36511 2.4688
16 0.00035334 84.11 0.36511 2.4531
17 0.00029326 85.313 0.36518 2.4844
18 0.00045777 82.618 0.36505 2.4844
19 0.00032759 84.672 0.36511 2.4766
20 0.00029326 85.266 0.36505 2.4766
21 0.00025797 85.774 0.36511 2.4766
22 0.00028753 85.383 0.36518 2.4922
23 0.00025463 85.93 0.36511 2.4844
24 0.00042677 82.946 0.36505 2.4766
25 0.00027704 85.461 0.36505 2.4766
26 0.00034189 84.344 0.36505 2.4688
27 0.00030136 85.079 0.36505 2.4766
28 0.00034428 84.422 0.36505 2.4766
29 0.00017786 87.086 0.36505 2.4766
30 0.00034952 84.29 0.36505 2.4766
31 0.00040436 83.391 0.36505 2.4766
32 0.00014496 87.743 0.36505 2.4766
33 0.00022316 86.43 0.36505 2.5
34 0.00018501 86.922 0.36499 2.4844
35 0.00017595 87.235 0.36493 2.4922
36 0.00011158 88.227 0.36499 2.4766
37 0.00024223 85.954 0.36493 2.4766
38 8.2017E-5 88.665 0.36493 2.4844
39 1.6213E-5 89.797 0.36493 2.4844
40 -6.7711E-5 91.094 0.36499 2.4844
41 0.00016689 87.235 0.36493 2.4844
42 1.955E-5 89.672 0.36493 2.4766
43 -2.7657E-5 90.524 0.36493 2.4766
44 -4.4346E-5 90.719 0.36493 2.5
45 6.0082E-5 89.001 0.36493 2.4766
46 -6.9619E-5 91.126 0.36487 2.4766
47 -6.6758E-5 91.11 0.36493 2.4766
48 -6.6758E-6 90.071 0.36487 2.4766
49 -5.1022E-5 90.813 0.36493 2.4844
50 6.5327E-5 89.001 0.36487 2.4766
51 3.1472E-5 89.594 0.36493 2.5
52 8.5831E-6 89.805 0.36493 2.4766
53 -1.2398E-5 90.211 0.36487 2.4844
54 3.3856E-5 89.469 0.36487 2.4766
55 9.5368E-6 89.891 0.36487 2.4844
56 -0.00025845 94.016 0.36493 2.4922
57 4.7207E-5 89.219 0.36481 2.4766
58 -6.5804E-5 91.04 0.36487 2.4766
59 -2.1458E-5 90.297 0.36487 2.4766
60 0.00012684 87.899 0.36481 2.4609
61 -2.6226E-5 90.399 0.36487 2.4844
62 5.9605E-5 89.016 0.36487 2.4688
63 -2.9087E-5 90.454 0.36487 2.4609
64 -0.00018358 92.868 0.36487 2.4844
65 -4.3392E-5 90.876 0.36487 2.4766
66 -0.00012112 92.016 0.36493 2.4922
67 -0.00014305 92.36 0.36487 2.4766
68 -3.4809E-5 90.532 0.36487 2.4766
69 -0.0001812 93.016 0.36487 2.4766
70 -0.00013113 92.227 0.36487 2.4688
71 2.7657E-5 89.524 0.36481 2.4766
72 -0.00015259 92.532 0.36487 2.4766
73 -0.00012875 92.149 0.36487 2.4844
74 -0.00015402 92.633 0.36487 2.4766
75 -0.00029516 94.719 0.36493 2.4844
76 -0.00019694 93.266 0.36487 2.4844
77 -0.00016117 92.516 0.36487 2.4844
78 -0.00024176 93.766 0.36487 2.4922
79 -8.7738E-5 91.446 0.36487 2.4766
80 -0.0001607 92.688 0.36487 2.5
81 -0.00017595 92.805 0.36487 2.4766
82 -0.00011253 91.766 0.36487 2.4844
83 -0.00012779 92.126 0.36487 2.4844
84 -0.00027371 94.563 0.36487 2.4922
85 -0.0002327 93.821 0.36487 2.4688
86 -0.00029612 94.969 0.36493 2.4766
87 -0.0005188 98.227 0.36487 2.5
88 -0.00046873 97.493 0.36487 2.5
89 -0.00029946 94.821 0.36487 2.4766
90 -0.00021362 93.469 0.36487 2.4766
91 -0.00028801 94.766 0.36487 2.4766
92 -0.00034905 95.727 0.36487 2.4844
93 -0.00016928 92.711 0.36481 2.4766
94 -0.00027943 94.501 0.36487 2.4844
95 -4.7684E-5 90.735 0.36481 2.4844
96 -0.0001154 91.844 0.36481 2.4531
97 -6.5804E-5 91.047 0.36481 2.4766
98 -0.00019407 93.266 0.36487 2.4688
99 -0.00022173 93.704 0.36481 2.4844
100 -0.00032711 95.313 0.36481 2.4922
101 -0.00024939 94.188 0.36481 2.4766
102 -0.00041771 96.829 0.36487 2.4766
103 -0.00048733 97.977 0.36481 2.4844
104 -0.00019646 93.266 0.36475 2.4922
105 -0.00042105 96.782 0.36481 2.5078
106 -0.00031328 95.172 0.36481 2.4766
107 -0.00038338 96.266 0.36481 2.4922
108 -0.00030279 95.047 0.36481 2.4766
109 -0.0002017 93.383 0.36481 2.4766
110 -0.0001998 93.235 0.36475 2.4922
111 -0.00050545 98.055 0.36475 2.5078
112 -0.00042343 96.829 0.36469 2.5078
113 -0.00038958 96.274 0.36475 2.5078
114 -0.00016117 92.555 0.36475 2.4844
115 -0.0001111 91.797 0.36475 2.4922
116 -0.00023127 93.821 0.36475 2.5
117 -0.00022841 93.743 0.36475 2.4844
118 -0.00026846 94.469 0.36481 2.4922
119 -0.00030089 94.899 0.36475 2.5078
120 -0.00023508 93.813 0.36481 2.5078
121 -0.00030756 94.922 0.36475 2.5
122 -0.00019884 93.219 0.36475 2.4766
123 -0.00015116 92.563 0.36475 2.4766
124 -0.00025988 94.352 0.36475 2.5
125 -0.00026274 94.188 0.36475 2.4922
126 -0.0003047 94.868 0.36481 2.5078
127 -0.0002408 93.93 0.36475 2.4844
128 -0.00022698 93.743 0.36469 2.4844
129 -0.00031901 95.258 0.36475 2.4844
130 -0.00037003 95.844 0.36475 2.4844
131 -0.00014734 92.43 0.36469 2.4922
132 -0.00012875 92.001 0.36469 2.4844
133 -0.00014591 92.36 0.36469 2.4844
134 -6.342E-5 90.977 0.36475 2.4766
