Time X DEG X DEG
0 3.2902E-5 88.54 0.36597 1.625
1.006 -2.0504E-5 90.938 0.36597 1.625
1.9999998 -2.0027E-5 90.915 0.36591 1.6406
3.0000001 -1.6213E-5 90.852 0.36585 1.6406
4.0000003 -2.861E-5 91.29 0.36603 1.625
4.9999999 -0.00010967 94.938 0.36597 1.6328
6.0000001 1.1444E-5 89.532 0.36597 1.625
7.0000004 -7.0572E-5 93.204 0.36597 1.625
8 -4.7684E-6 90.086 0.36579 1.6328
9.0000002 -4.9114E-5 92.227 0.36597 1.6328
9.9999998 -5.9128E-5 92.719 0.36603 1.625
11 -6.6281E-5 92.922 0.36585 1.625
12 -2.0981E-5 90.93 0.36597 1.625
13 -0.00017309 97.735 0.36591 1.625
14 -9.1076E-5 94.071 0.36585 1.6328
15 -3.2425E-5 91.446 0.36591 1.6328
16 -0.00013542 96.118 0.36603 1.6406
17 -0.00016832 97.321 0.36591 1.6484
18 -0.00023222 100.09 0.36585 1.6484
19 -0.00017071 97.368 0.36585 1.6328
20 -0.00019121 98.094 0.36585 1.6406
21 -0.0001502 96.735 0.36603 1.625
22 -0.00015974 97.188 0.36603 1.625
23 -0.00031805 104.17 0.36615 1.6484
24 -0.00022745 99.993 0.36621 1.6484
25 -0.00021839 99.751 0.36609 1.6406
26 -0.00027037 101.71 0.36603 1.6484
27 -0.00025606 101.26 0.36603 1.6406
28 -0.00029707 102.92 0.36597 1.6484
29 -0.00024557 100.7 0.36609 1.6484
30 -0.00031901 103.84 0.36603 1.6406
31 -0.00029373 102.96 0.36627 1.625
32 -0.00032187 104.17 0.36627 1.6406
33 -0.00032807 104.44 0.36627 1.6484
34 -0.00036001 105.63 0.36634 1.6406
35 -0.00034332 104.73 0.36603 1.6406
36 -0.00033713 104.59 0.36627 1.6484
37 -0.00022459 99.844 0.36621 1.6406
38 -0.00031233 104.12 0.36652 1.6328
39 -0.00032711 104.44 0.36634 1.6406
40 -0.00028324 102.52 0.3664 1.6328
41 -0.00021362 99.727 0.36627 1.6328
42 -0.00021124 99.532 0.36652 1.6328
43 -0.00025511 101.17 0.3664 1.6406
44 -0.0002141 99.68 0.36634 1.625
45 -0.0002265 100.2 0.36646 1.6328
46 -0.00022125 99.922 0.36621 1.625
47 -0.0002718 102.18 0.36634 1.6328
48 -0.00031662 104.13 0.36646 1.6406
49 -0.00023699 100.66 0.3664 1.6406
50 -0.00018311 98.305 0.3664 1.625
51 -0.00026989 102.01 0.36652 1.6328
52 -0.0003376 104.98 0.36646 1.6328
53 -0.00031138 103.94 0.3664 1.6406
54 -0.00027037 102.34 0.36634 1.625
55 -0.00029946 103.43 0.36658 1.6328
56 -0.00029135 103.21 0.36652 1.6328
57 -0.00034046 105.06 0.3664 1.6406
58 -0.00042105 108.25 0.36634 1.6406
59 -0.00039005 107.03 0.36646 1.6406
60 -0.00035763 105.4 0.36634 1.6406
61 -0.00038767 107.08 0.36634 1.6406
62 -0.00041342 108.33 0.36658 1.6328
63 -0.00045157 109.18 0.36627 1.6563
64 -0.00034905 105.4 0.3664 1.6406
65 -0.00030375 103.58 0.36664 1.6328
66 -0.00027657 102.52 0.3667 1.6406
67 -0.00028229 102.39 0.3664 1.625
68 -0.00029707 103.45 0.36652 1.6328
69 -0.00026798 101.9 0.3664 1.6406
70 -0.00029946 103.23 0.36652 1.6328
71 -0.00032616 104.73 0.3667 1.625
72 -0.00025654 101.83 0.36664 1.6328
73 -0.00029946 103.52 0.3667 1.6484
74 -0.00025177 101.92 0.36664 1.6328
75 -0.0002079 99.68 0.3667 1.625
76 -0.00026226 101.95 0.36688 1.625
77 -0.00028658 102.9 0.36664 1.6484
78 -0.00032425 104.55 0.36658 1.6641
79 -0.00022841 100.77 0.36688 1.625
80 -0.000247 101.17 0.36664 1.6328
81 -0.00021935 100.04 0.36676 1.625
82 -0.00025559 101.96 0.36688 1.6328
83 -0.00027323 102.38 0.36676 1.6328
84 -0.00026178 102.06 0.36688 1.6328
85 -0.00025129 101.3 0.3667 1.6484
86 -0.00017214 98.032 0.36682 1.625
