Time X DEG X DEG
0 -0.00048113 121.25 0.37384 1.5547
1.0070002 -0.00045872 120.23 0.37384 1.5547
1.9999998 -0.00048685 121.09 0.37378 1.5547
3.0000001 -0.00047875 121.45 0.37378 1.5547
4.0009998 -0.000556 125.28 0.37372 1.5547
4.9999999 -0.00050116 122.13 0.37378 1.5547
6.0000001 -0.00050879 122.92 0.37378 1.5469
6.9999998 -0.00051737 122.86 0.37378 1.5547
8 -0.00050736 122.77 0.3739 1.5469
9.0000002 -0.00052405 123.42 0.37378 1.5469
9.9999998 -0.00056076 125.78 0.37372 1.5547
11 -0.00057412 125.71 0.37372 1.5547
12 -0.00059223 127.06 0.37372 1.5469
13 -0.00059605 126.88 0.37372 1.5469
14 -0.00063229 128.76 0.37372 1.5469
15 -0.0007 131.64 0.37372 1.5547
16 -0.00060654 128.09 0.37378 1.5469
17 -0.00064946 129.49 0.37378 1.5469
18 -0.00060988 127.77 0.37372 1.5547
19 -0.00068903 131.32 0.3736 1.5625
20 -0.00068236 130.7 0.37372 1.5469
21 -0.00063706 128.62 0.37372 1.5469
22 -0.00063944 128.5 0.37378 1.5469
23 -0.00067044 129.65 0.37372 1.5469
24 -0.00062943 128.72 0.37372 1.5469
25 -0.00062323 128.46 0.37378 1.5469
26 -0.00064087 128.89 0.37372 1.5469
27 -0.00061512 128.71 0.37378 1.5313
28 -0.00060177 127.27 0.37384 1.5391
29 -0.00062943 128.74 0.37378 1.5469
30 -0.00072146 132.06 0.37366 1.5547
31 -0.00054407 124.91 0.37378 1.5469
32 -0.00057936 126.47 0.37378 1.5469
33 -0.00062275 128.35 0.37372 1.5547
34 -0.00058413 126.47 0.37378 1.5469
35 -0.00062275 127.95 0.37372 1.5469
36 -0.00061751 127.97 0.37378 1.5469
37 -0.00067807 130.53 0.37372 1.5391
38 -0.00070334 131.64 0.37372 1.5469
39 -0.00068856 130.7 0.37378 1.5391
40 -0.00065566 129.52 0.37372 1.5469
41 -0.00065279 129.31 0.37378 1.5469
42 -0.00066042 130.22 0.37378 1.5469
43 -0.00065899 129.37 0.37378 1.5469
44 -0.00070381 131.45 0.37372 1.5469
45 -0.00071145 132.43 0.37372 1.5469
46 -0.00070048 131.54 0.37372 1.5469
47.001 -0.00068474 131.53 0.37378 1.5313
48 -0.00063801 128.99 0.3739 1.5313
49 -0.00065661 129.95 0.37384 1.5391
50 -0.00073052 133.53 0.37378 1.5391
