Time X DEG X DEG
0 0.00026703 -10.625 0.35755 2.1406
1.0100001 0.00023842 -7.3282 0.35767 2.125
1.9999998 0.0002594 12.172 0.35797 2.0625
3.0000001 0.00017738 17.32 0.35809 2.0547
4.0000003 0.00017166 30.531 0.35809 2.0391
4.9999999 0.00017929 19.516 0.35828 2.0391
6.0000001 0.00020409 21.797 0.35822 2.0391
7.0000004 0.00017738 21.977 0.35822 2.0391
8 0.00019074 26.555 0.35828 2.0156
9.0000002 0.00014687 31.055 0.35828 2.0156
9.9999998 0.00025177 5.8516 0.35797 2.0625
11 0.00029564 8.5313 0.35791 2.0547
12 0.00028038 7.461 0.35797 2.0469
13 0.00020409 12.57 0.35809 2.0313
14 0.00023651 9.3907 0.35803 2.0234
15 0.0001812 22.617 0.35816 2.0234
16 0.00027466 11.242 0.35803 2.0391
17 0.00032425 4.125 0.35791 2.0313
18 0.00020599 16.867 0.35816 2.0156
19 0.00021744 18.172 0.35809 2.0156
20 0.00030327 4.6328 0.35785 2.0391
21 0.00026512 11.914 0.35797 2.0313
22 0.00020409 25.258 0.35809 2.0156
23 0.00026131 12.906 0.35803 2.0234
24 0.00017738 32.399 0.35822 2.0078
25 0.00031281 4.7578 0.35785 2.0391
26 0.00031853 8.2969 0.35785 2.0313
27 0.00030709 15.063 0.35803 2.0156
28 0.00030327 10.219 0.35797 2.0313
29 0.00028229 10.719 0.35797 2.0313
30 0.00036621 1.3281 0.35785 2.0313
31 0.00034142 7.2266 0.35791 2.0156
32 0.00034714 4.375 0.35785 2.0234
33 0.0003109 13.961 0.35785 2.0234
34 0.00039101 0.24219 0.35773 2.0391
35 0.00035668 4.5157 0.35773 2.0234
36 0.00038719 -1.7109 0.35767 2.0313
37 0.0003357 6.5625 0.35773 2.0391
38 0.00032234 5.5547 0.35773 2.0313
39 0.00027085 9.461 0.35791 2
40 0.00016022 34.907 0.35809 1.9844
41 0.00032044 2.3828 0.35779 2.0234
42 0.00036812 3.3516 0.35767 2.0234
43 0.00032997 5.1172 0.35773 2.0156
44 0.00034142 4.5 0.35761 2.0156
45 0.00034142 0.82813 0.35767 2.0234
46 0.00037575 -1.5469 0.35761 2.0391
47 0.00031471 10.492 0.35779 2.0156
48 0.00036812 2.0469 0.35773 2.0156
49 0.0003376 5.0391 0.35773 2.0156
50 0.00035095 3.5391 0.35773 2
51 0.00029755 3.5547 0.35779 2.0156
52 0.00027657 -0.69532 0.35767 2.0234
53 0.00021744 1.7422 0.35773 2.0156
54 0.00024796 -4.1641 0.35749 2.0391
55 0.00020599 -8.5782 0.35767 2.0156
56 0.00021935 -3.4453 0.35755 2.0313
57 0.00017548 7.0547 0.35767 2
58 0.00023651 1.6016 0.35761 2.0156
59 0.00020027 0 0.35755 2.0234
60 0.00018692 0.50782 0.35755 2.0156
61 0.00013924 11.57 0.35767 2.0156
62 0.00011063 13.422 0.35773 2
63 8.5831E-5 32.899 0.35785 1.9922
64 0.00012016 -0.78907 0.35761 2.0156
65 0.00015831 -11.891 0.35749 2.0234
66 8.2017E-5 -14.578 0.35761 2.0078
67 4.9591E-5 -3.9453 0.35767 2.0156
68 1.3352E-5 44.992 0.35773 1.9844
69 2.4796E-5 -14.938 0.35761 2.0078
70 -3.624E-5 130.02 0.35785 1.9844
71 1.1444E-5 66.79 0.35767 2.0156
72 -4.0055E-5 136.27 0.35767 1.9922
73 -9.5368E-5 156.31 0.35785 1.9844
74 -2.861E-5 -144.16 0.35761 1.9922
75 -4.9591E-5 -147.27 0.35749 2.0313
76 -5.7221E-5 172.09 0.35755 2.0078
77 -0.00016022 171.2 0.35773 1.9922
78 -0.00016022 178.84 0.35773 1.9844
79 -0.00025368 166.94 0.35791 1.9766
80 -0.00013352 -172.07 0.35755 2.0156
81 -0.00018501 -169.09 0.35755 2.0234
82 -0.00029564 173.34 0.35779 1.9844
83 -0.00035286 174.06 0.35791 1.9844
84 -0.00030518 175.93 0.35773 2
85 -0.00039292 172.17 0.35785 1.9844
86 -0.00042343 175.04 0.35785 1.9844
87 -0.00041962 177.93 0.35773 1.9922
88 -0.00045967 176.29 0.35785 1.9844
89 -0.00049019 175.71 0.35773 2
90 -0.00053597 172.78 0.35791 1.9688
91 -0.00057412 176.16 0.35785 1.9844
92 -0.00055695 178.62 0.35773 1.9844
93 -0.0006218 -179.84 0.35767 1.9922
94 -0.0006218 178.31 0.35773 1.9844
95 -0.00061035 -179.84 0.35755 2.0078
96 -0.00058747 -173.53 0.35742 2.0234
97 -0.00072861 178.28 0.35785 1.9844
98 -0.00081063 175.99 0.35791 1.9609
99 -0.00085831 176.41 0.35791 1.9844
100 -0.00083352 177.7 0.35785 1.9844
101 -0.0010147 172.58 0.35822 1.9375
102 -0.00091935 177.81 0.35791 1.9844
103 -0.001173 173.93 0.35828 1.9531
104 -0.00092507 178.65 0.35779 1.9844
105 -0.00092316 -178.34 0.35761 2
106 -0.00091935 -177.5 0.35749 2.0078
107 -0.0010338 -178.7 0.35773 2
108 -0.001091 177.71 0.35773 2.0156
109 -0.0010376 -179.36 0.35767 2.0156
110 -0.0012455 178.76 0.35785 2.0156
111 -0.0011768 179.34 0.35785 1.9844
112 -0.0012798 176.09 0.35797 1.9766
113 -0.0010796 -177.7 0.35749 2.0156
114 -0.0012436 177.46 0.35791 1.9844
115 -0.0013313 176.97 0.35791 1.9844
116 -0.0012951 -179.93 0.35779 1.9922
117 -0.0012741 -179.63 0.35773 2
118 -0.0013638 179.08 0.35785 1.9922
119 -0.0013847 177.16 0.35785 1.9844
120 -0.0013962 178.7 0.35791 1.9766
121 -0.0013676 179.02 0.35779 1.9922
122 -0.0013714 179.02 0.35773 2.0078
123 -0.0014973 177.69 0.35797 1.9844
124 -0.0016823 175.23 0.35822 1.9688
125 -0.0015755 177.13 0.35797 1.9766
126 -0.0018711 174.56 0.35828 1.9766
127 -0.0019016 173.26 0.3584 1.9453
