Time X DEG X DEG
0 0.00093651 48.703 0.36493 1.4453
4.9999999 0.0011082 46.508 0.36469 1.4844
9.9999998 0.0010891 48.516 0.36475 1.4766
15 0.0016995 39.336 0.36395 1.5078
20.001 0.0022869 34.735 0.36328 1.5156
25 0.0030232 30.797 0.36255 1.5234
30 0.0037155 28.352 0.362 1.5313
35 0.0044174 25.93 0.36151 1.5547
40 0.0049954 24.617 0.36127 1.6016
45 0.0057793 23.024 0.36096 1.6016
50 0.0064926 22.11 0.36078 1.6172
55.001 0.0070782 21.797 0.36072 1.625
60 0.0076676 21.485 0.36078 1.6484
65 0.0081464 21 0.36096 1.6719
70 0.0086213 20.344 0.36127 1.7031
75 0.0090829 19.469 0.3617 1.7422
80 0.0096245 18.43 0.36219 1.7656
85 0.010002 17.797 0.36273 1.7891
90.001 0.010418 17.336 0.36334 1.7969
95 0.0107 17.297 0.36395 1.8203
100 0.010922 17.242 0.36475 1.8359
105 0.012066 16.094 0.36511 1.8828
110 0.012425 14.922 0.36603 1.9219
115 0.012646 13.953 0.36701 1.9453
120 0.012764 13.352 0.36804 1.9609
125.001 0.012894 13.164 0.36908 1.9531
130 0.012852 13.5 0.37012 1.9453
135 0.013966 12.109 0.3711 1.9844
140 0.012695 12.633 0.37238 1.9844
145 0.012428 11.836 0.3736 2.0156
150 0.012302 11.016 0.37488 2.0547
155 0.012169 10.664 0.3761 2.0469
160.001 0.011932 10.75 0.37732 2.0156
165 0.011643 11.086 0.37848 2.0156
170 0.011345 11.117 0.37976 1.9844
175 0.010967 10.953 0.38104 2.0078
180 0.010597 10.594 0.38251 2.0234
185 0.010216 10.156 0.38391 2.0391
190 0.0099641 9.4376 0.38538 2.0859
195 0.009697 9.211 0.38678 2.0938
200 0.0094643 9.2188 0.38819 2.0703
205 0.0092316 9.4844 0.38959 2.0391
210 0.0088692 9.9923 0.39081 2
215 0.0084725 10.516 0.39215 1.9688
220 0.0081597 10.867 0.39337 1.9688
225 0.0077668 11.297 0.39459 1.9766
230 0.0075188 11.758 0.39582 1.9844
235 0.007248 12.297 0.39704 2.0156
240 0.0068055 13.172 0.39826 1.9844
245 0.0064469 13.922 0.39948 1.9531
250 0.0060425 14.477 0.40058 1.8828
255 0.0056916 15.266 0.40161 1.875
260 0.0054055 16.445 0.40253 1.8359
265 0.0052529 18 0.4032 1.8281
270 0.0051461 19.703 0.40381 1.8281
275 0.0049515 21.82 0.40436 1.8281
280 0.0047188 23.781 0.40509 1.8047
285 0.0043946 25.742 0.4057 1.7813
290 0.0041199 27.227 0.40637 1.7344
295 0.0037918 28.797 0.40705 1.7266
300 0.0035362 29.875 0.40741 1.6953
305.001 0.0034218 29.727 0.40753 1.6953
310 0.0035095 28.774 0.40741 1.6563
315 0.0036431 27.328 0.40686 1.6406
320 0.0037346 26.805 0.40631 1.625
325 0.0037499 26.828 0.40576 1.6016
330 0.0037079 26.914 0.40527 1.5703
335 0.0036011 27.719 0.40491 1.5469
340.001 0.003521 27.656 0.40454 1.5078
345 0.003418 27.977 0.40418 1.4922
350 0.0033112 27.5 0.40363 1.5
355 0.0032463 26.75 0.40296 1.4922
360 0.0032425 25.61 0.40198 1.5
365 0.0033264 23.789 0.40064 1.5469
370 0.0033569 22.711 0.39917 1.5078
375.001 0.0033608 22.399 0.39777 1.4922
380 0.0032501 22.727 0.39661 1.4766
385 0.0031624 22.82 0.39545 1.4453
390 0.0030136 22.985 0.39447 1.4375
395 0.0028763 23.297 0.39344 1.4141
400 0.0027352 24.078 0.39234 1.4141
405 0.0025864 25.156 0.39118 1.3984
410.001 0.002491 25.852 0.38989 1.4063
415 0.0023689 27.93 0.38849 1.3906
420 0.0022545 29.914 0.38709 1.3906
425 0.0021515 31.313 0.38581 1.3672
430 0.0020447 32.883 0.38465 1.3594
435 0.0019379 34.43 0.38355 1.3438
440 0.0018273 34.946 0.38251 1.3438
445.001 0.0017166 35.344 0.38153 1.3438
450 0.0016403 34.032 0.38074 1.3594
455 0.0016899 31.852 0.37988 1.3828
460 0.00177 29.336 0.37909 1.3984
465 0.0017738 29.125 0.3783 1.3906
470 0.0018005 29.813 0.37744 1.3906
475 0.0018273 29.758 0.37659 1.3672
480.001 0.0017586 31.133 0.37567 1.3672
485 0.0016937 32.633 0.37482 1.3359
490 0.0017929 31.703 0.3739 1.3281
495 0.0018845 30.391 0.37311 1.3281
500 0.002018 28.711 0.37232 1.3359
505 0.0021782 26.633 0.37158 1.3594
510 0.0022125 25.164 0.37097 1.3516
515 0.0023232 22.93 0.37036 1.3594
520 0.0024452 21.422 0.36975 1.3672
525 0.0026245 19.852 0.36908 1.3672
530 0.0027428 19.078 0.36847 1.3516
535 0.0028763 19.32 0.36786 1.3438
540 0.0030632 19.336 0.36701 1.3438
545 0.0032654 18.399 0.36676 1.3438
550 0.0035706 18.461 0.36579 1.3594
555 0.0036888 19.125 0.36518 1.3516
560 0.0038147 19.117 0.36457 1.375
565 0.003933 19.055 0.36414 1.375
570 0.0040512 18.758 0.36371 1.3828
575 0.0041733 18.524 0.36334 1.3906
580 0.0043488 17.836 0.36298 1.3906
585 0.0045662 17.297 0.36243 1.4063
590 0.0044365 20.195 0.36389 1.4219
595 0.0048828 19.188 0.36304 1.4453
600 0.0053673 17.367 0.36219 1.4453
605 0.0056076 17.258 0.36206 1.4375
610 0.0057679 17.414 0.36194 1.4531
615 0.006073 17.641 0.36163 1.4609
620 0.0063439 17.977 0.36145 1.4688
625 0.0065651 18.352 0.36115 1.4766
630 0.0068245 18.695 0.3609 1.5078
635 0.0070496 18.93 0.36078 1.5234
640 0.0072823 18.985 0.36072 1.5078
645 0.0074654 19.07 0.36072 1.5234
650 0.0077591 18.828 0.36054 1.5313
655 0.0079842 18.563 0.36054 1.5313
660.001 0.0081673 18.297 0.36054 1.5391
665 0.0083543 18.25 0.36048 1.5313
670 0.0085755 18.07 0.36041 1.5547
675 0.0088006 17.695 0.36048 1.5469
680 0.0090485 17.664 0.36041 1.5469
685 0.0092545 17.649 0.36041 1.5625
690 0.0094414 17.656 0.36048 1.5625
695.001 0.0097123 17.82 0.36041 1.5703
700 0.0098496 17.656 0.3606 1.5703
705 0.010021 17.914 0.3606 1.5859
710 0.010208 17.977 0.36072 1.5938
715 0.010376 17.914 0.36084 1.6172
720 0.010536 17.836 0.36096 1.625
725 0.010712 17.633 0.36115 1.6328
730.001 0.010891 17.352 0.36133 1.6406
735 0.011051 17.141 0.36151 1.6484
740 0.011215 16.789 0.36163 1.6563
745 0.011337 16.469 0.36188 1.6484
750 0.011448 16.289 0.362 1.6719
755 0.011597 16.18 0.36219 1.6797
760 0.011669 16.172 0.36231 1.6719
765.001 0.011845 16.141 0.36255 1.6641
770 0.011894 16.164 0.36273 1.6797
775 0.012028 16.156 0.36292 1.6875
780 0.012093 16.281 0.3631 1.6797
785 0.012219 16 0.36334 1.6875
790 0.01228 15.875 0.36359 1.6875
795 0.012421 15.602 0.36383 1.7031
800.001 0.012432 15.461 0.36414 1.7031
805 0.012558 15.117 0.36438 1.7031
810 0.012627 14.789 0.36469 1.7344
815 0.01273 14.5 0.36499 1.7266
820 0.012779 14.297 0.36524 1.7266
825 0.012859 14.055 0.36554 1.75
830 0.012867 13.969 0.36585 1.7422
835.001 0.012924 13.813 0.36615 1.7422
840 0.012985 13.711 0.3664 1.75
845 0.013073 13.883 0.36664 1.7578
850 0.013031 13.859 0.36701 1.75
855 0.01313 13.727 0.36731 1.7422
860 0.01318 13.516 0.36762 1.7422
865 0.01326 13.328 0.36792 1.75
870 0.013363 12.984 0.36823 1.7422
875 0.013374 12.867 0.36853 1.7578
880 0.013512 12.508 0.36884 1.75
885 0.01355 12.203 0.36914 1.7656
890 0.013615 11.883 0.36951 1.7578
895 0.013622 11.477 0.36988 1.75
900 0.013752 11.297 0.37012 1.7578
905 0.013802 11.078 0.37049 1.7734
910 0.013878 10.82 0.37085 1.7734
915 0.013943 10.703 0.3711 1.7969
920 0.013916 10.68 0.37146 1.7813
925 0.013981 10.516 0.37177 1.7891
930 0.013977 10.445 0.37213 1.7969
935 0.013996 10.336 0.37244 1.8047
940 0.014061 10.195 0.37281 1.7969
945 0.01408 10.102 0.37311 1.7813
950 0.014126 9.8516 0.37342 1.7813
955 0.014164 9.7735 0.37378 1.7734
960 0.014248 9.4766 0.37409 1.7891
965 0.014301 9.2266 0.37445 1.7813
970 0.014313 9.0079 0.37482 1.7813
975 0.014339 8.7423 0.37506 1.7734
980.001 0.014378 8.4376 0.37543 1.7578
985 0.014443 8.086 0.37573 1.75
990 0.014416 7.961 0.3761 1.75
995 0.014469 7.75 0.37647 1.75
1000 0.0145 7.5703 0.37677 1.7656
1005 0.014557 7.4141 0.37714 1.7578
1010 0.014633 7.2344 0.3775 1.75
1015.001 0.014691 7.1328 0.37781 1.7578
1020 0.014732 7.0235 0.37818 1.7813
1025 0.014778 6.9141 0.37848 1.7656
1030 0.014835 6.7188 0.37879 1.7813
1035 0.014813 6.7422 0.37915 1.7891
1040 0.014839 6.6328 0.37946 1.7734
1045 0.014851 6.6172 0.37976 1.7734
1050.002 0.014835 6.5157 0.38007 1.7813
1055 0.014851 6.4844 0.38037 1.7813
1060 0.01487 6.3516 0.38068 1.7969
1065 0.014919 6.2266 0.38098 1.7813
1070 0.014954 5.9922 0.38123 1.7813
1075 0.014965 5.9375 0.38159 1.7734
1080 0.015007 5.7657 0.3819 1.7813
1085.001 0.015076 5.5625 0.3822 1.7734
1090 0.015099 5.3828 0.38257 1.7578
1095 0.015167 5.1172 0.38288 1.75
1100 0.015225 4.4532 0.3833 1.7578
1105 0.014969 4.4532 0.38367 1.7656
1110 0.014931 4.3438 0.38404 1.7578
1115 0.014889 4.3125 0.38434 1.7578
1120.001 0.014862 4.1016 0.38471 1.7578
1125 0.014797 3.9297 0.38501 1.7422
1130 0.014763 3.7422 0.38532 1.7344
1135 0.014614 4.4688 0.3855 1.7344
1140 0.014626 4.2891 0.38581 1.7344
1145 0.014656 4.0547 0.38617 1.7422
1150 0.014713 3.75 0.38654 1.7422
1155.001 0.014721 3.6719 0.38684 1.7266
1160 0.014763 3.7031 0.38715 1.7344
1165 0.014759 3.6953 0.38751 1.75
1170 0.014748 3.6719 0.38782 1.7578
1175 0.014713 3.7422 0.388 1.7578
1180 0.014683 3.8125 0.38831 1.7422
1185 0.014687 3.8438 0.38861 1.7422
1190 0.014725 3.875 0.38886 1.7422
1195 0.014744 3.9297 0.38916 1.7578
1200 0.014713 4.0547 0.38947 1.75
1205 0.014767 4.0625 0.38971 1.7422
1210 0.014801 3.9766 0.39002 1.7578
1215 0.014748 3.8516 0.39044 1.7813
1220 0.014687 3.4375 0.39081 1.7578
1225 0.014645 3.4688 0.39105 1.7813
1230 0.014545 3.3359 0.39142 1.7656
1235 0.014507 3.2266 0.39166 1.7578
1240 0.014465 2.9375 0.39197 1.7422
1245 0.01437 3.0234 0.39215 1.7266
1250 0.014347 2.9609 0.39246 1.7344
1255 0.014362 2.8125 0.39276 1.7188
1260 0.014301 2.7734 0.39295 1.7188
