I1(135deg) X DEG X DEG
1.9 -0.00014687 95.586 0.8617 1.6484
1.8 -0.00022507 98.235 0.86176 1.6406
1.7 -1.5259E-5 90.618 0.862 1.6406
1.6 9.1553E-5 86.563 0.86188 1.6484
1.5 -0.00014496 95.297 0.8617 1.6484
1.4 -0.00025749 100.02 0.8617 1.6484
1.3 -0.00029946 100.64 0.86225 1.6328
1.2 -8.7738E-5 93.219 0.86225 1.6406
1.1 -0.00012589 94.774 0.86261 1.6406
1 -0.00021172 98.102 0.86255 1.6484
0.9 -0.00013542 95.165 0.86316 1.6406
0.8 -2.4796E-5 90.907 0.86371 1.625
0.7 -2.2888E-5 90.68 0.86328 1.6484
0.6 -1.7166E-5 90.118 0.86353 1.6328
0.5 -6.6758E-5 92.844 0.86298 1.6484
0.4 -2.861E-5 91.141 0.86335 1.6406
0.3 0.00015068 83.852 0.8628 1.6484
0.2 -0.00011063 94.071 0.86298 1.6484
0.1 4.1962E-5 88.383 0.86322 1.6484
1.110223E-16 -0.00010681 94.047 0.86328 1.6484
-0.1 -7.6294E-5 92.672 0.8631 1.6484
-0.2 6.6758E-5 87.001 0.86298 1.6484
-0.3 7.8202E-5 86.805 0.86359 1.6406
-0.4 -0.00011826 94.704 0.86457 1.6172
-0.5 -0.00015259 96.032 0.86402 1.6328
-0.6 -0.0018101 141.47 0.86402 1.625
-0.7 -0.0027981 152.45 0.86225 1.6484
-0.8 -0.0029736 152.81 0.86267 1.6328
-0.9 -0.0026989 151.44 0.86304 1.625
-1 -0.0024204 149.63 0.86243 1.6484
-1.1 0.0001564 83.969 0.86359 1.625
-1.2 0.00011063 85.954 0.86438 1.625
-1.3 0.00018883 82.805 0.86469 1.625
-1.4 5.3406E-5 87.922 0.86457 1.6328
-1.5 0.00018692 83.555 0.86475 1.625
-1.6 0.00029373 78.993 0.86512 1.625
-1.7 0.00038338 75.719 0.86432 1.6484
-1.8 0.00031853 78.04 0.86371 1.6641
-1.9 0.00033379 77.797 0.8639 1.6641
-2 0.0003357 77.196 0.86414 1.6563
