I1(135deg) X DEG X DEG
1.9 0.00092888 70.126 0.81189 1.6484
1.8 0.00097275 69.165 0.81256 1.625
1.7 0.0010948 66.079 0.81293 1.625
1.6 0.0010719 66.579 0.81281 1.625
1.5 0.0011234 65.313 0.81263 1.625
1.4 0.0013485 59.93 0.8133 1.6094
1.3 0.0011597 64.501 0.81275 1.625
1.2 0.0016117 55.821 0.81305 1.6172
1.1 0.0013619 60.25 0.81385 1.6016
1 0.00073433 74.157 0.81287 1.625
0.9 0.00081444 72.329 0.8122 1.6328
0.8 0.0010395 67.961 0.81226 1.6328
0.7 0.00074387 73.469 0.81214 1.6328
0.6 0.0010491 67.579 0.81226 1.6328
0.5 0.00094605 70.282 0.81202 1.6406
0.4 0.0011807 63.977 0.81238 1.6328
0.3 0.0008812 70.79 0.81189 1.6406
0.2 0.0011025 66.477 0.81165 1.6484
0.1 0.0010204 68.11 0.81147 1.6563
1.110223E-16 0.00074768 74.165 0.81141 1.6484
-0.1 0.00083161 72.61 0.81159 1.6484
-0.2 0.0010033 69.086 0.81147 1.6484
-0.3 0.0005951 77.344 0.81159 1.6484
-0.4 0.00094033 70.024 0.81189 1.6484
-0.5 0.00028992 84.047 0.81226 1.6484
-0.6 -0.001936 128.87 0.81244 1.6484
-0.7 -0.0050946 153.84 0.81256 1.6484
-0.8 -0.0047627 152.88 0.81299 1.6484
-0.9 -0.0047245 152.8 0.81214 1.6641
-1 -0.0045853 151.3 0.81208 1.6641
-1.1 0.0008564 71.086 0.81177 1.6641
-1.2 0.00094033 70.774 0.81202 1.6484
-1.3 0.00079346 72.829 0.81189 1.6563
-1.4 0.0013085 62.797 0.81147 1.6641
-1.5 0.0010815 67.477 0.81202 1.6484
-1.6 0.0013085 62.703 0.81134 1.6641
-1.7 0.0012303 64.555 0.81159 1.6563
-1.8 0.0007248 74.836 0.81122 1.6641
-1.9 0.0011425 66.711 0.81116 1.6563
-2 0.0010605 66.719 0.81116 1.6563
