I1(135deg) X DEG X DEG
-2 0.00051308 78.883 0.85694 1.7344
-1.9 0.00071526 74.157 0.85694 1.7266
-1.8 0.00087738 69.719 0.85675 1.7344
-1.7 0.0012055 62.172 0.85706 1.7266
-1.6 0.00088311 70.149 0.85706 1.7266
-1.5 0.0013256 61.367 0.85669 1.7266
-1.4 0.00083542 70.383 0.85675 1.7266
-1.3 0.00093651 68.336 0.85688 1.7266
-1.2 0.00088883 70.329 0.85688 1.7266
-1.1 0.00074959 72.454 0.85651 1.7266
-1 0.00071717 73.149 0.85651 1.7266
-0.9 0.0010281 67.618 0.85675 1.7266
-0.8 0.00094605 68.93 0.85639 1.7266
-0.7 0.0008564 70.352 0.85651 1.7266
-0.6 0.00089074 70.102 0.85633 1.7266
-0.5 0.00087166 70.422 0.85614 1.7266
-0.4 0.0013714 59.68 0.85645 1.7266
-0.3 0.00098229 68.141 0.85651 1.7266
-0.2 0.0014649 59.235 0.85645 1.7266
-0.1 0.0015564 57.828 0.85639 1.7266
1.110223E-16 0.0014134 59.391 0.85645 1.7188
0.1 0.0011177 66.649 0.85639 1.7188
0.2 0.0012894 62.446 0.85639 1.7188
0.3 0.00087166 70.376 0.85608 1.7266
0.4 0.00093461 69.532 0.85614 1.7266
0.5 0.0013371 61 0.85639 1.7266
0.6 0.00014877 86.735 0.85645 1.7188
0.7 -0.00453 152.95 0.857 1.7188
0.8 -0.0049038 154.09 0.85712 1.7188
0.9 -0.0044499 152.61 0.85718 1.7109
1 -0.0045758 152.59 0.85712 1.7266
1.1 -0.0041962 150.97 0.85724 1.7188
1.2 0.00065422 75.196 0.85681 1.7188
1.3 0.0011368 65.344 0.85602 1.7266
1.4 0.0010948 65.305 0.85608 1.7188
1.5 0.00082589 71.672 0.85633 1.7031
1.6 0.00086785 70.243 0.85633 1.7109
1.7 0.00065041 74.415 0.85633 1.7109
1.8 0.0010986 65.086 0.85633 1.7109
1.9 0.00092125 69.954 0.85633 1.7031
