I1(135deg) X DEG X DEG
-2 0.00040436 80.547 0.81092 1.6328
-1.9 0.0013409 60.641 0.81128 1.625
-1.8 0.0011273 65.883 0.81214 1.6016
-1.7 0.0014267 59.617 0.81214 1.6016
-1.6 0.00094986 69.61 0.81195 1.6172
-1.5 0.00076294 74.141 0.81171 1.6172
-1.4 0.00057984 77.704 0.81183 1.625
-1.3 0.0011406 64.993 0.81214 1.6172
-1.2 0.001112 66.196 0.81214 1.625
-1.1 0.0007515 74.258 0.81189 1.625
-1 0.0013676 61.602 0.81189 1.625
-0.9 0.0014687 58.938 0.81244 1.6172
-0.8 0.00136 61.719 0.81311 1.6016
-0.7 0.0015984 55.985 0.81299 1.6094
-0.6 0.0015259 57.867 0.81311 1.6094
-0.5 0.0013428 61.422 0.81324 1.6016
-0.4 0.0014458 60.344 0.81342 1.6016
-0.3 0.0014019 60.625 0.81299 1.6016
-0.2 0.0016422 56.008 0.81342 1.5859
-0.1 0.0017414 54.375 0.81336 1.5859
1.110223E-16 0.0016823 55.578 0.81287 1.6016
0.1 0.0020066 48.719 0.81324 1.5781
0.2 0.001751 53.852 0.81379 1.5781
0.3 0.0020714 49.094 0.81385 1.5859
0.4 0.0017757 53.547 0.81373 1.5938
0.5 0.001154 65.258 0.81342 1.6016
0.6 0.00061608 76.501 0.81275 1.6172
0.7 -0.0038529 148.71 0.81299 1.625
0.8 -0.0039902 150.5 0.81385 1.6016
0.9 -0.0041332 150.75 0.81373 1.6094
1 -0.0047074 152.88 0.81379 1.6094
1.1 -0.0044098 152.08 0.81336 1.625
1.2 0.0008297 71.055 0.8133 1.625
1.3 0.0013218 62.492 0.81232 1.6406
1.4 0.0013561 61.555 0.81269 1.625
1.5 0.0012531 62.985 0.81305 1.625
1.6 0.0014401 60.492 0.8125 1.6328
1.7 0.0015831 57.555 0.81214 1.6484
1.8 0.0011387 65.626 0.81238 1.6328
1.9 0.0016842 54.946 0.81281 1.6172
