I1(135deg) X DEG X DEG
1.9 0.0021172 46.867 0.8498 1.9453
1.8 0.0021668 46.242 0.85004 1.9453
1.7 0.002039 48.071 0.8501 1.9531
1.6 0.0020752 47.938 0.84961 1.9766
1.5 0.0021458 47.344 0.84955 1.9766
1.4 0.0023155 44.117 0.85035 1.9453
1.3 0.0022736 44.485 0.85047 1.9531
1.2 0.0023785 43.282 0.85022 1.9609
1.1 0.0024471 42.282 0.85035 1.9531
1 0.0024529 42.563 0.84998 1.9609
0.9 0.0024605 42.36 0.84992 1.9688
0.8 0.0025311 41.266 0.85004 1.9609
0.7 0.0025673 41.086 0.84986 1.9688
0.6 0.0026512 39.867 0.84998 1.9609
0.5 0.0025597 40.828 0.84998 1.9609
0.4 0.0023499 44.461 0.84925 1.9922
0.3 0.0024891 42.407 0.84961 1.9844
0.2 0.0025845 41.407 0.84955 1.9844
0.1 0.0026875 39.461 0.84998 1.9609
1.110223E-16 0.0026722 39.891 0.84998 1.9688
-0.1 0.0026054 40.414 0.84992 1.9688
-0.2 0.0026665 39.844 0.84998 1.9766
-0.3 0.0025501 41.008 0.85016 1.9688
-0.4 0.0024471 41.977 0.85022 1.9766
-0.5 0.0021858 45.36 0.85022 1.9766
-0.6 -0.00029373 98.969 0.85035 1.9609
-0.7 -0.0038433 151.58 0.8501 1.9766
-0.8 -0.0041085 153.56 0.85047 1.9609
-0.9 -0.0041848 153.54 0.85022 1.9766
-1 -0.0036144 150.39 0.85035 1.9609
-1.1 0.0011997 60.61 0.85028 1.9766
-1.2 0.002554 40.032 0.8509 1.9609
-1.3 0.0025158 40.914 0.85035 1.9766
-1.4 0.0025768 40.422 0.85041 1.9766
-1.5 0.0025406 40.672 0.85035 1.9688
-1.6 0.0025578 40.992 0.8501 1.9922
-1.7 0.0025463 41.602 0.8498 2.0078
-1.8 0.0026131 40.446 0.85016 2
-1.9 0.0025864 40.547 0.85016 1.9844
-2 0.0028134 38.297 0.85004 2
