I1(135deg) X DEG X DEG
-2 -3.4332E-5 90.688 0.84406 2.0078
-1.9 1.3352E-5 89.696 0.84467 1.9922
-1.8 -9.5368E-6 90.18 0.84528 1.9688
-1.7 4.0055E-5 89.055 0.84577 1.9688
-1.6 0.00020981 85.141 0.84601 1.9609
-1.5 0.00034905 81.766 0.84662 1.9453
-1.4 0.00018311 85.797 0.8462 1.9609
-1.3 2.2888E-5 89.469 0.84601 1.9766
-1.2 0.00014496 86.555 0.84662 1.9531
-1.1 0.00025559 84.141 0.84638 1.9766
-1 0.00013161 86.985 0.84626 1.9766
-0.9 0.0003624 81.602 0.84675 1.9609
-0.8 0.00053406 77.493 0.84699 1.9531
-0.7 0.00047493 79.243 0.84668 1.9766
-0.6 0.00057602 76.571 0.84754 1.9453
-0.5 0.00045967 79.196 0.8476 1.9531
-0.4 0.00059319 76.032 0.84803 1.9375
-0.3 0.00060082 76.172 0.84778 1.9531
-0.2 0.00072861 73.274 0.84772 1.9531
-0.1 0.00074006 72.813 0.84784 1.9453
1.110223E-16 0.00071145 73.79 0.84754 1.9609
0.1 0.00067902 74.29 0.8476 1.9609
0.2 0.0010166 66.571 0.84833 1.9375
0.3 0.0007515 72.602 0.84748 1.9609
0.4 0.0010471 66.063 0.84809 1.9375
0.5 0.00078774 71.704 0.84796 1.9609
0.6 0.00033188 82.313 0.8476 1.9688
0.7 -0.0041352 150.31 0.84754 1.9844
0.8 -0.0054322 157.24 0.84821 1.9609
0.9 -0.0056477 158.17 0.84833 1.9609
1 -0.0056153 158.24 0.84839 1.9453
1.1 -0.0053463 157.09 0.84845 1.9531
1.2 -0.0019341 129.13 0.84852 1.9609
1.3 0.00091362 69.149 0.84803 1.9844
1.4 0.0013332 60.453 0.84839 1.9688
1.5 0.0012722 61.977 0.84845 1.9844
1.6 0.0012455 62.414 0.84845 1.9844
1.7 0.0012798 61.742 0.84852 1.9766
1.8 0.0012894 61.516 0.84864 1.9688
1.9 0.0013332 60.555 0.84839 1.9688
