I1(135deg) X DEG X DEG
1.9 0.0011687 51.078 0.79786 1.4531
1.8 0.0010748 52.696 0.7981 1.4531
1.7 0.00098563 54.969 0.79786 1.4531
1.6 0.00079775 60.844 0.79779 1.4609
1.5 0.00071145 64.618 0.79639 1.5
1.4 0.00092221 57.305 0.79712 1.4922
1.3 0.00085545 60.274 0.79779 1.4766
1.2 0.0009904 55.149 0.79859 1.4688
1.1 0.0009265 58.25 0.79859 1.4688
1 0.00096608 56.047 0.7992 1.4609
0.9 0.00088978 59.078 0.79975 1.4609
0.8 0.0008874 58.93 0.79944 1.4688
0.7 0.0010119 55.336 0.79993 1.4609
0.6 0.00084162 61.133 0.79963 1.4688
0.5 0.00088692 59.93 0.7992 1.4688
0.4 0.0008812 59.563 0.79975 1.4688
0.3 0.00095797 57.25 0.79956 1.4766
0.2 0.00098182 56.75 0.79999 1.4688
0.1 0.00095559 57.555 0.80005 1.4688
1.110223E-16 0.00094986 58.899 0.79956 1.4766
-0.1 0.0009389 59.539 0.79963 1.4844
-0.2 0.00098658 57.516 0.79956 1.4688
-0.3 0.0011425 53.633 0.80024 1.4688
-0.4 0.0010319 56.828 0.79999 1.4766
-0.5 0.00097991 57.742 0.80066 1.4688
-0.6 -0.0016346 136.31 0.8003 1.4922
-0.7 -0.0053163 164.51 0.79883 1.5156
-0.8 -0.0057178 165.35 0.79993 1.4922
-0.9 -0.0055938 165.13 0.7995 1.5
-1 -0.0048714 163.05 0.80024 1.4844
-1.1 0.00053311 70.836 0.80017 1.4922
-1.2 0.0019012 39.821 0.80121 1.4688
-1.3 0.0018888 40.594 0.80066 1.4844
-1.4 0.0020332 38.039 0.80176 1.4609
-1.5 0.0019174 40.36 0.8006 1.4844
-1.6 0.0019636 39.977 0.80158 1.4688
-1.7 0.0019722 40.828 0.80182 1.4688
-1.8 0.0021076 38.477 0.80121 1.4766
-1.9 0.0021296 38.86 0.8017 1.4688
-2 0.0021134 39.852 0.80176 1.4844
