I1(135deg) X DEG X DEG
-2 0.00037813 70.102 0.78913 1.5547
-1.9 0.00019264 80.368 0.78858 1.5703
-1.8 9.9659E-5 85.047 0.78986 1.5625
-1.7 3.767E-5 88.024 0.78949 1.5625
-1.6 4.1008E-5 87.899 0.78937 1.5703
-1.5 7.7248E-5 85.977 0.7898 1.5547
-1.4 0.00018597 80.516 0.78919 1.5703
-1.3 -2.2412E-5 90.915 0.78894 1.5781
-1.2 7.8679E-5 85.961 0.78943 1.5703
-1.1 3.0041E-5 88.54 0.78925 1.5703
-1 -7.391E-5 93.493 0.78852 1.5938
-0.9 0.00014114 82.876 0.78992 1.5625
-0.8 0.00029564 75.321 0.78931 1.5703
-0.7 0.0001235 84.11 0.78864 1.6016
-0.6 0.00025082 78.141 0.78949 1.5781
-0.5 0.00036669 73.04 0.79016 1.5703
-0.4 0.00026751 77.336 0.78962 1.5703
-0.3 0.00027037 77.102 0.78968 1.5703
-0.2 0.00037337 72.243 0.79047 1.5547
-0.1 0.00047064 68.172 0.79114 1.5469
1.110223E-16 0.0005045 66.219 0.79163 1.5313
0.1 0.00056792 64.149 0.79157 1.5313
0.2 0.00056363 64.672 0.79175 1.5234
0.3 0.0004139 71.571 0.7909 1.5469
0.4 0.00051117 67.438 0.79206 1.5234
0.5 0.0006423 61.617 0.79224 1.5234
0.6 0.0002842 76.891 0.79224 1.5234
0.7 -0.0040803 164.61 0.79206 1.5391
0.8 -0.0061207 169.98 0.79224 1.5234
0.9 -0.0061579 170.3 0.79242 1.5234
1 -0.0061932 170.53 0.79236 1.5234
1.1 -0.0059166 170.02 0.79322 1.5078
1.2 -0.0031996 160.18 0.79261 1.5234
1.3 0.00065947 62.282 0.79157 1.5469
1.4 0.00059414 65.524 0.79255 1.5234
1.5 0.00076247 59.11 0.79279 1.5234
1.6 0.00074959 60.055 0.79322 1.5234
1.7 0.00087643 54.524 0.7931 1.5234
1.8 0.00074625 59.758 0.79371 1.5
1.9 0.00090838 54.157 0.79371 1.5
