I1(135deg) X DEG X DEG
-2 -7.8202E-5 92.235 0.94715 1.5
-1.9 -8.2017E-5 92.54 0.94715 1.4922
-1.8 -3.0518E-5 90.829 0.94721 1.4922
-1.7 -6.6758E-5 91.829 0.94715 1.4922
-1.6 1.3352E-5 89.516 0.94709 1.4922
-1.5 -8.0109E-5 92.836 0.94702 1.4922
-1.4 -1.1444E-5 90.149 0.94702 1.4922
-1.3 -3.624E-5 90.993 0.94696 1.4922
-1.2 -0.00025368 97.743 0.94696 1.4922
-1.1 -0.00034332 100.17 0.94709 1.4922
-1 -0.00031471 99.782 0.94696 1.4922
-0.9 -0.00030709 99.774 0.94702 1.4922
-0.8 -0.00026894 98.555 0.94702 1.4922
-0.7 -0.00018883 95.751 0.94684 1.4922
-0.6 -0.00026703 98.563 0.94696 1.4844
-0.5 -0.00015068 94.766 0.94709 1.4922
-0.4 -5.5313E-5 91.899 0.94709 1.4844
-0.3 -1.7166E-5 90.469 0.9469 1.4844
-0.2 -0.0002327 97.407 0.94709 1.4766
-0.1 -0.00023842 97.391 0.94715 1.4844
1.110223E-16 -0.00082398 114.89 0.94715 1.4766
0.1 -0.0033055 152.84 0.94715 1.4688
0.2 -0.0041371 157.08 0.94721 1.4766
0.3 -0.004406 158.5 0.94727 1.4688
0.4 -0.004633 159.46 0.94733 1.4766
0.5 -0.0044003 158.59 0.94745 1.4688
0.6 -0.00051117 105.39 0.94745 1.4688
0.7 -0.00046158 103.91 0.94751 1.4688
0.8 -0.00014687 94.352 0.94751 1.4688
0.9 -0.00015831 94.977 0.94739 1.4688
1 -0.00025368 97.704 0.94751 1.4688
1.1 -0.0003643 101.19 0.94757 1.4688
1.2 -0.00044251 103.35 0.9477 1.4688
1.3 -0.00036812 101.39 0.94776 1.4609
1.4 -0.0003891 101.98 0.94782 1.4688
1.5 -0.00029755 99.313 0.94782 1.4688
1.6 -0.00024796 97.743 0.94776 1.4688
1.7 -0.00014305 94.29 0.94764 1.4609
1.8 -0.00039292 102.09 0.9477 1.4609
1.9 -0.00035858 101.13 0.94764 1.4609
