I1(135deg) X DEG X DEG
1.9 -0.00068856 105 0.97071 1.5703
1.8 -0.00081444 107.48 0.97071 1.5781
1.7 -0.00060845 102.88 0.97095 1.5781
1.6 -0.00071907 105.5 0.97095 1.5781
1.5 -0.00078583 106.86 0.97095 1.5859
1.4 -0.00078202 106.58 0.97077 1.5938
1.3 -0.00060654 103.14 0.97083 1.5938
1.2 -0.00059891 102.95 0.97095 1.5938
1.1 -0.00049973 101.06 0.97083 1.5859
1 -0.00039673 98.54 0.97089 1.5703
0.9 -0.00059128 102.95 0.97071 1.5703
0.8 -0.00059891 102.92 0.97083 1.5703
0.7 -0.00055504 102.14 0.97083 1.5781
0.6 -0.00053788 101.76 0.97095 1.5703
0.5 -0.00058747 102.86 0.97083 1.5703
0.4 -0.0004921 100.79 0.97077 1.5703
0.3 -0.0004921 100.69 0.97071 1.5703
0.2 -0.00089455 109.14 0.97107 1.5625
0.1 -0.00077439 106.95 0.97095 1.5703
1.110223E-16 -0.001276 116.02 0.97089 1.5703
-0.1 -0.001667 123.02 0.97077 1.5703
-0.2 -0.0013313 117.3 0.97089 1.5703
-0.3 -0.0010738 112.75 0.97089 1.5625
-0.4 -0.00092507 109.63 0.97107 1.5625
-0.5 -0.00074006 106.09 0.97101 1.5703
-0.6 -0.00083542 108.02 0.97101 1.5625
-0.7 -0.00072289 105.35 0.97101 1.5625
-0.8 -0.00060845 103.34 0.97107 1.5625
-0.9 -0.00056839 102.21 0.97113 1.5625
-1 -0.00041008 98.907 0.97101 1.5625
-1.1 -0.00041008 98.766 0.97107 1.5625
-1.2 -0.0005951 102.81 0.9712 1.5625
-1.3 -0.00061226 103.32 0.9712 1.5625
-1.4 -0.00054741 101.83 0.9712 1.5547
-1.5 -0.00050545 100.83 0.9712 1.5625
-1.6 -0.00030899 96.688 0.97126 1.5547
-1.7 -0.00031471 96.758 0.97113 1.5547
-1.8 -0.00016594 93.321 0.97107 1.5625
-1.9 -0.00038338 98.313 0.97101 1.5703
-2 -0.00056267 102.34 0.97095 1.5703
