I1(135deg) X DEG X DEG
1.9 -0.00053406 103.26 0.96759 1.5234
1.8 -0.00036049 99.446 0.96766 1.5234
1.7 -0.00030899 98.118 0.96759 1.5234
1.6 -0.00020981 95.282 0.96766 1.5156
1.5 -0.00013352 93.344 0.96741 1.5234
1.4 -0.00021553 95.516 0.96729 1.5234
1.3 -0.00010109 92.782 0.96723 1.5234
1.2 -0.00011444 92.946 0.96723 1.5234
1.1 -0.00024605 96.251 0.96729 1.5234
1 -0.00021172 95.18 0.96735 1.5234
0.9 -0.00018501 94.797 0.96723 1.5234
0.8 -0.00035668 98.86 0.96735 1.5156
0.7 -0.00056458 104.09 0.96723 1.5234
0.6 -0.00053788 103.74 0.96729 1.5234
0.5 -0.0006218 105.9 0.96723 1.5234
0.4 -0.00058556 104.56 0.96723 1.5234
0.3 -0.0007 107.77 0.96711 1.5234
0.2 -0.00060654 105.05 0.96717 1.5234
0.1 -0.0010262 114.83 0.96705 1.5234
1.110223E-16 -0.00079537 109.8 0.96723 1.5234
-0.1 -0.00081253 110.21 0.96705 1.5234
-0.2 -0.00068093 106.85 0.96729 1.5234
-0.3 -0.00054169 103.5 0.96729 1.5234
-0.4 -0.00058175 104.66 0.96741 1.5234
-0.5 -0.00047684 102.47 0.96729 1.5234
-0.6 -0.00030518 97.68 0.96711 1.5234
-0.7 -0.00033188 98.501 0.96711 1.5234
-0.8 -0.00013352 93.188 0.96729 1.5234
-0.9 -0.00019836 95.008 0.96729 1.5234
-1 -0.00014687 93.657 0.96747 1.5234
-1.1 -0.0002861 97.071 0.96741 1.5234
-1.2 -0.000103 92.407 0.96741 1.5234
-1.3 -0.0001564 94.157 0.96741 1.5156
-1.4 2.6703E-5 88.844 0.96759 1.5156
-1.5 -0.00022125 95.43 0.96766 1.5156
-1.6 1.1444E-5 89.743 0.96753 1.5156
-1.7 -1.5259E-5 90.376 0.96741 1.5078
-1.8 0.00017738 85.329 0.96741 1.5156
-1.9 -8.0109E-5 92.102 0.96735 1.5156
-2 -0.00012779 93.102 0.96735 1.5078
