I1(135deg) X DEG X DEG
-2 0.0001564 86.001 0.96698 1.5234
-1.9 9.1553E-5 87.586 0.96698 1.5156
-1.8 0.00019074 84.993 0.96705 1.5234
-1.7 0.00025368 83.305 0.96711 1.5234
-1.6 5.5313E-5 88.352 0.96729 1.5078
-1.5 -9.1553E-5 92.313 0.96723 1.5156
-1.4 3.8147E-5 89.141 0.96723 1.5234
-1.3 7.4387E-5 88.008 0.96723 1.5234
-1.2 -8.0109E-5 92.211 0.96723 1.5156
-1.1 -0.00026512 96.938 0.96729 1.5156
-1 -0.00019074 94.876 0.96741 1.5156
-0.9 -0.00021553 95.657 0.96741 1.5156
-0.8 -0.00026894 96.735 0.96747 1.5156
-0.7 -0.00015068 93.813 0.96747 1.5234
-0.6 -5.5313E-5 91.508 0.96741 1.5234
-0.5 -0.0001812 94.563 0.96747 1.5234
-0.4 -0.00011063 92.696 0.96747 1.5156
-0.3 -0.00016022 94.204 0.96747 1.5234
-0.2 -0.00024033 96.032 0.96741 1.5234
-0.1 -0.0003624 99.258 0.96735 1.5234
1.110223E-16 -0.00037194 99.54 0.96735 1.5234
0.1 -0.00057602 104.54 0.96735 1.5234
0.2 -0.00068093 107.02 0.96741 1.5234
0.3 -0.00040245 100.38 0.96723 1.5234
0.4 -0.0005703 104.52 0.96735 1.5156
0.5 -0.00060082 105.17 0.96735 1.5234
0.6 -0.00030899 97.61 0.96735 1.5156
0.7 -0.00016022 94.079 0.96741 1.5156
0.8 -5.7221E-5 91.407 0.96711 1.5234
0.9 -3.0518E-5 90.852 0.96711 1.5234
1 -0.00024796 96.165 0.96723 1.5234
1.1 0 89.907 0.96729 1.5234
1.2 -0.0003109 97.633 0.96723 1.5234
1.3 -0.00016022 94.04 0.96747 1.5234
1.4 -0.00011635 93.141 0.96741 1.5234
1.5 -4.7684E-5 91.196 0.96735 1.5234
1.6 -0.00016594 94.172 0.96766 1.5234
1.7 -0.00016213 94.071 0.96747 1.5234
1.8 -8.0109E-5 92.102 0.96735 1.5234
1.9 -0.00028801 97.102 0.96747 1.5156
