I1(135deg) X DEG X DEG
1.9 -0.00096131 109.16 0.81543 1.5859
1.8 -0.0010357 110.43 0.81507 1.6016
1.7 -0.0011654 112.53 0.81568 1.5859
1.6 -0.00081444 107.23 0.81574 1.5859
1.5 -0.00096894 109.35 0.81531 1.5938
1.4 -0.00098992 109.96 0.81519 1.5938
1.3 -0.00091172 108.45 0.81495 1.5938
1.2 -0.00083542 106.34 0.81531 1.5703
1.1 -0.0011635 112.81 0.81543 1.5781
1 -0.00082016 106.87 0.81531 1.5938
0.9 -0.00080109 106.87 0.81495 1.6016
0.8 -0.0014629 117.4 0.81556 1.5859
0.7 -0.0010281 110.91 0.81537 1.5938
0.6 -0.00095749 109.9 0.81525 1.6016
0.5 -0.0013142 115.28 0.81586 1.5859
0.4 -0.0012474 114.02 0.81543 1.5938
0.3 -0.0010014 110.42 0.81519 1.6016
0.2 -0.0011463 112.92 0.81562 1.5938
0.1 -0.0015183 117.49 0.81598 1.5781
1.110223E-16 -0.0016384 119.97 0.81574 1.5859
-0.1 -0.00097848 110.23 0.81537 1.5938
-0.2 -0.0012779 114.4 0.8155 1.6016
-0.3 -0.001257 114.04 0.81598 1.5859
-0.4 -0.0011501 113.02 0.81488 1.6094
-0.5 -0.0011845 113.43 0.81519 1.6016
-0.6 -0.0046959 150.16 0.81556 1.5859
-0.7 -0.0074711 160.42 0.81556 1.5938
-0.8 -0.0074883 161.14 0.81592 1.5938
-0.9 -0.0071621 160.15 0.81543 1.6016
-1 -0.0067349 159.07 0.81501 1.6016
-1.1 -0.00083352 106.98 0.81531 1.6016
-1.2 -0.00086213 106.93 0.81556 1.6016
-1.3 -0.0011082 111.23 0.81537 1.6016
-1.4 -0.00059319 103.17 0.8147 1.6172
-1.5 -0.0007782 106.01 0.8144 1.625
-1.6 -0.00087738 107.17 0.81543 1.6016
-1.7 -0.00065613 103.34 0.81501 1.6016
-1.8 -0.00068283 104.27 0.81458 1.625
-1.9 -0.00068856 104.02 0.81482 1.6094
-2 -0.00074006 104.53 0.81482 1.6172
