I1(135deg) X DEG X DEG
-2 -4.0055E-5 91.032 0.81574 1.6016
-1.9 -0.000103 92.555 0.81617 1.5938
-1.8 -0.0003891 98.165 0.81568 1.6016
-1.7 -0.00057602 101.42 0.8158 1.5938
-1.6 -0.00037766 98.274 0.81659 1.5781
-1.5 -0.00035858 97.54 0.81696 1.5703
-1.4 -0.00064278 102.75 0.81659 1.5781
-1.3 -0.00058175 101.47 0.81647 1.5859
-1.2 -0.00027847 96.188 0.81611 1.5938
-1.1 -0.00021172 94.266 0.81592 1.5938
-1 0.00016976 86.157 0.81525 1.6016
-0.9 -0.00010109 92.665 0.81519 1.6016
-0.8 -0.00044251 99.149 0.81586 1.5938
-0.7 -0.00053978 100.8 0.81647 1.5703
-0.6 -0.00072861 104.45 0.81543 1.6016
-0.5 -0.00035286 98.079 0.81495 1.6016
-0.4 -0.00093842 108.29 0.81617 1.5703
-0.3 -0.000597 102.23 0.81617 1.5703
-0.2 -0.00076676 105.81 0.81617 1.5703
-0.1 -0.00090027 107.35 0.81671 1.5703
1.110223E-16 -0.0010357 110.01 0.81647 1.5703
0.1 -0.00078774 106.95 0.81543 1.5938
0.2 -0.00052643 101.73 0.81507 1.6016
0.3 -0.0007 104.05 0.81519 1.6016
0.4 -0.00089074 107.95 0.81525 1.5938
0.5 -0.00058175 102.84 0.81495 1.6016
0.6 -0.0015717 120.81 0.81525 1.5938
0.7 -0.0068856 159.1 0.81531 1.5938
0.8 -0.0070801 159.76 0.81531 1.5938
0.9 -0.0072098 160.74 0.81488 1.5938
1 -0.0072499 160.41 0.81543 1.5859
1.1 -0.0069504 159.88 0.81452 1.6016
1.2 -0.0010796 112.53 0.81458 1.6094
1.3 -0.00071335 104.89 0.81488 1.6016
1.4 -0.00081253 106.73 0.81495 1.6016
1.5 -0.00088311 108.11 0.81507 1.6016
1.6 -0.0004921 100.33 0.81488 1.6094
1.7 -0.00078011 106.02 0.81482 1.6016
1.8 -0.0006733 103.55 0.81519 1.6016
1.9 -0.00065613 103.96 0.81482 1.6016
