I1(135deg) X DEG X DEG
-2 -4.1962E-5 91.055 0.94812 1.6094
-1.9 -6.1036E-5 91.274 0.94788 1.625
-1.8 0 89.891 0.94794 1.625
-1.7 -5.5313E-5 90.883 0.94794 1.625
-1.6 -7.4387E-5 91.766 0.94776 1.625
-1.5 0.00013352 87.141 0.94782 1.625
-1.4 0.00018501 86.04 0.94745 1.625
-1.3 -3.624E-5 90.86 0.9477 1.625
-1.2 2.6703E-5 89.438 0.94757 1.625
-1.1 -1.1444E-5 89.993 0.94757 1.6328
-1 -5.9128E-5 91.204 0.94751 1.625
-0.9 0.00014114 87.219 0.94757 1.6328
-0.8 0.00010491 87.493 0.94757 1.625
-0.7 -0.00017166 93.094 0.94764 1.6328
-0.6 -7.6294E-5 91.61 0.9477 1.625
-0.5 3.4332E-5 89.501 0.94751 1.6328
-0.4 -0.00024605 94.876 0.94776 1.625
-0.3 -0.00019646 93.883 0.94788 1.625
-0.2 -4.7684E-5 91.016 0.94788 1.625
-0.1 -8.7738E-5 91.743 0.94782 1.625
1.110223E-16 -0.00010491 91.922 0.94782 1.625
0.1 -0.00010491 92.149 0.9477 1.625
0.2 -0.00020409 94.04 0.94776 1.6172
0.3 -0.00045967 99.149 0.94764 1.6172
0.4 -0.00064278 102.92 0.94782 1.6094
0.5 -0.00084114 106.48 0.9477 1.6172
0.6 -0.0019627 125.72 0.94757 1.6172
0.7 -0.0073777 160.09 0.94764 1.6094
0.8 -0.0074196 159.88 0.94757 1.6094
0.9 -0.0075531 160.16 0.9477 1.6016
1 -0.0073204 159.69 0.9477 1.6016
1.1 -0.0070248 158.94 0.94764 1.6016
1.2 -0.0010033 108.95 0.9477 1.6016
1.3 -0.0006733 103.4 0.9477 1.6016
1.4 -0.00086213 106.87 0.94788 1.6016
1.5 -0.00074006 104.2 0.94776 1.6016
1.6 -0.00088501 107.27 0.94782 1.6094
1.7 -0.00089837 107.8 0.94776 1.6016
1.8 -0.00086213 106.51 0.94764 1.6016
1.9 -0.0006733 103.11 0.94776 1.6016
