Time X DEG X DEG
0 0.01508 6.2813 0.39209 1.8047
4.9999999 0.014961 6.4688 0.39209 1.8047
9.9999998 0.014893 6.5391 0.39209 1.8047
15 0.014755 6.4375 0.39179 1.8281
20.001 0.014813 6.4844 0.39185 1.8203
25.001 0.014652 6.6641 0.39179 1.8281
30 0.01461 6.7188 0.39166 1.8281
35 0.014542 6.8516 0.39166 1.8203
40 0.01437 7 0.39166 1.8125
45 0.014389 6.9766 0.39154 1.8203
50 0.014176 7.1485 0.3916 1.8047
55.001 0.014126 7.2578 0.39148 1.8281
60.001 0.014011 7.3125 0.39148 1.8125
65.001 0.013836 7.3828 0.39136 1.8203
70 0.013737 7.5391 0.3913 1.8125
75 0.013714 7.5625 0.39118 1.8359
80 0.01355 7.6953 0.39099 1.8359
85 0.013554 7.6875 0.39081 1.8438
90.001 0.013409 7.8282 0.39057 1.8359
95.001 0.013393 7.8203 0.39038 1.8438
100.001 0.013359 7.8594 0.3902 1.8594
105 0.013371 7.8594 0.39002 1.8672
110 0.01318 7.9688 0.38983 1.8672
115 0.013069 8.1407 0.38971 1.8672
120 0.012959 8.1876 0.38947 1.8594
125.001 0.012745 8.336 0.38928 1.8672
130.001 0.012554 8.5391 0.3891 1.8516
135.001 0.012474 8.586 0.38898 1.8594
140 0.01236 8.7344 0.3888 1.8594
145 0.012184 8.8907 0.38861 1.8594
150 0.011986 9.1251 0.38843 1.8594
155 0.011898 9.2813 0.38825 1.8672
160.001 0.011662 9.5391 0.38812 1.8594
165.001 0.011459 9.8594 0.38794 1.8672
170.001 0.01136 9.961 0.3877 1.8594
175 0.011181 10.281 0.38751 1.875
180 0.011074 10.359 0.38721 1.875
185 0.010994 10.453 0.38697 1.875
190 0.010727 10.828 0.38678 1.875
195 0.010559 11.156 0.38642 1.8984
200.001 0.010422 11.359 0.38617 1.8906
205.001 0.010452 11.242 0.38587 1.8906
210 0.010265 11.649 0.38556 1.8828
215 0.010113 11.914 0.38532 1.8828
220 0.0099373 12.203 0.38507 1.8828
225 0.0097809 12.399 0.38477 1.875
230 0.0095978 12.695 0.38446 1.8828
235.001 0.0094987 12.75 0.3841 1.8828
240.001 0.0093346 13.016 0.38385 1.8828
245 0.0092507 13.234 0.38355 1.8906
250 0.0090562 13.625 0.3833 1.8828
255 0.0089913 13.82 0.38306 1.8828
260 0.0088387 14.063 0.38281 1.875
265 0.0087128 14.336 0.38251 1.8828
270.001 0.0085793 14.609 0.38227 1.8828
275.001 0.0085831 14.68 0.38196 1.8906
280 0.0083733 15.047 0.3819 1.875
285 0.0082665 15.313 0.38147 1.8828
290 0.008236 15.484 0.38123 1.8984
295 0.0081292 15.781 0.38098 1.8906
300 0.007969 16.07 0.38074 1.8984
305.001 0.0078431 16.375 0.3805 1.9063
310.001 0.0077858 16.703 0.38025 1.8906
315 0.007679 16.828 0.37982 1.9063
320 0.0075493 17.11 0.37958 1.9063
325 0.0074158 17.477 0.37915 1.8984
330 0.0073853 17.531 0.37885 1.8984
335 0.0070305 18.508 0.37854 1.8828
340.001 0.0071182 17.992 0.37805 1.8984
345.001 0.0069237 18.555 0.37775 1.8984
350 0.0069466 18.641 0.37738 1.8828
355 0.006752 19.055 0.37689 1.9063
360 0.006691 19.07 0.37671 1.875
365 0.0067063 19.156 0.37628 1.8984
370 0.0065842 19.445 0.37598 1.875
375.001 0.0064659 19.672 0.37561 1.875
380.001 0.0062828 20.266 0.37537 1.8672
385.001 0.0062714 20.336 0.375 1.8672
390 0.0062867 20.297 0.37457 1.9063
395 0.0061531 20.735 0.37439 1.8828
400 0.0061569 20.68 0.37415 1.8828
405 0.0060349 21.25 0.3739 1.8828
410.001 0.0059281 21.563 0.37354 1.8828
415.001 0.0057869 22.078 0.37342 1.8438
420.001 0.005867 21.719 0.37293 1.875
425 0.0057564 22.25 0.37274 1.8594
430 0.0056801 22.602 0.37244 1.8594
435 0.0055962 22.797 0.37213 1.8594
440 0.0054894 23.297 0.37189 1.8594
445.001 0.0054665 23.563 0.37164 1.8594
450.001 0.0055275 23.07 0.37122 1.8594
455.001 0.0054856 23.414 0.37091 1.875
460 0.0053864 23.727 0.37073 1.8516
465 0.0053902 23.774 0.37049 1.8438
470 0.0052262 24.524 0.37024 1.8359
475 0.0053177 23.945 0.36975 1.8594
480.001 0.0052262 24.313 0.36945 1.8438
485.001 0.0052376 24.094 0.36914 1.8203
490.001 0.0051995 24.195 0.3689 1.8125
495 0.0052185 23.891 0.36847 1.8359
500 0.0051384 24.25 0.36811 1.8359
505 0.0050087 24.899 0.36786 1.8281
510 0.0050125 24.766 0.3675 1.8359
