I1(135deg) X DEG X DEG
1.9 0.0019546 30.383 0.78766 1.6172
1.8 0.0020786 28.039 0.78736 1.625
1.7 0.002029 29.344 0.78785 1.625
1.6 0.0020046 28.695 0.78736 1.625
1.5 0.0020299 29.25 0.7876 1.625
1.4 0.0019665 29.922 0.78711 1.625
1.3 0.0020828 28.547 0.78809 1.6172
1.2 0.0019865 29.524 0.78766 1.625
1.1 0.0020638 27.766 0.78815 1.6016
1 0.0019169 30.649 0.78724 1.625
0.9 0.002039 28.133 0.78876 1.5938
0.8 0.0020194 28 0.78809 1.6016
0.7 0.0019965 29.399 0.78858 1.5938
0.6 0.0020685 27.656 0.78827 1.6016
0.5 0.0018811 30.992 0.7876 1.6094
0.4 0.0022287 24.758 0.78956 1.5703
0.3 0.0022335 24.477 0.79157 1.5313
0.2 0.0022979 23.813 0.79157 1.5234
0.1 0.0021382 26.586 0.79071 1.5469
1.110223E-16 0.0023122 23.789 0.7909 1.5469
-0.1 0.0023232 23.969 0.79157 1.5313
-0.2 0.0023561 22.664 0.79169 1.5313
-0.3 0.0022593 23.242 0.79181 1.5156
-0.4 0.0021439 25.289 0.79139 1.5234
-0.5 0.0019579 28.016 0.7909 1.5469
-0.6 -0.00053025 120.52 0.79071 1.5469
-0.7 -0.004313 168.26 0.7901 1.5469
-0.8 -0.0047851 169.67 0.79059 1.5469
-0.9 -0.0047469 169.4 0.79102 1.5391
-1 -0.0041199 167.95 0.79035 1.5469
-1.1 0.00099087 45.625 0.78962 1.5703
-1.2 0.0024085 23.195 0.79029 1.5547
-1.3 0.0024653 22.781 0.79047 1.5625
-1.4 0.0024572 22.57 0.79053 1.5547
-1.5 0.0024243 22.93 0.79029 1.5625
-1.6 0.0023265 24.094 0.78986 1.5703
-1.7 0.002307 23.852 0.78992 1.5625
-1.8 0.0023384 24.016 0.79016 1.5703
-1.9 0.0022578 24.203 0.78956 1.5859
-2 0.0023213 24.664 0.78962 1.5938
