I1(135deg) X DEG X DEG
-2 0.00019836 80.399 0.78656 1.7031
-1.9 0.00017548 81.696 0.78669 1.7031
-1.8 0.00011826 84.165 0.78553 1.7344
-1.7 0.00017357 81.524 0.78626 1.7109
-1.6 8.2017E-5 86.047 0.78589 1.7266
-1.5 0.00016165 82.251 0.78608 1.7109
-1.4 0.00027991 76.297 0.78528 1.7266
-1.3 0.00028229 76.071 0.78498 1.7266
-1.2 0.0003643 72.586 0.78602 1.7031
-1.1 0.00020027 80.508 0.78394 1.7656
-1 0.00028992 76.071 0.7862 1.7031
-0.9 0.0002842 76.219 0.78504 1.7344
-0.8 0.00026512 77.258 0.78565 1.7031
-0.7 0.00022698 79.274 0.78412 1.7578
-0.6 0.00024128 78.563 0.7854 1.7109
-0.5 0.00023031 79.102 0.78516 1.7188
-0.4 0.00025273 77.704 0.78516 1.7109
-0.3 0.00043535 69.719 0.78534 1.7266
-0.2 0.00040484 71.204 0.78553 1.7266
-0.1 0.00069857 58 0.78663 1.6875
1.110223E-16 0.00064946 61.086 0.78498 1.7266
0.1 0.00077486 56.18 0.78546 1.7109
0.2 0.00079871 55 0.78614 1.6875
0.3 0.00062943 61.735 0.78461 1.7422
0.4 0.00056744 63.922 0.78492 1.7266
0.5 0.0004139 70.446 0.78449 1.7344
0.6 0.00018787 80.735 0.78479 1.7266
0.7 -0.0041833 165.95 0.78412 1.7422
0.8 -0.0062056 171.03 0.7854 1.7031
0.9 -0.0063916 170.86 0.78504 1.7109
1 -0.0064402 171.05 0.78504 1.7109
1.1 -0.0062924 171.37 0.78412 1.7266
1.2 -0.0040965 165.93 0.78486 1.7188
1.3 0.00040961 70.352 0.78418 1.7422
1.4 0.00081063 53.594 0.78577 1.7031
1.5 0.00065089 59.93 0.78492 1.7188
1.6 0.00063992 60.5 0.78467 1.7188
1.7 0.00074006 56.375 0.78504 1.7109
1.8 0.00083304 53.703 0.78577 1.6953
1.9 0.00087119 52.188 0.78602 1.6797
