Time X DEG X DEG
0 0.00032568 83.336 0.79413 1.5938
1.006 0.0001545 87.008 0.79395 1.5938
1.9999998 0.00024796 85.211 0.7945 1.5859
3.0000001 0.00036335 82.227 0.7945 1.5781
4.0000003 0.00054264 79.266 0.79431 1.5703
4.9999999 0.00050354 79.555 0.79456 1.5703
6.0000001 0.00058985 78.297 0.79462 1.5703
6.9999998 0.00069428 76.211 0.79407 1.5938
8 0.00084734 72.915 0.79413 1.5938
9.0000002 0.0009203 71.493 0.7948 1.5703
9.9999998 0.00091124 71.602 0.79493 1.5625
11 0.0011997 66.821 0.79371 1.6094
12 0.0011816 67.149 0.79413 1.5938
13 0.0012503 64.641 0.79425 1.5938
14 0.0016775 58.157 0.79383 1.6016
15 0.0013847 62.555 0.79371 1.6016
16 0.0014377 62.086 0.79371 1.6016
17 0.0012059 66.704 0.79425 1.5938
18 0.001204 66.055 0.79383 1.6094
19 0.0012431 65.758 0.79346 1.6016
20 0.0010443 68.946 0.79371 1.6016
21 0.00070906 75.188 0.79456 1.5703
22 0.00078059 74.297 0.79425 1.5781
23 0.0010467 68.876 0.79358 1.6016
24 0.00078822 73.946 0.79389 1.5938
25 0.00038433 81.813 0.79456 1.5781
26 0.00072909 74.969 0.79377 1.5938
27 0.00078917 73.618 0.79316 1.6016
28 0.00056363 78.266 0.79322 1.6016
29 0.00053311 79.719 0.79371 1.5859
30 0.0010381 67.727 0.792 1.6406
31 0.00039292 82.172 0.79639 1.5313
32 0.00010395 87.532 0.80091 1.4531
33 -0.00013876 93.391 0.80078 1.4609
34 0.00019694 84.961 0.80139 1.4609
35 0.00032997 81.477 0.80201 1.4375
36 0.00022936 84.243 0.80188 1.4375
37 1.9074E-5 89.649 0.80097 1.4453
38 3.5286E-5 88.813 0.80207 1.4375
39 -0.00052405 101.67 0.79926 1.4766
40 -0.00038529 97.047 0.79371 1.5859
41 0.00083733 72.016 0.79248 1.6172
42 -2.7657E-5 90.469 0.79364 1.5859
43 -0.00010538 92.329 0.79431 1.5703
44.039 2.2888E-5 89.493 0.79413 1.5703
45 -0.00011683 92.461 0.79377 1.5703
46 -0.00023079 94.454 0.79431 1.5703
