Time X DEG X DEG
0 -0.0024362 110.8 0.79181 1.5391
1.0050005 -0.0028687 113.26 0.79181 1.5391
2.0000005 -0.0037871 119.73 0.79261 1.5234
3.0000001 -0.0032015 115.95 0.79224 1.5234
4.0000003 -0.0032654 116.56 0.79248 1.5156
5.0000005 -0.0023151 109.45 0.79163 1.5469
6.0000001 -0.001627 104.54 0.79132 1.5547
7.0000004 -0.0019312 107.45 0.792 1.5313
8 -0.0024038 110.52 0.79187 1.5469
9.0000002 -0.0011869 100.15 0.79065 1.5703
10 -0.0028534 113.36 0.79187 1.5469
11 0.00025416 87.297 0.78992 1.5938
12 -0.0022402 109.45 0.79157 1.5469
13.000001 -0.0016017 104.96 0.7912 1.5469
14 -0.0028567 113.44 0.79169 1.5391
15 -0.003129 115.88 0.792 1.5391
16.000001 -0.0030108 114.43 0.79181 1.5469
17 -0.0018129 106.27 0.79108 1.5625
18 -0.0023956 109.95 0.79151 1.5469
19 -0.0020991 107.47 0.79096 1.5547
20 -0.002358 110.22 0.79132 1.5547
21.000001 -0.0019889 107.37 0.79102 1.5547
22 -0.0023823 109.96 0.79132 1.5469
23 -0.0015197 102.63 0.79071 1.5469
24.000001 -0.0024157 110.52 0.79157 1.5313
25 -0.0031243 114.98 0.79212 1.5234
26 -0.0028806 113.55 0.79157 1.5391
27 -0.0028658 113.88 0.79169 1.5469
28 -0.0011268 99.993 0.79035 1.5703
29 0.0012379 78.086 0.78876 1.6016
30 -0.00026512 94.665 0.79016 1.5703
31 -0.0069771 136.66 0.79688 1.4453
32.000001 -0.0074849 140.4 0.79938 1.4219
33 -0.0074582 139.34 0.79902 1.4219
34 -0.0075908 141.96 0.8003 1.4063
35 -0.00769 142.84 0.80066 1.3906
36 -0.0077362 142.6 0.80085 1.3906
37 -0.0077281 142.87 0.80066 1.3906
38 -0.0077982 142.32 0.80036 1.3906
39 -0.007886 142.7 0.80005 1.4063
40.000001 -0.0075183 141.74 0.80017 1.4063
41 -0.0077019 142.15 0.79987 1.4141
42 -0.0044222 123.77 0.79248 1.5234
43 -0.00041294 95.102 0.78949 1.5625
44 -0.0032792 117.85 0.79175 1.5234
45 -0.0033231 116.67 0.79169 1.5234
46 -0.0029221 114.17 0.7912 1.5469
