Time X DEG X DEG
0 -0.00031233 97.477 0.79053 1.5469
1.0050005 -0.00034475 98.743 0.79059 1.5469
2.0000005 -0.0003109 97.633 0.79059 1.5469
3.0000001 -8.6785E-5 92.266 0.78992 1.5625
4.0000003 0.00062895 75.696 0.78901 1.5781
5.0000005 0.0005107 78.352 0.78937 1.5703
6.0000001 0.00010586 87.844 0.79023 1.5469
7.0000004 0.00042296 80.336 0.78913 1.5703
8.0000006 -1.9074E-6 90.532 0.78949 1.5625
9.0000002 0.00095225 68.727 0.78852 1.6016
10 0.00040627 80.243 0.78882 1.5859
11 0.00044632 79.586 0.78949 1.5625
12 0.00081253 72.079 0.78901 1.5703
13.000001 0.0011001 65.844 0.78876 1.5703
14 0.00097084 68.055 0.78919 1.5703
15 0.00066758 74.782 0.78968 1.5469
16.000001 0.00065327 75.376 0.78894 1.5703
17 0.00078965 71.868 0.78876 1.5781
18 0.00037766 81.438 0.78949 1.5547
19 0.00071145 73.586 0.78956 1.5547
20 0.0005951 76.54 0.78913 1.5703
21.000001 0.00048352 78.969 0.78962 1.5625
22 0.00062657 75.118 0.78992 1.5469
23 0.0007782 72.399 0.78937 1.5625
24.000001 0.00059748 76.071 0.7898 1.5469
25 0.0011883 63.844 0.78894 1.5547
26 -0.00012159 93.758 0.79529 1.4453
27 -0.00034571 100.95 0.79761 1.4141
28 -0.00055313 106.61 0.79773 1.4141
29 -0.00056935 107.54 0.79786 1.4063
30 -0.00089121 115.66 0.79718 1.4219
31 -0.00095272 117.52 0.79706 1.4219
32.000001 -0.0010915 119.9 0.79706 1.4219
33 -0.0010443 116.52 0.79499 1.4688
34 -0.00019074 93.829 0.78919 1.5703
35 -0.00019836 95.454 0.78894 1.5625
36 -0.00099994 113.21 0.79084 1.5234
37 -0.0012727 117.06 0.7898 1.5547
38 -0.0012851 118.56 0.79059 1.5234
39 -0.0012064 116.51 0.78974 1.5469
40.000001 -0.0010881 114.06 0.78913 1.5703
41 -0.0015926 122.56 0.7898 1.5625
42 -0.0016084 124.63 0.79035 1.5313
43 -0.0017104 125.64 0.7901 1.5469
44 -0.0019117 128.13 0.7898 1.5547
45 -0.002295 133.16 0.79053 1.5469
