Time X DEG X DEG
0 0.00062991 79.766 0.79279 1.5703
1.0090005 9.656E-5 88.743 0.79316 1.5625
2.0000005 0.00031662 85.305 0.79267 1.5625
3.0000001 -0.00019431 93.399 0.7934 1.5547
4.0000003 0.00036311 84.336 0.79255 1.5703
5.0000005 -5.3406E-5 91.063 0.79352 1.5547
6.0000001 6.8903E-5 88.672 0.79358 1.5469
7.0000004 -6.6758E-5 91.508 0.79358 1.5469
8.0000006 -0.00032091 94.829 0.79358 1.5469
9.0000002 0.00044275 82.969 0.79279 1.5703
10 0.00076032 78.711 0.79273 1.5547
11 0.00052309 81.266 0.79267 1.5703
12 8.8216E-6 90.126 0.79377 1.5313
13.000001 0.00028086 85.993 0.79316 1.5703
14 0.00037694 84.188 0.79273 1.5703
15 0.00024295 86.024 0.79267 1.5703
16.000001 -8.1063E-5 91.563 0.7931 1.5625
17 0.00013995 87.969 0.79322 1.5547
18 -0.00025559 94.305 0.7934 1.5547
19 0.00062442 79.79 0.79236 1.5859
20 0.00030065 85.602 0.79316 1.5625
21.000001 0.00030351 85.344 0.7931 1.5547
22 9.8467E-5 88.883 0.79285 1.5625
23 0.00016046 87.563 0.79273 1.5703
24.000001 0.00013995 87.633 0.79279 1.5781
25 -0.00015378 92.211 0.79285 1.5703
26 -0.00021672 93.282 0.79279 1.5859
27 0.00063038 79.571 0.7923 1.5781
28 0.00055743 81.001 0.7923 1.5781
29 0.00047946 82.36 0.79218 1.5703
30 0.00095296 75.711 0.79169 1.5938
31 -0.0017128 117.06 0.79841 1.4688
32.000001 -0.0015195 116.31 0.80091 1.4219
33 -0.0015445 115.95 0.80011 1.4453
34 -0.0017119 118.48 0.80036 1.4375
35 -0.001663 117.99 0.80017 1.4453
36 -0.0016482 118.04 0.80036 1.4297
37 -0.0015061 116.25 0.80078 1.4297
38 -0.0013693 113.75 0.80072 1.4297
39 -0.0010905 110.02 0.80152 1.4141
40.000001 -0.0012832 111.7 0.79914 1.4531
41 0.00015926 85.485 0.79285 1.5625
42 0.0013311 68.571 0.79187 1.5938
43 0.00033212 85.149 0.7934 1.5625
44 0.00018001 86.782 0.79364 1.5547
