Time X DEG X DEG
0 -4.9591E-5 94.524 0.78443 1.6719
1.0070002 -0.00030709 112.43 0.78339 1.7031
1.9999998 -0.00020218 104.49 0.78437 1.6719
3.0000001 -5.3406E-5 93.196 0.78443 1.6563
4.0009998 -0.00030518 111.45 0.78437 1.6797
4.9999999 -0.00031662 112.48 0.78467 1.6484
6.0000001 -0.0002861 112.3 0.78504 1.6484
6.9999998 -0.00025177 110.5 0.78486 1.6484
8 -0.00043106 119.95 0.78412 1.6641
9.0000002 -0.00051499 123.57 0.784 1.6641
9.9999998 -0.0003376 114.59 0.78486 1.6484
11 -0.00041771 120.13 0.78382 1.6719
12.001 -0.00043297 121.38 0.78223 1.7109
13 -0.00040436 118.56 0.7837 1.6797
14 -0.00040054 119.24 0.78614 1.6172
15 -0.00052643 124.33 0.78479 1.6484
16 -0.0004158 121.58 0.78455 1.6484
17 -0.00038147 117.81 0.78486 1.6484
18 -0.0004673 122.16 0.78492 1.6406
19 -0.00049019 123.39 0.78546 1.6172
20 -0.00048447 122.09 0.78461 1.6484
21 -0.00051308 125.58 0.78376 1.6641
22 -0.00027466 112.52 0.78583 1.6094
23 -0.0005188 124.98 0.78486 1.6328
24 -0.0004406 121.73 0.78602 1.6094
25 -0.00046349 123.88 0.78553 1.625
26 -0.00057984 127.27 0.78626 1.6094
27 -0.00053788 125.3 0.7854 1.6328
28 -0.00063515 130.01 0.78486 1.6406
29 -0.00048447 125.12 0.78546 1.6094
30 -0.00071526 133.5 0.78479 1.6328
31 -0.00073052 135.13 0.78437 1.6484
32 -0.00060463 131.71 0.78504 1.6328
33 -0.00076104 135.43 0.78589 1.6016
34 -0.00069809 134.06 0.78388 1.6484
35 -0.00066567 133.09 0.78455 1.6406
36 -0.00057412 129.56 0.78498 1.625
37 -0.00061799 129.75 0.78565 1.6172
38 -0.00073624 134.66 0.78437 1.6484
39 -0.00068665 133.99 0.78516 1.625
40 -0.00045967 126.16 0.78559 1.6094
41 -0.00040817 121.45 0.78577 1.6016
42 -0.0004158 118.84 0.78504 1.625
43 -0.00048256 123.59 0.7862 1.6016
44 -0.00058556 130.91 0.78486 1.625
45 -0.00056458 129.65 0.78546 1.6016
46 -0.00061989 129.61 0.78363 1.6641
47.001 -0.00087548 141.66 0.78144 1.7266
48 -0.00048447 124.58 0.78614 1.5859
49 -0.00048065 128.33 0.78559 1.6016
50 -0.00056458 130.52 0.78656 1.5703
51 -0.00055123 128.75 0.7862 1.6016
52 -0.00057602 131.5 0.78455 1.6328
53 -0.00061226 131.07 0.78595 1.6016
54 -0.0005436 128.13 0.78687 1.5703
55.001 -0.00051308 127.5 0.78656 1.5781
56 -0.00054169 128.93 0.78656 1.5703
57 -0.0005951 130.91 0.78656 1.5859
58 -0.00066758 134.56 0.78608 1.5938
59 -0.00059128 132.14 0.78583 1.5938
60 -0.00053406 129.37 0.78748 1.5625
61 -0.00056839 130.35 0.78705 1.5625
62 -0.00058556 131.7 0.78516 1.6172
63 -0.00067711 135.63 0.7837 1.6484
64 -0.0007248 135.46 0.78473 1.625
65 -0.00076485 138.01 0.78492 1.6172
66 -0.00081063 140.33 0.78632 1.5938
67 -0.00082016 141.16 0.78516 1.6172
68 -0.00082589 140.7 0.78602 1.6016
69 -0.00077248 139.31 0.78492 1.6172
70 -0.00075913 139.17 0.78516 1.6172
71 -0.00079918 140.2 0.78528 1.6094
72 -0.00088883 143.84 0.78583 1.6016
73 -0.00080872 140.84 0.78553 1.6094
74 -0.00076866 138.28 0.78565 1.6016
75 -0.00074578 137.33 0.78546 1.625
76 -0.00069809 134.99 0.78626 1.6094
77 -0.00057602 130.34 0.78675 1.5859
78 -0.00053597 128.6 0.78595 1.6016
79 -0.00052834 128.7 0.78602 1.6016
80 -0.00042534 123.2 0.78699 1.5781
81 -0.00038338 120.59 0.78522 1.625
82.001 -0.00045967 124.57 0.78687 1.5859
83 -0.0003891 121.64 0.78656 1.5938
84 -0.00032997 117.09 0.78785 1.5703
85 -0.00034332 117.65 0.78663 1.5938
86 -0.0004158 122.42 0.78705 1.5859
87 -0.00040245 121.95 0.78546 1.625
88 -0.00052453 127.98 0.78614 1.6016
89 -0.00042725 122.8 0.7876 1.5703
90.001 -0.0002594 112.27 0.78663 1.6016
91 -0.00019074 108.58 0.78656 1.5938
92 -0.00032425 118.43 0.78522 1.6328
93 -0.00034714 118.13 0.78656 1.5938
94 -0.0003109 117.38 0.78656 1.6016
95 -0.00022888 111.01 0.78754 1.5703
96 -0.00016022 105.78 0.78699 1.5781
97 -0.00014114 103.79 0.78546 1.625
98 -0.00034332 119.54 0.78418 1.6563
99 -0.00038338 121.09 0.7851 1.6172
100 -0.00038719 122.18 0.78669 1.5938
101 -0.00023651 111.63 0.78437 1.6484
