Time X DEG X DEG
0 -0.0011597 110.57 0.78437 1.6016
1.0080003 -0.00058747 99.438 0.78327 1.625
2.0000005 -0.0010376 107.93 0.784 1.625
3.0000001 -0.0011902 109.99 0.78443 1.6016
4.0000003 -0.0013027 111.69 0.78431 1.6094
5.0000005 -0.00028992 94.391 0.78284 1.6484
6.0000001 -0.0005436 100.53 0.78382 1.625
7.0000004 0.0011311 63.039 0.78138 1.6875
8 -3.8147E-6 88.407 0.78302 1.6406
9.0000002 0.00078774 71.891 0.78223 1.6719
10 -0.00054169 99.829 0.78382 1.625
11 0.00032234 82.04 0.7826 1.6484
12 -0.00017166 92.336 0.78327 1.6406
13.000001 -6.2943E-5 89.93 0.78315 1.6484
14 0.00011253 86.532 0.7829 1.6484
15 -0.00082398 105.23 0.78431 1.625
16 -0.0011845 110.42 0.78455 1.6016
17 0.00095368 69.204 0.78229 1.6641
18 4.1962E-5 87.969 0.78315 1.6406
19 -0.00063134 101.67 0.78376 1.625
20 -0.0012226 111.64 0.78449 1.6094
21.000001 0.00043106 80.04 0.78235 1.6641
22 -0.00023842 94.305 0.78321 1.6406
23 0.0010777 64.782 0.7815 1.6484
24 0.00031662 81.836 0.78278 1.6406
25 -6.485E-5 91.274 0.78333 1.625
26 0.00026512 83.711 0.7829 1.6328
27 0.00016594 86.751 0.78302 1.625
28 0.001812 50.469 0.78113 1.6719
29 -0.00060654 103.16 0.78473 1.5938
30 -0.0037289 138.45 0.79077 1.4922
31 -0.0039406 141.82 0.79346 1.4453
32 -0.0038567 141.33 0.79334 1.4531
33 -0.0039406 141.99 0.79425 1.4375
34 -0.0039368 141.55 0.79346 1.4453
35 -0.0038967 141.62 0.79413 1.4453
36 -0.0039444 141.97 0.79352 1.4375
37 -0.0035954 138.13 0.7909 1.4844
38 -0.001854 119.48 0.78626 1.5547
39 0.00076104 73.79 0.78235 1.6406
40.000001 -0.0017986 120.09 0.78571 1.5547
41 -0.0017433 118.45 0.78546 1.5703
42 -0.0007267 104.05 0.78418 1.6016
43 0.00011063 85.79 0.78351 1.625
44 0.00012207 88.876 0.78351 1.625
