Ieff(0deg) X DEG X DEG
-9.26 0.0010133 56.516 0.82178 1.3125
-8.6 0.00039912 75.219 0.8216 1.3125
-7.98 0.00026465 80.626 0.82166 1.3125
-7.39 -0.00022411 98.508 0.82166 1.3047
-6.82 -0.00030327 101.09 0.82135 1.3125
-6.23 -0.00039435 104.8 0.82178 1.3047
-6.23 -0.00033999 102.8 0.82209 1.3047
-5.63 -0.00046206 107.23 0.82227 1.3125
-5.06 -0.00051308 109.3 0.82221 1.3125
-4.53 -0.00061274 112.17 0.82245 1.3047
-3.96 -0.0010324 124.63 0.82239 1.3203
-3.4 -0.0010524 125.07 0.82251 1.3203
-2.84 -0.0011802 128.52 0.82282 1.3125
-2.28 -0.0012908 132.13 0.82306 1.3125
-2.01 -0.0015102 135.88 0.82318 1.3125
-1.46 -0.0013447 133.1 0.82361 1.3125
-1.05 -0.001369 133.57 0.82355 1.3125
-0.5 -0.0013809 133.3 0.82355 1.3125
0 -0.0015454 136.38 0.82355 1.3203
0.52 -0.0012193 129.52 0.82312 1.3203
0.99 0.0041628 20.305 0.82325 1.3203
1.49 0.0055762 16.344 0.823 1.3203
2.02 0.0051976 17.735 0.82312 1.3281
2.56 0.0054026 16.828 0.82276 1.3203
2.97 0.0053106 16.875 0.823 1.3125
3.68 0.0051866 17.508 0.823 1.3125
4.22 0.0052562 16.656 0.82288 1.3203
4.78 0.0043812 20.735 0.82288 1.3125
4.78 0.0041266 21.797 0.82264 1.3203
5.32 5.9605E-5 88.852 0.82282 1.3125
5.89 -0.00091029 121.06 0.82318 1.3125
6.48 -0.0013213 131.61 0.82294 1.3125
7.07 -0.001225 129.57 0.82276 1.3203
7.67 -0.00063086 113.34 0.82276 1.3203
8.26 -0.00057507 110.43 0.82251 1.3125
8.26 -0.00047207 107.54 0.82245 1.3125
8.88 -0.00042868 106.35 0.82245 1.3125
