Ieff(0deg) X DEG X DEG
9.2 -4.2439E-5 -108.33 0.82709 1.3672
8.55 -8.5354E-5 -132.61 0.82752 1.3594
7.95 -0.0001483 -142.49 0.82764 1.3672
7.36 -0.00040293 -165.94 0.82776 1.3672
6.74 -0.00068713 -170.67 0.82782 1.3672
6.74 -0.00074864 -171.57 0.82789 1.3672
6.14 -0.00081873 -170.49 0.82801 1.3672
5.55 -0.0010948 -173.52 0.8277 1.3672
5.04 -0.001297 -173.26 0.8277 1.3672
4.5 -0.0015845 -175.09 0.82795 1.3672
3.93 -0.0016947 -175.83 0.82813 1.3672
3.4 -0.0018416 -175.79 0.82813 1.3672
2.84 -0.001925 -175.77 0.8277 1.3672
2.29 -0.0018978 -175.91 0.82776 1.375
1.95 -0.0022063 -176.02 0.82807 1.3672
1.54 -0.0023565 -176.18 0.82807 1.3672
0.99 -0.0023909 -176.22 0.82807 1.3672
0.47 -0.0029087 -176.67 0.82807 1.3672
-0.03 -0.0030999 -177.16 0.82795 1.3672
-0.55 -0.0035601 -177.18 0.82776 1.375
-1.02 -0.003119 -176.74 0.82782 1.3828
-1.53 -0.0027905 -176.59 0.82917 1.3828
-2.05 -0.0024204 -176.7 0.82923 1.3828
-2.46 -0.0021029 -176.02 0.82904 1.375
-3.03 -0.0017152 -175.38 0.82892 1.3828
-3.71 -0.0012384 -174.51 0.82898 1.3828
-4.27 -0.00094271 -172.97 0.82904 1.3828
-4.27 -0.00063277 -170.72 0.82917 1.375
-4.81 -0.00020075 -154.56 0.82923 1.3672
-5.35 -0.00040674 -166.57 0.82862 1.3828
-5.94 -0.0003233 -162.96 0.82813 1.375
-6.54 -0.00011635 -141.09 0.82819 1.3672
-7.13 2.6226E-5 -70.102 0.82819 1.3828
-7.72 0.00028992 -15.688 0.82825 1.375
-7.72 0.00037098 -10.656 0.82801 1.3828
-8.29 0.00031805 -13.266 0.82813 1.3828
-8.94 0.00067234 -6.8438 0.82801 1.3828
