I2(45deg) X DEG X DEG
-20 -0.00024366 98.922 0.82587 1.4453
-19 -0.00020647 97.844 0.82605 1.4453
-18 -0.00028134 101.15 0.82636 1.4297
-17 -0.00023651 99.032 0.8266 1.4375
-16 -6.0559E-5 92.211 0.82666 1.4375
-15 -0.00015974 96.032 0.82636 1.4453
-14 -0.00011444 94.743 0.82636 1.4375
-13 1.4305E-5 89.477 0.82636 1.4297
-12 -0.00010634 94.274 0.8263 1.4297
-11 -0.00031471 102.28 0.82575 1.4453
-10 -0.00028801 100.9 0.82563 1.4453
-9 -0.00033236 102.64 0.82581 1.4375
-8 -0.00033426 102.94 0.82599 1.4375
-7 -0.00038004 104.26 0.82569 1.4375
-6 -0.00040484 105 0.82593 1.4375
-5 -0.00041437 105.26 0.82556 1.4453
-4 -0.00057078 111.24 0.82532 1.4453
-3 -0.00038004 104.08 0.8255 1.4453
-2 -0.0003748 104.22 0.8255 1.4375
-1 -0.00063801 113.09 0.82526 1.4375
0 -0.00058413 111.37 0.8252 1.4453
1 -0.00027704 99.938 0.82514 1.4453
2 -0.00065756 113.64 0.82514 1.4297
3 -0.00076008 117.61 0.82459 1.4375
4 -0.00051737 108.65 0.82441 1.4375
5 -0.00035954 102.97 0.82471 1.4375
6 -0.00045634 107.42 0.82502 1.4297
7 -0.00032568 102.45 0.82514 1.4297
8 -0.00033951 102.45 0.82465 1.4375
9 -0.00040913 105.18 0.82465 1.4297
10 -0.0003891 104.59 0.82471 1.4297
11 -0.00028277 101.18 0.82489 1.4219
12 -0.00052691 109.45 0.82483 1.4219
13 -0.00046063 107.77 0.82471 1.4219
14 -0.00045252 106.97 0.82447 1.4219
15 -0.00030327 101.56 0.82422 1.4219
16 -0.00043583 105.97 0.82422 1.4297
17 -0.0005641 110.78 0.8241 1.4297
18 -0.00037527 104.25 0.8241 1.4297
19 -0.00052453 109.38 0.8238 1.4297
20 -0.00052739 109.07 0.82367 1.4297
